,2014-02-01,2014-05-24,2014-08-16,2014-11-08,2015-01-31,2015-05-23,2015-08-15,2015-11-07,2016-01-30,2016-05-21,2016-08-13,2016-11-05,2017-01-28,2017-05-20,2017-08-12,2017-11-04,2018-02-03,2018-05-26,2018-08-18,2018-11-10,2019-02-02,2019-05-25,2019-08-17,2019-11-09,2020-02-01,2020-05-23,2020-08-15,2020-11-07,2021-01-30,2021-05-22,2021-08-14,2021-11-06,2022-01-29,2022-05-21,2022-08-13,2022-11-05,2023-01-28,2023-05-20,2023-08-12,2023-11-04,Current
Market Capitalization,"18,647","23,929","24,529","28,385","33,926","36,548","37,254","36,572","37,829","33,321","30,918","29,194","31,296","26,723","21,079","19,125","25,859","21,312","24,976","25,031","22,393","18,936","18,101","21,660","21,504","25,180","27,531","25,684","26,266","27,515","31,989","31,471","31,962","35,196","33,782","33,213","32,248","35,615","35,155","32,635","34,273"
Market Cap Growth,28.96%,34.21%,23.74%,29.99%,81.94%,52.73%,51.88%,28.84%,11.50%,-8.83%,-17.01%,-20.17%,-17.27%,-19.80%,-31.82%,-34.49%,-17.37%,-20.25%,18.49%,30.88%,-13.41%,-11.15%,-27.53%,-13.47%,-3.97%,32.97%,52.10%,18.58%,22.15%,9.27%,16.19%,22.53%,21.68%,27.91%,5.60%,5.54%,0.90%,1.19%,4.07%,-1.74%,-
Enterprise Value,"29,556","34,980","35,481","39,657","45,255","47,603","48,256","47,557","49,631","45,316","43,019","42,656","45,051","39,811","34,308","33,620","41,101","34,922","39,147","39,620","37,193","39,098","38,093","41,881","42,283","43,097","45,337","44,175","45,166","46,359","50,971","49,889","50,581","54,565","53,062","52,551","51,645","53,433","52,564","50,749","52,387"
PE Ratio,12.28,15.55,15.63,17.39,19.63,19.80,19.28,18.30,18.55,15.75,14.97,14.39,15.85,16.88,13.57,12.27,13.56,5.87,6.60,6.76,7.20,10.20,11.00,13.61,12.96,12.00,10.50,8.59,10.16,18.19,27.55,31.07,19.31,16.15,13.83,14.09,14.37,14.01,21.55,17.37,18.54
PS Ratio,0.19,0.24,0.24,0.27,0.31,0.34,0.34,0.34,0.34,0.30,0.28,0.26,0.27,0.23,0.18,0.16,0.21,0.17,0.20,0.20,0.18,0.16,0.15,0.18,0.18,0.20,0.21,0.20,0.20,0.21,0.24,0.23,0.23,0.25,0.23,0.23,0.22,0.24,0.24,0.22,0.23
PB Ratio,3.46,5.04,4.91,5.34,6.27,6.58,6.31,5.83,5.55,5.20,4.70,4.42,4.67,4.35,3.42,3.07,3.73,3.06,3.39,3.27,2.84,2.21,2.08,2.43,2.50,2.69,2.80,2.55,2.74,2.98,3.45,3.31,3.38,3.74,3.50,3.34,3.21,3.27,3.31,2.91,3.06
P/FCF Ratio,14.72,18.52,24.05,19.46,23.87,28.76,28.27,25.57,23.45,18.58,20.10,36.00,44.39,21.90,13.89,15.98,34.85,25.86,36.46,19.91,17.47,17.08,13.07,12.95,11.89,6.44,6.94,6.76,6.38,13.92,16.63,10.14,8.57,13.25,11.84,16.99,21.53,11.70,11.86,13.57,14.25
P/OCF Ratio,5.22,6.46,6.91,7.03,8.05,8.66,8.36,7.82,7.69,6.36,6.04,6.45,7.33,5.94,4.62,4.94,7.58,6.14,7.46,6.12,5.38,4.66,4.33,4.84,4.61,3.79,4.05,3.94,3.85,5.70,7.06,5.51,5.16,6.99,6.15,7.01,7.17,5.69,5.46,5.41,5.69
Debt / Equity Ratio,2.10,2.38,2.24,2.17,2.14,2.03,1.91,1.80,1.77,1.93,1.89,2.09,2.10,2.19,2.28,2.38,2.25,2.05,1.97,1.96,1.93,2.40,2.37,2.33,2.46,2.21,2.10,2.05,2.15,2.29,2.29,2.18,2.16,2.20,2.11,2.03,2.03,1.88,1.87,1.77,1.77
Quick Ratio,0.14,0.13,0.13,0.12,0.13,0.13,0.14,0.12,0.16,0.13,0.12,0.13,0.15,0.14,0.20,0.14,0.14,0.17,0.14,0.13,0.14,0.15,0.16,0.15,0.15,0.29,0.30,0.24,0.23,0.28,0.27,0.25,0.22,0.20,0.18,0.17,0.19,0.26,0.26,0.22,0.22
