,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-03-26,2017-06-25,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25,2022-12-25,2023-03-26,2023-06-25,2023-10-01,2023-12-31
Net Income,-15,-49.9,-10.9,-2.2,-16.2,-15,55.1,-4,-22.2,-10.4,-23.6,-4.3,-10,-6.2,-4.3,-22.2,-2.2,-7.7,1.7,4.7,3.1,3.9,2.5,3,-0.2,-0.7,2.4,78.1,1.9,1.1,-2.4,-2.6,-15.9,-4.7,-8,-8.3,-7,-2.7,-1.6,2.4
Depreciation & Amortization,9.6,6.2,8.4,8.2,6.9,6.7,5.9,6,6.1,5.6,5.6,5.2,5.5,5.4,5.9,5.4,4.5,4.7,4.4,4.3,8.8,7.7,9,9.6,9.2,8.4,8.2,8.2,8.5,9.3,8.3,8.6,9.6,9.6,11.4,10.3,10.6,10.7,11.2,12.2
Share-Based Compensation,1.8,2.8,2.8,-3.8,2,1.9,1.6,0.6,1.5,1.6,1.1,0.9,2.1,1.9,2.8,1,1.7,1.7,1.7,2.1,2.6,2.8,2.8,2.8,4.7,4.8,5,6.5,6.2,6.6,6.4,6.6,7,6.3,6.6,6.4,6.6,6,6.4,6.3
Other Operating Activities,4.8,26.4,-5,22.4,3.8,-1.7,-72.5,-8,2.7,2.8,20.6,-6.3,-7.3,-3.7,-9.5,5.5,-0.6,-6.8,5.9,-9.7,1.8,-10.7,-3.3,-16.4,-8.4,-5.3,-6.9,-67.4,5.6,-18,-,-15.3,-8.5,-33.3,-12.7,-1.5,-35.9,9.5,-16,46.5
Operating Cash Flow,1.2,-14.5,-4.7,24.6,-3.5,-8.1,-9.9,-5.4,-11.9,-0.4,3.7,-4.5,-9.7,-2.6,-5.1,-10.3,3.4,-8.1,13.7,1.4,16.3,3.7,11,-1,5.3,7.2,8.7,25.4,22.2,-1,12.3,-2.7,-7.8,-22.1,-2.7,6.9,-25.7,23.5,0,67.4
Operating Cash Flow Growth,-77.36%,-,-,173.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379.41%,-,-19.71%,-,-67.48%,94.59%,-20.91%,-,318.87%,-,41.38%,-,-,-,-,-,-,-,-,876.81%
Capital Expenditures,-3.1,-2.8,-2.5,-3.2,-1.9,-3.3,-2.9,-3.2,-2.1,-1.4,-1.6,-3.9,-5.1,-7.4,-6.2,-7.4,-6.7,-4.3,-6.9,-4.7,-4,-5.8,-8.1,-8.4,-6.4,-7.7,-8.9,-12.9,-9.6,-10.9,-12.9,-13.1,-10.8,-11.1,-12.9,-10.6,-7.7,-11.2,-14.2,-19.3
Acquisitions,-1.6,0,-1,0,0,0,0,0,0,0,0,-5.1,0,0,0.2,-0.2,0,0,-2.9,0,-17.6,0,0,-0.1,-14.2,-1.3,-28.4,-7.6,-5.1,-1.1,0,-6.1,-58.5,-73.4,-0.3,0,0,0,0,0.3
Other Investing Activities,-,-0.1,-1,-1.9,3.5,1.6,240.8,2.2,4.7,-0.2,-0.1,-0.4,-0.2,0.4,-0.1,-,-,67.9,-0.9,-1,-,-,0.3,-,-,0.1,-,-,-,-,4.5,2.2,-,0.1,-,0.1,-,8.3,-,-
Investing Cash Flow,-4.7,-2.9,-4.5,-5.1,1.6,-1.7,237.9,-1,2.6,-1.6,-1.7,-9.4,-5.3,-7,-6.1,-7.6,-6.7,63.6,-10.7,-5.7,-21.6,-5.8,-7.8,-8.5,-20.6,-8.9,-37.3,-20.5,-14.7,-12,-8.4,-17,-69.3,-84.4,-13.2,-10.5,-7.7,-2.9,-14.2,-19
Share Issuance / Repurchase,0,0,3.9,-0.6,1.7,-0.1,2.4,-0.6,1.2,-0.2,1.1,76.1,82.7,-0.4,187.2,1.1,0.7,0,1.9,0,0.9,0,2.1,1.9,2.6,240.5,2.6,-0.5,2.5,0,3.4,0,2.9,0,3.2,0.1,2.9,0,3.6,0
Debt Issued / Paid,-0.2,-10.8,-0.2,-1.8,-0.2,-0.3,-216.2,-0.3,-0.3,-0.2,-0.3,-14.3,-64.3,-0.2,-0.3,-91.6,-0.3,-0.3,-0.3,0,-0.1,-0.1,-0.2,-0.1,-0.1,-0.3,4,0.3,-0.2,-0.2,-5.4,-0.3,-13.3,-0.3,-1.6,-41.8,-1.7,-18.6,5.3,-18.5
Other Financing Activities,1.6,-0.1,-2.1,0.6,-,-0.7,-0.5,0.1,-,-,-,-,-,-,-,-0.8,-,-,-,-,-,-,-,-0.9,-1.2,-,-0.1,-0.1,-7.1,-1.4,-0.6,-,-6.8,-4.7,-0.8,-0.2,-2.6,-0.8,-0.2,-0.1
Financing Cash Flow,1.4,-10.9,1.6,-1.8,1.5,-1.1,-214.3,-0.8,0.9,-0.4,0.8,61.8,18.4,-0.6,186.9,-91.3,0.4,-0.3,1.6,0,0.8,-0.1,1.9,0.9,1.3,240.2,6.5,-0.3,-4.8,-1.6,-2.6,-0.3,-17.2,-5,0.8,-41.9,-1.4,-19.4,8.7,-18.6
Exchange Rate Effect,0,0.2,-0.3,-0.3,-0.4,0.4,-0.1,-0.1,0,-0.1,0.1,-0.3,0,0.1,0.4,0,0.2,-0.3,-0.2,-0.2,-0.1,0,-0.3,0.2,0,0.1,0.3,1.5,-0.6,0.3,-0.7,-0.5,-0.7,-0.5,-2.1,1.6,0.2,0.3,-0.5,0.8
Net Cash Flow,-2.1,-28.1,-7.9,17.4,-0.8,-10.5,13.6,-7.3,-8.4,-2.5,2.9,47.6,3.4,-10.1,176.1,-109.2,-2.7,54.9,4.4,-4.5,-4.6,-2.2,4.8,-8.4,-14,238.6,-21.8,6.1,2.1,-14.3,0.6,-20.5,-95,-112,-17.2,-43.9,-34.6,1.5,-6,30.6
Free Cash Flow,-1.9,-17.3,-7.2,21.4,-5.4,-11.4,-12.8,-8.6,-14,-1.8,2.1,-8.4,-14.8,-10,-11.3,-17.7,-3.3,-12.4,6.8,-3.3,12.3,-2.1,2.9,-9.4,-1.1,-0.5,-0.2,12.5,12.6,-11.9,-0.6,-15.8,-18.6,-33.2,-15.6,-3.7,-33.4,12.3,-14.2,48.1
Free Cash Flow Growth,-,-,-,170.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-57.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-0.95%,-8.47%,-3.77%,11.14%,-3.44%,-7.10%,-7.92%,-4.85%,-9.15%,-1.07%,1.27%,-15.19%,-11.21%,-6.76%,-7.19%,-10.64%,-2.31%,-8.20%,4.27%,-2.01%,7.67%,-1.12%,1.58%,-5.08%,-0.65%,-0.29%,-0.10%,6.06%,6.49%,-5.80%,-0.30%,-7.47%,-9.48%,-14.81%,-6.82%,-1.48%,-14.41%,4.79%,-5.17%,17.57%
Free Cash Flow Per Share,-0.03,-0.30,-0.13,0.37,-0.09,-0.20,-0.22,-0.15,-0.23,-0.03,0.04,-0.13,-0.19,-0.12,-0.13,-0.17,-0.03,-0.12,0.07,-0.03,0.12,-0.02,0.03,-0.09,-0.01,-0.01,-0.00,0.10,0.10,-0.10,-0.01,-0.13,-0.15,-0.26,-0.12,-0.03,-0.26,0.10,-0.11,0.36
