,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,301,277,637,364,271,249,328,440,308,348,344,327,412,357,416,472,451,453,571,405,339,440,442,336,939,668,886,478,660,578,811,621,798,951,886,532,594,463,762,399
Cash & Cash Equivalents,301,277,637,364,271,249,328,440,308,348,344,327,412,357,416,472,451,453,571,405,339,440,442,336,939,668,886,478,660,578,811,621,798,951,886,532,594,463,762,399
Cash Growth,68.16%,66.87%,147.86%,23.81%,-9.97%,-10.11%,-48.51%,20.88%,13.65%,39.76%,4.88%,-25.68%,33.77%,2.59%,20.93%,44.34%,9.47%,26.89%,37.26%,-14.19%,-24.83%,-2.87%,-22.59%,-17.04%,176.99%,51.82%,100.45%,42.26%,-29.71%,-13.47%,-8.47%,29.92%,20.91%,64.53%,9.25%,-14.33%,-25.56%,-51.31%,-14.00%,-25.00%
Receivables,"8,355","8,441","8,185","7,770","8,157","8,097","8,079","8,041","8,227","8,616","7,853","7,644","7,783","7,977","7,792","7,613","7,893","8,217","7,836","7,960","8,012","8,144","7,622","7,675","8,136","8,431","7,850","7,833","8,539","9,162","9,187","9,273","9,259","9,701","9,458","9,403","9,416","9,926","9,437","9,660"
"Property, Plant & Equipment","14,974","14,133","14,411","15,611","15,376","15,917","15,902","15,477","15,351","15,126","15,200","15,230","15,160","15,447","15,475","15,427","15,461","15,471","15,467","15,511","15,407","15,513","15,561","15,568","14,751","10,475","10,468","10,451","9,921","9,847","9,878","9,888","9,896","9,962","9,949","10,027","10,098","10,328","10,674","10,718"
Goodwill and Intangibles,354,355,353,374,371,373,352,351,350,348,347,346,346,647,648,659,661,658,657,665,682,768,772,767,763,764,765,785,349,350,349,349,348,346,344,346,346,347,346,347
Total Assets,"81,803","82,894","78,529","78,367","78,623","78,015","77,532","76,006","77,224","79,183","78,508","76,594","77,114","79,101","79,527","79,586","80,786","80,732","78,725","78,316","80,449","82,277","82,499","82,243","79,254","78,439","79,464","80,236","80,005","81,608","81,726","81,626","79,144","77,071","75,111","75,567","76,560","77,347","76,469","79,197"
Accounts Payable,882,815,663,673,926,741,733,567,630,"1,310",451,150,302,478,324,60,280,311,217,42,307,576,242,108,249,985,466,92,310,654,665,90,396,320,359,133,220,191,444,79
Deferred Revenue,"3,838","3,851","3,703","3,592","3,710","3,815","3,706","3,671","3,807","3,865","3,862","3,762","3,912","4,107","4,060","5,001","4,256","4,410","4,289","7,585","7,894","8,243","8,315","8,362","8,593","8,848","8,971","9,142","9,438","9,901","10,020","10,264","10,470","10,927","10,901","11,088","11,291","11,713","11,525","11,627"
Total Liabilities,"56,686","57,539","53,413","53,717","53,993","53,683","53,379","53,196","54,099","56,152","55,102","53,233","53,380","54,995","55,166","55,020","56,938","58,874","56,839","56,930","58,547","59,883","60,241","60,313","60,076","60,026","60,844","61,055","61,468","62,210","62,596","62,451","61,449","60,850","60,458","60,366","61,246","61,877","61,311","62,672"
