,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,338.9,479.5,575.7,580,446.4,619,713,716.4,696.3,639.6,567.6,433.6,365.5,299.9,409.3,316.7,361.8,221.4,892.6,426.8,348.8,265.4,361.1,337.5,323.6,557,667.2,"1,321","1,891","1,963","2,037","1,473","1,234","1,069",409.9,430,393.9,"1,931",727.9,536.8
Cash & Cash Equivalents,338.9,479.5,575.7,580,446.4,619,713,716.4,696.3,639.6,567.6,433.6,365.5,299.9,409.3,316.7,361.8,221.4,892.6,426.8,348.8,265.4,361.1,337.5,323.6,557,667.2,"1,321","1,891","1,963","2,037","1,473","1,234","1,069",409.9,430,393.9,"1,931",727.9,536.8
Cash Growth,82.40%,330.82%,230.67%,43.56%,31.72%,29.09%,23.85%,23.52%,55.98%,3.33%,-20.39%,-39.48%,-47.51%,-53.11%,-27.89%,-26.96%,-1.01%,-26.18%,118.08%,34.76%,-3.59%,19.87%,-59.55%,-20.92%,-7.22%,109.87%,84.77%,291.35%,484.30%,252.46%,205.23%,11.50%,-34.76%,-45.56%,-79.87%,-70.80%,-68.07%,80.63%,77.58%,24.84%
Receivables,822,832.6,841.6,815.7,"1,351","1,365","1,397","1,375","1,500","1,518","1,563","1,519","1,578","1,627","1,824","1,717","1,962","1,872","1,856","1,862","1,986","2,065","2,094","2,025","1,960","2,196","2,699","3,017","2,903","2,847","3,055","2,978","3,040","3,044","2,983","3,017","3,050","2,043","2,065","1,913"
Inventory,134.8,134.5,138.8,139.5,186.5,182,181.6,191,188.2,189.6,198.8,205.2,199.8,209.9,217.2,227.6,226.2,230.7,233,237.3,233.7,219.7,234.9,244.7,254,342.3,392.5,423.2,427.5,421.3,410.7,401.4,440.7,436.3,467.7,470.6,481.4,487.8,461.1,474.6
Other Current Assets,-134.8,119.3,131.7,157.5,344.3,420.1,415.5,381.1,360.1,297.2,325.6,321.2,343.1,379.3,450.2,421.4,347,697.5,292.5,309,317.1,298.6,297.7,373.7,353.2,317.5,327.2,364.8,416.8,461.9,518.3,478.1,515.7,481.9,511.5,707,769.8,659.9,700.2,840.7
Total Current Assets,"1,161","1,566","1,688","1,693","2,329","2,586","2,707","2,663","2,745","2,644","2,655","2,479","2,486","2,516","2,901","2,683","2,897","3,021","3,274","2,835","2,885","2,849","2,988","2,981","2,891","3,413","4,086","5,125","5,638","5,694","6,021","5,331","5,230","5,031","4,372","4,625","4,695","5,121","3,954","3,765"
"Property, Plant & Equipment",733.1,741.2,754.7,786.5,"1,597","1,832","1,807","1,747","1,772","1,742","1,731","1,719","1,720","1,718","1,736","1,749","1,750","1,711","1,734","1,785","2,502","2,617","2,453","2,612","2,610","2,628","2,609","2,730","2,697","2,702","2,692","2,815","2,808","2,870","2,885","2,956","2,944","2,762","2,821","2,912"
Long-Term Investments,87.3,96.5,94.7,92.6,88.9,68.6,61.8,58.2,61.2,61.7,60.4,57.6,58.1,67.2,64.7,58.4,58.4,58.9,57.9,60.5,66.9,86.7,86,84.9,67,72.3,70.7,73.5,85,82.1,62.1,60.9,62.2,57.7,63.7,65.7,65.8,67.2,39.5,26.9
Goodwill,"3,067","3,069","3,066","3,099","6,282","6,137","6,069","6,292","6,250","6,218","6,389","6,424","6,502","6,641","7,301","7,530","7,616","7,423","7,363","7,360","7,386","7,844","7,832","7,865","7,389","7,423","7,614","7,752","7,721","7,745","7,907","7,959","8,166","8,114","8,218","8,121","8,116","6,169","6,332","6,143"
Intangible Assets,"1,538","1,546","1,489","1,476","3,603","3,645","3,561","3,324","3,411","3,358","3,457","3,401","3,469","3,621","4,377","4,341","4,298","4,050","3,991","3,911","3,885","4,016","4,021","4,035","3,905","3,877","3,921","3,961","3,834","3,754","3,755","3,736","3,973","3,865","3,808","3,947","3,912","3,154","3,276","3,342"
Other Long-Term Assets,405.6,126.2,138.8,154.8,250.5,197.4,217,201.9,169.7,175.1,190.9,167.2,192.5,339.1,311.8,207.3,213.8,240.7,241.3,233.3,246.3,405.3,474.6,444.2,437.1,436,440.4,430.6,442.5,441.4,429.8,484.2,490.8,465.5,480.4,440.3,466.8,432.2,464.3,536.5
Total Long-Term Assets,"5,832","5,579","5,544","5,609","11,822","11,879","11,715","11,623","11,663","11,555","11,828","11,768","11,942","12,387","13,791","13,885","13,935","13,483","13,387","13,350","14,086","14,968","14,867","15,040","14,407","14,436","14,654","14,946","14,779","14,724","14,846","15,055","15,499","15,372","15,454","15,530","15,505","12,585","12,932","12,960"
Total Assets,"6,992","7,145","7,232","7,302","14,151","14,465","14,422","14,286","14,408","14,199","14,483","14,247","14,428","14,903","16,692","16,568","16,832","16,505","16,661","16,185","16,971","17,817","17,855","18,021","17,298","17,849","18,740","20,072","20,417","20,417","20,867","20,385","20,728","20,403","19,826","20,155","20,200","17,706","16,886","16,725"
Accounts Payable,281.9,280.6,286.2,282.3,420.8,438.8,445,497.4,466,443.5,454.8,508.4,484.9,491.7,595.4,663,519.1,488.1,497.5,634.6,592.2,531.6,607.8,632.3,568.7,534.1,639.5,638.9,621.3,599.9,669.4,621.3,623.6,754.7,765.5,934.8,880.7,713.1,690.6,827.5
Deferred Revenue,0,0,0,5.5,153.9,142.5,141.7,146.1,166.4,175.3,169.5,176,184.4,177.2,313.6,332.7,418.1,393.3,289.4,356.4,364.6,404.2,403.8,451,432.9,473.3,494.8,506.5,540.3,546.7,593.9,558.5,556,544.2,530.9,582.1,586.7,349.7,360.8,421.7
