,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,397","8,092","8,110","10,301","13,298","17,161","22,341","39,715","41,843","39,644","40,179"
Market Cap Growth,13.34%,49.93%,0.22%,27.02%,29.09%,29.05%,30.18%,77.77%,5.36%,-5.26%,-
Enterprise Value,"6,811","9,146","12,578","14,331","16,844","20,663","25,333","46,126","48,731","46,550","53,952"
PE Ratio,47.76,15.13,24.28,31.79,24.49,24.55,23.54,35.49,22.67,37.33,27.28
PS Ratio,1.06,1.61,2.09,1.72,2.26,2.78,3.29,2.18,2.35,2.32,2.15
PB Ratio,3.46,4.43,2.39,3.37,4.54,5.24,6.64,1.92,2.18,2.14,2.16
P/FCF Ratio,8.24,12.55,11.49,13.34,29.55,27.90,21.82,15.80,17.79,20.65,23.50
P/OCF Ratio,6.48,9.53,9.50,11.15,23.37,22.85,18.85,14.23,15.57,18.37,19.23
EV/Sales Ratio,1.33,1.82,3.24,2.39,2.86,3.35,3.72,2.54,2.74,2.73,2.89
EV/EBITDA Ratio,10.54,8.40,15.60,14.20,13.09,15.49,16.51,17.48,13.85,18.69,16.98
EV/EBIT Ratio,16.03,10.33,21.95,18.37,17.26,19.22,19.85,28.70,19.10,29.97,25.45
EV/FCF Ratio,10.40,14.18,17.82,18.56,37.43,33.60,24.74,18.36,20.72,24.24,31.55
Debt / Equity Ratio,1.11,0.89,1.54,1.48,1.38,1.16,1.05,0.37,0.41,0.42,0.77
Debt / EBITDA Ratio,2.69,1.49,6.47,4.48,3.13,2.84,2.30,2.91,2.23,3.13,4.49
Debt / FCF Ratio,2.65,2.52,7.39,5.85,8.96,6.16,3.44,3.06,3.33,4.06,8.35
Quick Ratio,0.78,1.02,0.84,0.59,0.57,0.41,0.44,0.62,0.44,0.37,0.22
Current Ratio,1.50,1.79,1.40,1.33,1.08,1.20,1.14,1.57,1.40,1.17,0.88
Asset Turnover,1.00,1.03,0.56,0.49,0.53,0.62,0.69,0.49,0.50,0.50,0.51
Interest Coverage,3.90,9.41,4.41,4.26,5.67,6.32,7.64,6.33,9.63,5.57,4.75
Return on Equity (ROE),6.50%,30.70%,15.10%,9.90%,18.00%,22.60%,27.90%,5.20%,9.40%,5.60%,8.00%
Return on Assets (ROA),2.20%,11.00%,4.80%,2.70%,4.90%,7.00%,9.60%,3.00%,5.20%,3.10%,4.00%
Return on Capital (ROIC),8.82%,17.29%,5.53%,7.56%,8.67%,10.05%,13.57%,3.42%,6.30%,3.57%,4.77%
Earnings Yield,2.09%,6.61%,4.12%,3.15%,4.08%,4.07%,4.25%,2.82%,4.41%,2.68%,3.70%
FCF Yield,12.14%,7.97%,8.71%,7.49%,3.38%,3.58%,4.58%,6.33%,5.62%,4.84%,4.26%
Dividend Yield,3.00%,2.20%,2.40%,2.40%,1.90%,1.60%,1.40%,1.80%,1.90%,2.20%,2.15%
Payout Ratio,146.50%,33.60%,59.70%,76.60%,48.00%,38.80%,34.10%,65.00%,44.50%,80.90%,58.69%
Buyback Yield / Dilution,3.69%,2.81%,2.05%,-19.56%,2.26%,2.61%,0.36%,-77.61%,6.61%,2.97%,1.05%
Total Shareholder Return,6.69%,5.01%,4.45%,-17.16%,4.16%,4.21%,1.76%,-75.81%,8.51%,5.17%,3.20%
