,2013-12-27,2014-03-28,2014-06-27,2014-09-26,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29
Cash & Equivalents,334.4,349.6,561,449.1,469.5,487.7,481,320,511,302,487,284,361,302,484,388,422,443,288,305,343,334,530,"1,001",824,663,"1,947","1,341","1,276",976,"2,029","1,126",941,402,420,529,880,545,366,499
Short-Term Investments,0,0,9,0,0,0,267,40,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,334.4,349.6,570,449.1,469.5,487.7,748,360,552,316,487,284,361,302,484,388,422,443,288,305,343,334,530,"1,001",824,663,"1,947","1,341","1,276",976,"2,029","1,126",941,402,420,529,880,545,366,499
Cash Growth,1.92%,-23.83%,77.57%,33.19%,40.40%,39.50%,31.23%,-19.84%,17.57%,-35.21%,-34.89%,-21.11%,-34.60%,-4.43%,-0.62%,36.62%,16.90%,46.69%,-40.50%,-21.39%,-18.72%,-24.60%,84.03%,228.20%,140.23%,98.50%,267.36%,33.97%,54.85%,47.21%,4.21%,-16.03%,-26.25%,-58.81%,-79.30%,-53.02%,-6.48%,35.57%,-12.86%,-5.67%
Receivables,699.5,772.7,566,603.7,582,652.7,"1,168","1,078",935,"1,054",674,976,762,714,623,706,642,743,466,432,494,453,457,"1,275","1,216","1,278","1,148","1,128","1,344","1,096","1,197","1,027","1,045","1,283","1,191","1,138","1,251","1,231","1,383","1,381"
Inventory,688.8,674,619,648.3,649.6,635.7,"1,015","1,107","1,070",992,867,962,"1,001",894,841,896,942,963,411,413,425,433,360,"1,339","1,219",990,859,894,"1,034",904,938,"1,074",982,"1,148","1,249","1,361","1,291","1,541","1,555","1,638"
Other Current Assets,249.7,257,236,223.5,244.9,246,252,508,278,504,596,203,488,966,125,137,126,265,"1,059","1,138","1,049","1,065","1,231","3,412","3,053","4,280","2,972","3,030","3,013","4,562","3,425","3,399","3,391","3,416","3,328","3,403","3,332","3,683","3,546","3,983"
Total Current Assets,"1,972","2,053","1,991","1,925","1,946","2,022","3,183","3,053","2,835","2,866","2,624","2,425","2,612","2,876","2,073","2,127","2,132","2,414","2,224","2,288","2,311","2,285","2,578","7,027","6,312","7,211","6,926","6,393","6,667","7,538","7,589","6,626","6,359","6,249","6,188","6,431","6,754","7,000","6,850","7,501"
"Property, Plant & Equipment",668.9,685.5,728,730.5,724.5,705.5,"1,165","1,150","1,102","1,007",924,988,908,895,904,890,878,879,900,898,901,904,894,"3,007","2,954","2,816","2,905","2,925","2,868","2,918","2,695","2,832","2,870","2,853","2,803","2,854","2,860","2,889","2,911","3,576"
Goodwill and Intangibles,"1,988","1,974","1,969","1,939","1,900","1,872","8,123","8,050","7,632","7,516","6,583","7,495","7,285","6,503","6,470","6,453","6,422","6,396","6,361","6,333","6,300","6,273","6,210","28,265","28,459","27,436","27,351","27,164","26,784","25,517","25,192","25,003","24,829","24,680","24,464","23,408","23,284","24,979","24,818","29,786"
Other Long-Term Assets,254.9,245.4,231,242.2,227.3,234.7,656,311,528,511,"1,878",870,813,833,643,629,424,381,366,370,340,330,435,648,611,642,670,663,641,617,588,557,651,662,683,688,626,639,783,"1,430"
Total Long-Term Assets,"2,912","2,905","2,928","2,912","2,852","2,812","9,944","9,511","9,262","9,034","9,385","9,353","9,006","8,231","8,017","7,972","7,724","7,656","7,627","7,601","7,541","7,507","7,539","31,920","32,024","30,894","30,926","30,752","30,293","29,052","28,475","28,392","28,350","28,195","27,950","26,950","26,770","28,507","28,512","34,792"
Total Assets,"4,884","4,959","4,919","4,837","4,798","4,835","13,127","12,564","12,097","11,900","12,009","11,778","11,618","11,107","10,090","10,099","9,856","10,070","9,851","9,889","9,852","9,792","10,117","38,947","38,336","38,105","37,852","37,145","36,960","36,590","36,064","35,018","34,709","34,444","34,138","33,381","33,524","35,507","35,362","42,293"
Accounts Payable,341.5,355.5,324,302.9,292.1,279.6,581,455,558,529,494,508,540,428,540,452,462,494,622,480,521,523,525,"1,423","1,261","1,422","1,094","1,207","1,406","1,373","1,406","1,608","1,767","1,723","1,721","2,078","1,945","2,054","2,029","2,112"
Deferred Revenue,298.5,298.2,266,278.1,253.3,241,433,421,353,328,294,289,260,231,252,264,290,296,372,410,479,466,496,"1,210","1,214","1,138","1,106","1,089","1,198","1,189","1,205","1,174","1,297","1,275","1,270","1,158","1,400","1,525","1,648","1,940"
Current Debt,98.4,82.7,60,53.6,75.3,27.3,163,180,583,474,397,399,313,354,634,602,528,828,382,599,408,109,759,659,260,898,668,668,10,14,14,13,13,265,264,"1,065",820,813,943,"2,396"
Other Current Liabilities,412.4,439.5,465,447.6,407.2,499.7,"1,097",815,645,681,796,660,552,719,500,600,461,528,474,467,414,508,488,"1,426","1,274","1,665","1,719","1,702","1,626","1,655","1,839","1,518","1,474","1,474","1,629","1,552","1,611","1,759","1,689","2,034"
Total Current Liabilities,"1,151","1,176","1,115","1,082","1,028","1,048","2,274","1,871","2,139","2,012","1,981","1,856","1,665","1,732","1,926","1,918","1,741","2,146","1,850","1,956","1,822","1,606","2,268","4,718","4,009","5,123","4,587","4,666","4,240","4,231","4,464","4,313","4,551","4,737","4,884","5,853","5,776","6,151","6,309","8,482"
Long-Term Debt,"1,577","1,576","1,564","1,576","1,576","1,576","5,053","4,901","4,443","4,319","4,120","4,087","4,087","3,859","3,396","3,395","3,391","3,391","3,408","3,410","3,411","3,412","2,763","7,138","7,475","7,023","7,046","6,998","7,677","7,803","7,733","7,845","7,816","7,572","7,538","6,712","6,966","8,955","8,581","11,876"
Other Long-Term Liabilities,443,411.9,415,382.6,383.1,370.7,"2,398","2,329","2,263","2,202","2,851","2,781","2,708","2,602","1,840","1,799","1,730","1,396","1,315","1,279","1,207","1,167","1,723","4,166","4,108","3,932","3,993","4,042","4,202","4,074","3,891","3,266","3,023","2,769","2,526","2,377","2,158","1,993","1,941","3,219"
