,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,43908400000,38006800000,38666400000,37893100000,39286100000,41102800000,41967000000,43946000000,46633100000,46838300000,47809000000,48187000000,48806000000,46919300000,47063600000,47461500000,49489800000,53163000000,54814000000,57915500000
totalCurrentAssets,20549600000,12597500000,13454500000,12661800000,13709600000,13994200000,14581900000,16239900000,17462100000,16604500000,17295500000,17808300000,18452400000,16964700000,17115200000,17639900000,18034500000,20811400000,21331600000,23007000000
cashAndCashEquivalentsAtCarryingValue,7320700000,2036400000,2290200000,1563800000,2337500000,1699000000,2365100000,3595300000,3657100000,3002400000,3220000000,3788200000,3818500000,2459200000,2622900000,2617400000,2067000000,3545900000,2694500000,2380800000
cashAndShortTermInvestments,7408900000,2137100000,2367900000,89200000,2438500000,1777400000,2387900000,3630300000,3681300000,3051400000,3271200000,3825300000,3908600000,2568300000,2736700000,2742100000,2211800000,3669300000,2829100000,2493900000
inventory,3098100000,3055200000,3181100000,3101300000,3190700000,3102400000,3313900000,3555400000,3980300000,3660800000,3824900000,3907400000,3886000000,3893000000,3899400000,3831100000,4309700000,4544800000,4798700000,4901400000
currentNetReceivables,5246500000,5178000000,5590000000,5537900000,4547300000,6352500000,5775600000,5844800000,5875300000,6658600000,6902800000,7025000000,6672800000,7805700000,7672400000,8324800000,6896000000,9022100000,9171400000,10363800000
totalNonCurrentAssets,14439300000,22351800000,25211900000,25231300000,23311000000,27108600000,27385100000,27706100000,25784700000,30233800000,30513500000,30378700000,26355100000,29954600000,29948400000,29821600000,27195500000,32351600000,33482400000,34908500000
propertyPlantEquipment,7996100000,7780000000,7847500000,7801500000,7872900000,7897900000,7981100000,8281100000,8681900000,8630100000,8855500000,8920400000,8985100000,9102700000,9128200000,9311300000,10144000000,10546200000,11277400000,11863200000
accumulatedDepreciationAmortizationPPE,8666900000,8792100000,8956300000,9055300000,9161600000,9141500000,9297000000,9600500000,9570700000,9643400000,9842200000,9962800000,9976700000,10138300000,10119700000,10074000000,10233400000,10486000000,10631600000,10767800000
