,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,1996-04-24,1996-07-23,1996-10-22,1997-01-21,1997-04-22,1997-07-22,1997-10-21,1998-01-20,1998-04-21,1998-07-21,1998-10-20,1999-01-28,1999-04-20,1999-07-20,1999-10-29,2000-01-28,2000-04-25,2000-07-20,2000-10-26,2001-01-25,2001-04-24,2001-07-26,2001-10-26,2002-01-25,2002-04-23,2002-07-18,2002-10-25,2003-01-24,2003-04-22,2003-07-24,2003-10-28,2004-01-27,2004-04-27,2004-07-27,2004-10-26,2005-01-27,2005-04-26,2005-07-26,2005-10-25,2006-01-26,2006-04-25,2006-07-25,2006-10-24,2007-01-25,2007-04-24,2007-07-24,2007-10-23,2008-01-24,2008-04-22,2008-07-22,2008-10-21,2009-01-22,2009-04-21,2009-07-21,2009-10-20,2010-01-28,2010-04-21,2010-07-27,2010-10-19,2011-01-27,2011-04-26,2011-07-26,2011-10-26,2012-01-26,2012-04-26,2012-07-24,2012-10-24,2013-01-24,2013-04-23,2013-07-23,2013-10-22,2014-01-23,2014-04-22,2014-07-22,2014-10-21,2015-01-27,2015-04-21,2015-07-20,2015-10-20,2016-01-26,2016-04-26,2016-07-19,2016-10-25,2017-01-24,2017-04-25,2017-07-18,2017-10-24,2018-01-29,2018-04-24,2018-07-24,2018-10-23,2019-01-29,2019-04-23,2019-07-23,2019-10-22,2020-01-28,2020-04-21,2020-07-21,2020-10-20,2021-01-26,2021-04-20,2021-07-26,2021-10-26,2022-01-25,2022-04-19,2022-07-19,2022-10-18,2023-01-24,2023-04-18,2023-07-18,2023-10-17
reportedEPS,0.61,0.67,0.69,0.74,0.67,0.7,0.76,0.9,0.71,0.77,0.84,0.81,0.51,-0.11,0.48,0.59,0.12,0.29,0.28,0.38,0.25,0.33,0.41,0.49,0.5,0.58,0.66,0.85,0.55,0.54,0.48,0.77,0.65,0.66,0.69,0.83,0.83,1.02,0.96,1.29,1.34,1.34,1.46,1.68,1.6,1.82,1.8,1.89,1.75,2.15,1.92,2.05,1.68,1.88,2.07,2.17,1.42,1.96,1.55,2.3,1.55,2.14,1.99,2.14,2.02,2.38,2.21,1.91,2.33,2.64,2.57,2.04,2.87,2.76,2.76,3.01,2.74,2.94,2.84,2.87,2.58,3.28,3.27,3.25,3,3.23,3.24,3.87,4.02,4.31,5.14,4.39,5.73,5,5.66,5.29,6.08,6.13,6.25,6.46,6.48,7.13,2.21,7.47,6.44,1.16,6.71,7.4,6.61,6.63,6.73
estimatedEPS,0.59,0.63,0.68,0.73,0.65,0.71,0.77,0.89,0.72,0.76,0.85,0.81,0.52,-0.13,0.47,0.59,0.1,0.2,0.4,0.36,0.21,0.28,0.37,0.48,0.47,0.57,0.65,0.81,0.42,0.52,0.57,0.76,0.53,0.61,0.65,0.75,0.75,0.83,0.9,1.15,1.14,1.16,1.24,1.46,1.37,1.53,1.64,1.69,1.63,1.88,1.89,1.92,1.64,1.81,1.83,1.99,1.34,1.78,1.53,2.11,1.51,1.93,1.81,1.94,1.7,1.91,1.85,1.82,2.04,2.2,2.26,1.95,2.53,2.66,2.71,2.85,2.5,2.66,2.72,2.94,2.59,2.93,2.87,3.05,2.79,3.11,3.26,4.07,3.4,3.92,4.31,4.4,4.34,4.77,5.02,5.03,5.8,5.72,6.09,6.41,6.31,6.53,1.97,7.16,6.21,1.73,6.66,7.39,6.06,6.45,6.67
surprise,0.02,0.04,0.01,0.01,0.02,-0.01,-0.01,0.01,-0.01,0.01,-0.01,0,-0.01,0.02,0.01,0,0.02,0.09,-0.12,0.02,0.04,0.05,0.04,0.01,0.03,0.01,0.01,0.04,0.13,0.02,-0.09,0.01,0.12,0.05,0.04,0.08,0.08,0.19,0.06,0.14,0.2,0.18,0.22,0.22,0.23,0.29,0.16,0.2,0.12,0.27,0.03,0.13,0.04,0.07,0.24,0.18,0.08,0.18,0.02,0.19,0.04,0.21,0.18,0.2,0.32,0.47,0.36,0.09,0.29,0.44,0.31,0.09,0.34,0.1,0.05,0.16,0.24,0.28,0.12,-0.07,-0.01,0.35,0.4,0.2,0.21,0.12,-0.02,-0.2,0.62,0.39,0.83,-0.01,1.39,0.23,0.64,0.26,0.28,0.41,0.16,0.05,0.17,0.6,0.24,0.31,0.23,-0.57,0.05,0.01,0.55,0.18,0.06
surprisePercentage,3.3898,6.3492,1.4706,1.3699,3.0769,-1.4085,-1.2987,1.1236,-1.3889,1.3158,-1.1765,0,-1.9231,15.3846,2.1277,0,20,45,-30,5.5556,19.0476,17.8571,10.8108,2.0833,6.383,1.7544,1.5385,4.9383,30.9524,3.8462,-15.7895,1.3158,22.6415,8.1967,6.1538,10.6667,10.6667,22.8916,6.6667,12.1739,17.5439,15.5172,17.7419,15.0685,16.7883,18.9542,9.7561,11.8343,7.362,14.3617,1.5873,6.7708,2.439,3.8674,13.1148,9.0452,5.9701,10.1124,1.3072,9.0047,2.649,10.8808,9.9448,10.3093,18.8235,24.6073,19.4595,4.9451,14.2157,20,13.7168,4.6154,13.4387,3.7594,1.845,5.614,9.6,10.5263,4.4118,-2.381,-0.3861,11.9454,13.9373,6.5574,7.5269,3.8585,-0.6135,-4.914,18.2353,9.949,19.2575,-0.2273,32.0276,4.8218,12.749,5.169,4.8276,7.1678,2.6273,0.78,2.6941,9.1884,12.1827,4.3296,3.7037,-32.948,0.7508,0.1353,9.0759,2.7907,0.8996
startPeriod,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31
endPeriod,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,43.38,45.88,48.31,46.44,52.25,56.72,54.22,58.94,58.5,54.25,56.75,43.0,46.0,39.94,33.38,22.31,27.31,33.6,37.58,39.5,39.8,46.0,52.98,59.96,71.52,69.96,65.6,58.95,51.66,55.0,51.2,52.19,52.5,55.68,61.77,61.47,65.46,65.24,64.28,77.78,77.95,86.45,93.24,103.5,100.1,108.75,113.74,110.25,110.6,120.3,112.31,85.9,87.06,82.92,79.65,87.18,87.06,76.34,73.7,82.43,81.92,82.23,81.86,91.09,92.24,93.99,95.92,96.59,109.26,131.6,149.99,168.41,168.87,182.79,198.72,207.06,205.17,213.34,227.91,223.86,245.37,266.93,269.9,274.57,284.98,311.36,323.94,363.0,361.99,348.0,351.35,311.78,363.75,399.96,395.95,442.53,417.62,402.38,395.46,374.24,396.99,384.7,378.1,479.99,475.5,445.49,498.95,489.5,508.1,479.5
stockLow,,36.5,38.12,42.62,41.0,39.12,49.19,44.06,48.44,49.97,43.62,41.0,34.62,33.75,30.19,16.38,16.5,19.69,24.06,30.06,31.0,34.05,35.36,42.4,45.85,57.35,52.3,48.51,40.64,43.32,44.09,44.78,43.1,45.03,51.05,52.19,52.54,58.28,59.82,58.5,62.52,69.87,71.57,82.7,91.08,93.06,88.86,103.33,90.44,98.44,97.8,67.38,57.41,65.21,72.2,67.39,73.61,74.62,68.19,67.68,68.65,75.1,66.36,70.37,79.05,80.14,85.65,87.08,85.88,94.0,105.54,121.52,144.69,153.54,156.23,166.28,186.01,185.41,181.91,201.81,200.47,219.17,235.28,228.5,248.0,266.01,276.32,303.31,317.5,291.52,292.32,241.18,256.79,296.14,350.81,363.0,266.11,322.01,339.18,345.65,319.81,367.38,335.1,324.23,351.56,394.66,373.67,381.55,437.62,439.7,405.72
