,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-03-27,2016-06-26,2016-09-25,2016-12-31,2017-03-26,2017-06-25,2017-09-24,2017-12-31,2018-03-25,2018-06-24,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-03-28,2021-06-27,2021-09-26,2021-12-31,2022-03-27,2022-06-26,2022-09-25,2022-12-31,2023-03-26,2023-06-25,2023-09-24,2023-12-31
Cash & Equivalents,"3,264","3,436","2,963","1,446","3,486","3,202","3,300","1,090","1,452","1,269","2,895","1,837","2,216","2,452","2,941","2,861","2,393","1,181",897,772,991,"1,167","2,539","1,514","1,988","2,855","3,585","3,160","2,933","2,745","2,727","3,604","1,883","1,775","2,430","2,547","2,440","3,673","3,551","1,442"
Cash & Cash Equivalents,"3,264","3,436","2,963","1,446","3,486","3,202","3,300","1,090","1,452","1,269","2,895","1,837","2,216","2,452","2,941","2,861","2,393","1,181",897,772,991,"1,167","2,539","1,514","1,988","2,855","3,585","3,160","2,933","2,745","2,727","3,604","1,883","1,775","2,430","2,547","2,440","3,673","3,551","1,442"
Cash Growth,6.49%,20.77%,11.35%,-44.75%,6.80%,-6.81%,11.37%,-24.62%,-58.35%,-60.37%,-12.27%,68.53%,52.62%,93.22%,1.59%,55.74%,7.99%,-51.84%,-69.50%,-73.02%,-58.59%,-1.19%,183.05%,96.11%,100.61%,144.64%,41.20%,108.72%,47.54%,-3.85%,-23.93%,14.05%,-35.80%,-35.34%,-10.89%,-29.33%,29.58%,106.93%,46.13%,-43.38%
Receivables,"6,255","6,434","6,081","5,877","6,545","7,064","6,740","7,254","8,620","9,275","8,955","8,202","8,869","8,762","9,021","2,265","2,373","2,482","2,416","2,444","2,833","2,546","2,384","2,337","2,892","2,835","2,480","1,978","2,214","2,611","2,267","1,963","2,527","3,401","2,484","2,505","2,583","3,427","2,405","2,132"
Inventory,"2,949","2,646","2,898","2,804","3,087","3,032","3,237","4,819","5,223","5,136","4,852","4,670","5,074","4,941","4,803","2,878","3,196","3,038","3,050","2,997","3,285","3,599","3,474","3,619","3,539","3,521","3,293","3,545","3,256","3,119","2,903","2,981","3,144","3,431","3,113","3,088","3,471","3,498","3,312","3,132"
Other Current Assets,"1,766","1,647","1,742","2,195","2,100","1,989","1,778","1,410",472,393,408,399,427,411,443,"9,501","9,854","9,803","10,496","9,890","10,922","10,788","11,406","9,625","10,803","10,359","10,932","10,695","11,849","12,199","13,460","11,267","12,836","12,366","12,933","12,851","13,650","13,489","14,054","13,815"
Total Current Assets,"14,234","14,163","13,684","12,322","15,218","15,287","15,055","14,573","15,767","16,073","17,110","15,108","16,586","16,566","17,208","17,505","17,816","16,504","16,859","16,103","18,031","18,100","19,803","17,095","19,222","19,570","20,290","19,378","20,252","20,674","21,357","19,815","20,390","20,973","20,960","20,991","22,144","24,087","23,322","20,521"
"Property, Plant & Equipment","4,612","4,559","4,590","4,751","4,654","4,640","4,677","5,389","5,417","5,438","5,369","5,549","5,481","5,532","5,511","5,775","5,749","5,786","5,902","6,124","6,140","6,170","6,240","6,591","6,605","6,663","6,803","7,213","7,213","7,290","7,332","7,597","7,561","7,569","7,629","7,975","7,938","7,966","8,046","8,370"
Goodwill and Intangibles,"10,370","10,505","10,774","11,186","10,841","10,867","10,832","14,717","17,704","17,672","14,996","14,857","14,792","14,724","14,689","14,604","14,536","14,427","14,358","14,263","14,194","14,126","14,040","13,817","13,707","13,656","13,602","13,818","13,729","13,659","13,583","13,519","13,455","13,378","13,285","13,239","13,173","13,131","13,056","13,011"
Other Long-Term Assets,"7,703","8,023","7,885","8,787","9,039","9,054","9,053","14,625","11,270","11,225","11,264","12,292","11,977","11,889","11,538","8,736","8,533","8,408","8,376","8,386","9,319","9,444","9,192","10,025","9,714","9,714","10,078","10,301","10,243","10,476","9,571","9,942","10,104","9,838","10,156","10,675","11,367","11,794","12,242","10,554"
Total Long-Term Assets,"22,685","23,087","23,249","24,724","24,534","24,561","24,562","34,731","34,391","34,335","31,629","32,698","32,250","32,145","31,738","29,115","28,818","28,621","28,636","28,773","29,653","29,740","29,472","30,433","30,026","30,033","30,483","31,332","31,185","31,425","30,486","31,058","31,120","30,785","31,070","31,889","32,478","32,891","33,344","31,935"
Total Assets,"36,919","37,250","36,933","37,046","39,752","39,848","39,617","49,304","50,158","50,408","48,739","47,806","48,836","48,711","48,946","46,620","46,634","45,125","45,495","44,876","47,684","47,840","49,275","47,528","49,248","49,603","50,773","50,710","51,437","52,099","51,843","50,873","51,510","51,758","52,030","52,880","54,622","56,978","56,666","52,456"
Accounts Payable,"8,139","8,155","7,904","7,337","7,493","7,565","7,554","8,448","9,571","10,014","9,670","8,429","9,290","9,014","9,043","1,467","2,715","2,675","2,691","2,402","3,097","2,611","2,904","1,281","3,166","1,453","1,491",880,"1,889","1,608","1,520",780,"2,599","2,309","2,622","2,117","3,271","3,466","3,817","2,312"
Current Debt,0,0,0,0,0,452,952,956,956,502,0,0,0,0,0,750,750,750,"1,240","1,500","1,300",900,900,"1,250","1,250",500,"1,000",500,506,506,6,0,500,0,0,118,115,283,168,168
Other Current Liabilities,"3,856","3,992","4,229","3,775","4,074","4,607","4,474","4,514","4,385","5,079","4,755","4,113","4,307","4,627","4,041","10,696","10,509","10,456","11,273","10,496","11,006","11,621","11,711","11,441","11,236","12,935","12,710","12,553","12,322","13,128","13,500","13,217","12,948","14,170","13,725","13,652","13,596","13,955","13,208","14,457"
Total Current Liabilities,"11,995","12,147","12,133","11,112","11,567","12,624","12,980","13,918","14,912","15,595","14,425","12,542","13,597","13,641","13,084","12,913","13,974","13,881","15,204","14,398","15,403","15,132","15,515","13,972","15,652","14,888","15,201","13,933","14,717","15,242","15,026","13,997","16,047","16,479","16,347","15,887","16,982","17,704","17,193","16,937"
Long-Term Debt,"6,152","6,169","6,165","6,142","8,404","7,950","7,460","14,305","14,320","14,307","14,304","14,282","14,276","14,283","14,268","13,513","13,473","13,479","13,486","12,604","12,621","12,637","12,652","11,404","11,439","12,174","11,675","11,669","11,657","11,665","11,668","11,670","11,145","11,644","11,480","15,429","15,485","17,262","17,221","17,291"
Other Long-Term Liabilities,"13,972","14,615","14,061","16,392","16,261","16,292","16,364","17,984","17,749","17,509","17,580","19,376","19,378","19,438","19,419","20,970","19,298","17,286","15,803","16,425","17,138","17,175","17,171","18,981","18,670","18,755","18,911","19,070","18,730","18,662","15,518","14,247","14,316","12,203","12,237","12,298","12,509","12,772","12,978","11,393"
Total Long-Term Liabilities,"20,124","20,784","20,226","22,534","24,665","24,242","23,824","32,289","32,069","31,816","31,884","33,658","33,654","33,721","33,687","34,483","32,771","30,765","29,289","29,029","29,759","29,812","29,823","30,385","30,109","30,929","30,586","30,739","30,387","30,327","27,186","25,917","25,461","23,847","23,717","27,727","27,994","30,034","30,199","28,684"
