,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,368","7,079","8,620","9,852","9,968","13,152","12,870","15,390","13,859","13,091","12,338"
Market Cap Growth,28.71%,-3.92%,21.76%,14.29%,1.18%,31.93%,-2.14%,19.58%,-9.95%,-5.54%,-
Enterprise Value,"11,220","11,069","13,176","15,105","15,891","19,663","19,982","23,234","22,557","22,538","21,785"
PE Ratio,19.23,18.72,23.20,21.54,19.47,23.61,20.96,23.35,20.20,18.62,17.39
PS Ratio,2.20,2.18,2.60,2.91,2.82,3.61,3.77,4.20,3.30,3.25,3.06
PB Ratio,2.14,1.90,2.23,2.36,2.17,2.53,2.26,2.57,2.21,1.93,1.82
P/FCF Ratio,-657.89,-79.45,-11.67,-12.96,-9.58,-14.96,-16.25,-31.54,-15.30,-15.15,-15.15
P/OCF Ratio,8.26,8.13,21.94,18.89,18.88,19.93,25.69,26.44,28.52,15.10,14.23
EV/Sales Ratio,3.35,3.40,3.97,4.47,4.50,5.39,5.85,6.33,5.36,5.60,5.41
EV/EBITDA Ratio,11.15,10.57,12.56,12.47,12.00,13.32,13.71,15.15,13.24,12.68,12.26
EV/EBIT Ratio,18.15,17.14,20.67,20.15,19.45,21.63,23.73,26.49,21.84,20.47,19.79
EV/FCF Ratio,-1001.79,-124.23,-17.84,-19.87,-15.27,-22.37,-25.23,-47.61,-24.90,-26.09,-26.09
Debt / Equity Ratio,1.14,1.07,1.18,1.26,1.30,1.25,1.26,1.32,1.39,1.40,1.40
Debt / EBITDA Ratio,3.88,3.82,4.35,4.36,4.49,4.42,4.92,5.14,5.12,5.35,5.35
Debt / FCF Ratio,-348.98,-44.84,-6.18,-6.95,-5.71,-7.43,-9.05,-16.15,-9.62,-11.01,-11.01
Quick Ratio,0.40,0.30,0.43,0.24,0.23,0.20,0.36,0.23,0.23,0.23,0.23
Current Ratio,0.86,0.61,0.76,0.42,0.48,0.43,0.68,0.52,0.53,0.55,0.55
Asset Turnover,0.29,0.26,0.26,0.24,0.24,0.22,0.20,0.20,0.21,0.20,0.20
Interest Coverage,3.42,3.45,3.25,3.48,3.31,3.33,3.06,3.17,3.18,2.79,2.79
Return on Equity (ROE),11.30%,10.30%,9.70%,11.20%,11.50%,11.40%,10.90%,11.20%,11.10%,10.70%,10.70%
Return on Assets (ROA),3.30%,3.10%,2.90%,3.30%,3.40%,3.40%,3.50%,3.60%,3.50%,3.40%,3.40%
Return on Capital (ROIC),6.65%,6.33%,5.69%,6.21%,6.04%,5.91%,6.34%,6.44%,6.00%,5.76%,5.76%
Earnings Yield,5.20%,5.34%,4.31%,4.64%,5.14%,4.24%,4.77%,4.28%,4.95%,5.37%,5.70%
FCF Yield,-0.15%,-1.26%,-8.57%,-7.72%,-10.44%,-6.68%,-6.15%,-3.17%,-6.54%,-6.60%,-7.00%
Dividend Yield,3.10%,3.50%,3.10%,3.00%,3.20%,2.60%,2.90%,2.60%,3.10%,3.50%,3.97%
Payout Ratio,59.00%,65.50%,71.60%,63.30%,61.20%,60.70%,61.50%,61.20%,62.60%,65.10%,69.06%
Buyback Yield / Dilution,-0.05%,-1.67%,-0.75%,-1.14%,-1.70%,-2.31%,-4.06%,-0.80%,-0.20%,-0.84%,-0.84%
Total Shareholder Return,3.05%,1.83%,2.35%,1.86%,1.50%,0.29%,-1.16%,1.80%,2.90%,2.66%,3.14%
