,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-03-26,2017-06-25,2017-09-24,2017-12-24,2018-03-25,2018-06-24,2018-09-23,2018-12-23,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25,2022-12-25,2023-03-26,2023-06-25,2023-09-24,2023-12-24,Current
Market Capitalization,"8,844","10,855","12,190","12,869","11,477","13,119","9,978","12,733","12,534","13,132","14,709","17,595","20,758","24,484","28,711","30,234","33,019","28,659","24,532","19,733","27,316","28,162","33,254","42,610","35,109","43,914","48,096","69,173","83,491","89,913","86,944","98,379","77,397","62,448","52,132","56,205","67,746","81,781","82,039","102,796","121,405"
Market Cap Growth,31.40%,50.45%,46.10%,46.27%,29.77%,20.86%,-18.14%,-1.06%,9.20%,0.10%,47.40%,38.19%,65.62%,86.45%,95.20%,71.83%,59.07%,17.05%,-14.55%,-34.73%,-17.27%,-1.73%,35.55%,115.93%,28.53%,55.93%,44.63%,62.34%,137.80%,104.75%,80.77%,42.22%,-7.30%,-30.55%,-40.04%,-42.87%,-12.47%,30.96%,57.37%,82.90%,-
Enterprise Value,"7,458","8,978","10,679","11,363","9,896","11,232","7,833","10,429","10,153","10,379","11,570","14,233","17,301","20,880","24,706","27,470","29,482","25,869","23,013","17,843","25,685","26,966","31,842","42,090","34,548","42,761","47,012","68,704","83,265","88,933","87,076","97,793","77,800","63,545","52,508","56,369","67,131","81,418","81,867","102,142","120,751"
PE Ratio,18.25,17.17,17.72,17.98,15.15,20.01,12.42,14.99,15.94,14.37,16.54,17.61,14.51,14.42,14.18,17.98,17.51,12.04,10.56,6.80,10.23,12.85,15.66,20.59,16.74,19.50,18.43,23.34,24.13,23.01,20.39,21.43,17.04,13.56,10.75,10.97,13.78,18.13,20.65,29.73,35.75
PS Ratio,2.04,2.36,2.57,2.65,2.28,2.49,1.75,2.16,2.15,2.23,2.49,2.76,2.88,3.06,3.24,3.16,3.21,2.59,2.25,1.82,2.62,2.92,3.51,4.46,3.65,4.37,4.35,5.80,6.29,6.15,5.52,5.95,4.62,3.63,2.90,2.95,3.59,4.69,5.18,7.18,8.48
PB Ratio,1.84,2.16,2.49,2.57,2.25,2.57,1.86,2.29,2.20,2.23,2.38,2.75,3.08,3.59,3.95,4.92,4.85,4.41,4.61,3.41,5.16,6.03,6.74,9.73,7.74,8.49,8.88,12.57,15.54,14.92,14.94,15.19,12.84,9.95,7.03,6.77,8.06,9.96,10.20,12.50,14.77
P/FCF Ratio,16.98,14.91,15.25,16.36,16.46,22.34,11.24,12.08,12.15,10.47,11.43,12.68,12.74,13.07,12.82,16.64,13.54,12.03,10.91,6.95,10.13,9.80,12.63,18.19,17.77,22.83,23.14,33.18,31.27,27.76,29.17,24.41,21.70,24.45,15.88,19.01,17.14,17.48,18.22,21.14,24.96
P/OCF Ratio,13.69,15.14,15.12,15.35,15.52,16.70,9.13,10.38,10.29,9.73,10.70,11.86,12.04,12.07,11.89,14.83,12.38,10.79,9.74,6.30,9.06,8.87,11.39,16.48,16.00,20.65,20.87,29.54,28.16,25.06,25.55,21.87,18.92,20.15,13.61,15.92,15.05,15.79,16.61,19.56,23.11
Debt / Equity Ratio,0.31,0.27,0.31,0.31,0.50,0.46,0.44,0.43,0.42,0.73,0.70,0.43,0.40,0.40,0.33,0.52,0.47,0.37,0.44,0.35,0.90,0.96,0.90,1.01,1.12,1.12,1.08,1.06,1.08,0.83,0.86,0.77,0.83,0.80,0.67,0.60,0.60,0.61,0.62,0.61,0.61
Quick Ratio,2.41,2.54,2.44,2.33,2.97,2.03,2.46,2.60,2.56,3.45,3.52,2.83,2.82,2.70,2.86,2.11,2.23,2.34,2.03,2.66,2.82,3.01,3.04,2.72,3.72,2.87,2.71,2.56,2.45,2.55,2.42,2.33,1.98,1.80,1.82,1.96,2.00,1.96,1.88,1.95,1.95
Current Ratio,2.88,3.02,2.93,2.88,3.49,2.38,2.86,3.00,2.96,3.81,3.86,3.20,3.22,3.10,3.31,2.47,2.64,2.90,2.66,3.40,3.37,3.61,3.60,3.30,4.47,3.43,3.31,3.19,3.13,3.30,3.27,3.13,2.83,2.69,2.69,3.02,3.09,3.16,3.06,3.06,3.06
Return on Capital (ROIC),Upgrade,8.30%,9.41%,10.07%,10.41%,9.48%,9.33%,11.18%,11.76%,10.97%,10.01%,9.45%,12.27%,16.25%,18.70%,21.53%,18.20%,19.49%,27.34%,30.96%,38.31%,26.60%,24.07%,22.94%,23.63%,22.70%,21.30%,24.19%,27.29%,31.83%,36.35%,40.27%,40.44%,41.76%,42.30%,40.52%,40.17%,37.95%,34.55%,30.62%,25.93%
Dividend Yield,0.00%,0.30%,0.50%,0.70%,1.00%,1.00%,1.50%,1.30%,1.50%,1.50%,1.30%,1.20%,1.20%,1.10%,1.00%,1.00%,0.90%,1.50%,2.10%,3.00%,2.50%,2.30%,1.40%,1.50%,1.90%,1.50%,1.40%,1.00%,0.90%,0.80%,0.80%,0.80%,1.00%,1.30%,2.00%,1.60%,1.30%,1.10%,1.20%,1.00%,0.86%
Payout Ratio,0.00%,13.00%,20.70%,16.20%,13.80%,36.10%,16.50%,21.30%,33.30%,18.50%,18.30%,22.00%,12.80%,13.80%,12.40%,-833.30%,10.40%,17.40%,32.10%,30.00%,30.40%,30.10%,0.00%,64.40%,29.00%,24.00%,0.00%,43.00%,17.30%,16.20%,0.00%,35.30%,20.40%,17.10%,16.60%,16.00%,28.60%,28.70%,29.90%,27.60%,30.89%
