,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,279.55,239.03,266.05,303.38,258.66,483.8,645.6,588.91,975.32,854.8
Depreciation & Amortization,49.07,58.36,73.38,87.7,108.24,122.48,161.93,185.48,224.21,291.79
Share-Based Compensation,3.63,7.86,10.36,16.82,17.61,28.57,45.59,50.8,69.14,78.08
Other Operating Activities,-53.91,9.2,-52.25,-21.51,104.83,107.93,-183.81,-21.85,120.44,-258.2
Operating Cash Flow,278.34,314.45,297.54,386.39,489.34,742.78,669.32,803.34,"1,389",966.46
Operating Cash Flow Growth,-0.63%,12.97%,-5.38%,29.86%,26.64%,51.79%,-9.89%,20.02%,72.92%,-30.43%
Capital Expenditures,-106.41,-119.73,-143.49,-149.51,-157.86,-225.81,-283.05,-229.23,-394.5,-638.66
Acquisitions,0,0,0,0,0,0,0,-452.58,0,0
Change in Investments,0,0,0,0,-7.2,-16.22,0.35,-14.61,-23.39,47.8
Other Investing Activities,-,-,-,-,-8.33,-0.77,4.29,0.88,-10,20.92
Investing Cash Flow,-106.41,-119.73,-143.49,-149.51,-173.39,-242.79,-278.41,-695.53,-427.89,-569.94
Share Issuance / Repurchase,8.17,-144.52,-269.49,-22.42,-94.63,-580.69,-155.23,-80.79,-844.22,-467.46
Other Financing Activities,0.74,-4.56,-3,-4.19,-3.23,-9.52,-21.94,-,-0.77,-0.03
Financing Cash Flow,8.91,-149.08,-272.49,-26.61,-97.86,-590.21,-177.17,-80.79,-844.99,-467.49
Exchange Rate Effect,-72.37,-79.81,-44.56,23.09,37.57,-18.95,-1.55,30,-6.88,-34.04
Net Cash Flow,108.47,-34.17,-163,233.36,255.66,-109.18,212.19,57.01,109.35,-105
Free Cash Flow,171.93,194.72,154.05,236.88,331.47,516.97,386.27,574.11,994.61,327.81
Free Cash Flow Growth,-8.00%,13.25%,-20.88%,53.77%,39.93%,55.96%,-25.28%,48.63%,73.24%,-67.04%
Free Cash Flow Margin,10.81%,10.83%,7.48%,10.10%,12.51%,15.72%,9.71%,13.04%,15.90%,4.04%
Free Cash Flow Per Share,1.19,1.35,1.10,1.73,2.44,3.88,2.96,4.41,7.66,2.57
