,2014-02-02,2014-05-04,2014-08-03,2014-11-02,2015-02-01,2015-05-03,2015-08-02,2015-11-01,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-01-28,2018-04-29,2018-07-29,2018-10-28,2019-02-03,2019-05-05,2019-08-04,2019-11-03,2020-02-02,2020-05-03,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29,Current
Market Capitalization,"5,265","5,245","4,425","4,724","8,754","8,400","8,273","6,427","7,991","8,357","9,875","7,432","8,506","6,618","7,848","7,838","9,932","12,464","15,110","16,528","17,918","22,023","21,990","24,713","29,525","27,143","40,638","39,886","41,125","41,964","50,002","58,070","39,202","43,517","38,019","40,174","38,048","46,370","46,092","46,970","59,036"
Market Cap Growth,-30.59%,-38.89%,-46.39%,-39.46%,66.29%,60.13%,86.98%,36.06%,-8.71%,-0.50%,19.36%,15.64%,6.44%,-20.81%,-20.53%,5.45%,16.77%,88.32%,92.53%,110.89%,80.40%,76.70%,45.53%,49.52%,64.78%,23.25%,84.81%,61.40%,39.29%,54.60%,23.04%,45.59%,-4.68%,3.70%,-23.97%,-30.82%,-2.94%,6.56%,21.23%,16.92%,-
Enterprise Value,"4,566","4,493","3,699","4,090","8,090","7,744","7,732","6,024","7,490","7,807","9,340","6,952","7,771","5,920","7,127","7,187","8,942","11,497","14,432","15,825","17,037","22,111","22,064","24,822","29,172","27,104","40,896","40,178","40,773","41,569","49,627","57,936","38,823","43,772","38,474","40,860","37,963","46,518","46,178","47,047","59,112"
PE Ratio,18.83,20.88,18.17,19.86,36.62,31.36,31.01,24.77,30.04,31.71,36.64,26.11,28.04,22.88,27.60,28.50,38.40,41.19,43.22,42.92,37.04,43.59,41.14,43.66,45.73,46.99,75.33,71.60,69.83,59.50,60.50,66.70,40.19,42.65,34.51,34.35,44.51,48.54,45.76,46.95,57.20
PS Ratio,3.31,3.22,2.64,2.75,4.87,4.58,4.36,3.28,3.88,3.92,4.50,3.29,3.63,2.79,3.22,3.12,3.75,4.49,5.17,5.42,5.45,6.44,6.14,6.59,7.42,7.05,10.51,9.80,9.34,8.43,9.05,9.91,6.27,6.55,5.38,5.38,4.69,5.46,5.22,5.11,6.43
PB Ratio,4.80,4.65,3.93,4.35,8.04,7.34,7.55,6.06,7.78,7.36,8.54,6.17,6.25,4.91,5.62,5.51,6.22,7.62,11.45,11.75,12.39,16.11,14.59,14.99,15.12,14.79,20.31,18.44,16.07,15.90,18.72,21.84,14.31,16.31,13.30,13.22,12.08,13.97,13.04,13.32,16.74
P/FCF Ratio,30.62,24.59,20.40,20.85,44.96,59.07,92.05,182.97,51.88,47.91,45.52,32.50,35.91,29.68,30.29,29.18,29.96,37.38,37.28,35.36,34.66,57.32,72.04,103.95,76.44,78.87,95.10,94.98,71.63,46.76,51.33,55.27,39.41,88.79,159.98,436.70,116.07,78.46,47.55,35.96,45.20
P/OCF Ratio,18.91,16.18,13.35,13.48,27.84,31.77,37.16,37.03,26.86,26.39,26.94,20.07,22.01,18.09,20.27,18.70,20.30,24.64,25.30,24.49,24.12,34.19,37.73,47.43,44.11,44.43,59.82,60.47,51.19,36.85,40.23,42.20,28.22,46.70,51.12,61.69,39.37,36.94,28.20,23.98,30.15
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,-,-,0.49,0.46,0.42,0.38,0.43,0.39,0.36,0.31,0.30,0.30,0.32,0.32,0.34,0.33,0.34,0.34,0.33,0.34,0.33,0.33
Quick Ratio,6.11,7.20,6.39,4.36,4.24,4.66,3.74,2.00,2.28,2.76,2.76,2.31,3.07,3.44,3.29,2.79,3.45,3.70,1.78,1.65,1.83,1.19,1.18,1.08,1.83,1.38,0.75,0.74,1.37,1.28,1.25,0.96,0.95,0.60,0.48,0.34,0.86,0.84,0.88,0.83,0.83
