,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"44,445","39,748","39,057","34,957","43,517","31,905","31,501","30,607","30,693","27,037","31,655"
Market Cap Growth,35.35%,-10.57%,-1.74%,-10.50%,24.49%,-26.68%,-1.27%,-2.84%,0.28%,-11.91%,-
Enterprise Value,"45,820","44,167","45,090","41,913","49,301","39,999","43,695","45,319","42,470","37,712","41,314"
PE Ratio,11.52,9.52,8.73,9.11,8.92,6.81,9.29,21.55,5.47,6.97,14.00
PS Ratio,1.01,0.87,1.19,1.20,1.26,0.82,0.91,1.10,0.67,0.54,0.76
PB Ratio,3.56,4.78,5.96,5.78,4.86,3.11,3.92,3.84,2.59,2.14,2.40
P/FCF Ratio,13.58,8.74,8.87,10.39,11.89,9.48,13.90,21.01,5.35,6.39,8.99
P/OCF Ratio,9.19,6.57,6.69,6.24,8.36,5.83,6.35,8.99,3.99,4.42,6.28
EV/Sales Ratio,1.04,0.97,1.38,1.44,1.43,1.03,1.26,1.63,0.92,0.75,1.00
EV/EBITDA Ratio,7.25,6.23,5.96,6.34,6.90,5.79,7.66,13.75,4.89,5.96,8.68
EV/EBIT Ratio,8.64,7.28,6.92,7.56,8.26,7.06,9.95,23.73,5.82,7.46,12.63
EV/FCF Ratio,14.00,9.71,10.24,12.46,13.47,11.88,19.27,31.10,7.40,8.92,11.73
Debt / Equity Ratio,0.47,0.85,1.23,1.48,0.96,0.92,1.65,2.16,1.12,1.02,0.95
Debt / EBITDA Ratio,0.92,0.99,1.06,1.36,1.21,1.36,2.33,5.21,1.53,2.03,2.63
Debt / FCF Ratio,1.78,1.55,1.82,2.67,2.36,2.79,5.86,11.79,2.31,3.03,3.55
Quick Ratio,1.54,1.12,1.04,1.07,1.33,0.87,0.81,1.07,0.87,0.85,0.96
Current Ratio,2.65,2.14,2.25,2.11,2.46,1.92,1.83,2.12,1.69,1.75,1.89
Asset Turnover,1.70,1.75,1.37,1.24,1.39,1.41,1.14,0.85,1.24,1.37,1.13
Interest Coverage,17.16,17.23,21.02,17.22,12.15,15.73,12.66,3.63,14.06,17.62,7.42
Return on Equity (ROE),32.10%,41.00%,61.10%,62.00%,65.90%,45.00%,36.90%,19.00%,52.20%,31.20%,17.70%
Return on Assets (ROA),14.90%,16.00%,18.80%,16.30%,19.60%,16.90%,11.20%,4.40%,15.10%,10.50%,6.20%
Return on Capital (ROIC),21.52%,27.28%,30.29%,24.73%,27.69%,23.55%,16.21%,6.39%,22.34%,16.34%,10.14%
Earnings Yield,8.68%,10.50%,11.46%,10.97%,11.21%,14.69%,10.76%,4.64%,18.28%,14.36%,7.21%
FCF Yield,7.37%,11.44%,11.27%,9.62%,8.41%,10.55%,7.20%,4.76%,18.69%,15.64%,11.13%
Dividend Yield,2.50%,3.40%,3.50%,3.90%,3.20%,4.80%,20.30%,4.60%,4.80%,11.90%,5.12%
Payout Ratio,29.40%,33.60%,31.60%,36.40%,29.00%,33.20%,199.70%,99.10%,26.50%,83.60%,71.63%
Buyback Yield / Dilution,3.75%,9.57%,10.23%,9.33%,3.21%,2.74%,13.10%,-0.15%,0.34%,2.15%,0.62%
Total Shareholder Return,6.25%,12.97%,13.73%,13.23%,6.41%,7.54%,33.40%,4.45%,5.14%,14.05%,5.73%
