,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,493.38,528.88,546.24,528.71,543.21,533.95,541.39,540.34,557.61,799.41,871.36,834.37,902.66,972.1,"1,012",994.2,"1,002","1,213","1,433","1,375","1,330","1,323","1,338","1,287","1,326","1,310","1,310","1,352","1,467","1,569","1,650","1,758","1,844","1,964","2,073","2,169","2,233","2,289","2,254","1,766"
Revenue Growth (YoY),14.70%,14.28%,10.87%,9.61%,10.10%,0.96%,-0.89%,2.20%,2.65%,49.72%,60.95%,54.41%,61.88%,21.60%,16.15%,19.16%,11.04%,24.73%,41.54%,38.27%,32.67%,9.08%,-6.61%,-6.35%,-0.26%,-0.98%,-2.12%,5.03%,10.61%,19.83%,25.99%,29.98%,25.70%,25.12%,25.66%,23.43%,21.07%,16.55%,8.74%,-18.60%
Cost of Revenue,202.8,222.36,238.79,226.75,229.58,224.94,240.44,247.63,254.8,450.92,460.74,369.11,369.83,387.7,398,387.1,387.2,570.5,743.2,595.1,509.4,507.4,510.3,501.9,512.5,511.4,501.6,506.3,540.3,561.8,581.5,604.2,623.8,653.7,675.3,698.4,713.4,730.2,726.9,645.7
Gross Profit,290.59,306.52,307.45,301.96,313.63,309.02,300.95,292.72,302.82,348.49,410.62,465.26,532.83,584.4,614.1,607.1,615.1,642,689.3,779.6,820.4,815.2,827.5,785.5,813.9,798.3,807.9,845.8,926.8,"1,008","1,068","1,153","1,220","1,310","1,398","1,471","1,519","1,558","1,527","1,120"
"Selling, General & Admin",65.34,69.26,71.11,66.67,67.78,66.85,80.26,76.27,78.32,157.51,120.13,111.02,111.15,114.3,114.3,109.1,114.5,164,176.6,174.8,167.4,167.9,172.3,170.7,165.7,146.3,144.7,154.2,165.1,174.3,179.9,177.5,187.2,188.9,202.4,202.9,203.5,203.6,196.6,172.2
Research & Development,77.36,84.37,88.81,88.7,87.66,84.68,95.26,97.02,95.64,147.88,137.8,132.43,127.19,130.5,133.6,131.6,133.6,171.9,221.9,217.7,214.7,219.1,219.8,217.1,221.8,198,199.8,210.1,228.5,238.4,246.2,245.4,259.1,269,268.6,282.4,298.3,298.5,292.6,266
Other Operating Expenses,21.84,36.95,46.21,48.59,47.85,36.17,50.49,43.29,48.95,102.21,89.94,103.74,140.42,118,140.8,121.2,122.9,173.8,188.1,192.4,153.6,256.6,251.8,266.5,265.7,235.7,237.2,235.9,225.2,226.1,225.9,215.4,224.6,150.7,171.8,173.9,169.5,153.2,153.2,152.4
Operating Expenses,164.55,190.57,206.14,203.95,203.29,187.7,226,216.59,222.91,407.59,347.86,347.19,378.76,362.8,388.7,361.9,371,509.7,586.6,584.9,535.7,643.6,643.9,654.3,653.2,580,581.7,600.2,618.8,638.8,652,638.3,670.9,608.6,642.8,659.2,671.3,655.3,642.4,590.6
Operating Income,126.04,115.95,101.32,98.01,110.35,121.32,74.95,76.13,79.9,-59.1,62.76,118.07,154.07,221.6,225.4,245.2,244.1,132.3,102.7,194.7,284.7,171.6,183.6,131.2,160.7,218.3,226.2,245.6,308,368.8,416.3,515,549.5,701.3,755.1,811.6,848,903.1,885,529.4
Interest Expense / Income,11.96,13.68,14.02,14.22,20.11,24.05,25.64,27.51,26.8,34.42,35.13,35.14,41.62,49.5,49.5,49.7,50.3,90.4,138.6,137.6,136.2,132.6,129.6,119.7,115.4,99.1,93.3,86.5,78,72.3,64.8,62.1,57.8,50.3,53.3,52.8,47.5,47.2,46.8,49.2
Other Expense / Income,-4.15,-4.72,-5.01,-3.66,27.39,-22.51,-4.65,-1.53,-4.51,1.37,4.06,-0.41,40.69,5.9,-10.3,-1.2,5.6,4.2,3.5,2.1,-2.7,-1.5,0.5,0.9,-0.5,29.7,44.1,142.3,85.6,-0.5,86.7,11.4,12.5,4.4,2.7,-3.4,-1.3,7.6,4.6,-4.1
