,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"217,508","295,978","331,593","512,759","376,725","585,321","778,040","935,645","319,087","909,629","1,206,321"
Market Cap Growth,62.13%,36.08%,12.03%,54.63%,-26.53%,55.37%,32.93%,20.26%,-65.90%,185.07%,-
Enterprise Value,"206,542","277,658","302,144","471,048","335,611","540,790","726,740","901,520","304,940","881,460","1,178,152"
PE Ratio,74.36,80.67,32.55,32.21,17.04,31.67,26.70,23.77,13.75,23.27,31.83
PS Ratio,17.45,16.51,12.00,12.61,6.75,8.28,9.05,7.93,2.74,6.74,8.94
PB Ratio,6.03,6.69,5.60,6.90,4.48,5.79,6.07,7.49,2.54,5.94,7.88
P/FCF Ratio,39.58,37.96,28.54,29.33,24.53,27.59,32.92,23.92,16.54,20.64,27.37
P/OCF Ratio,29.69,28.68,20.59,21.17,12.87,16.12,20.08,16.22,6.32,12.79,16.96
EV/Sales Ratio,16.57,15.49,10.93,11.59,6.01,7.65,8.45,7.64,2.62,6.53,8.73
EV/EBITDA Ratio,33.57,34.11,20.33,19.94,11.31,17.70,18.15,16.32,8.13,15.04,20.10
EV/EBIT Ratio,42.07,44.83,24.14,22.87,13.23,21.80,21.90,19.07,10.58,18.59,24.84
EV/FCF Ratio,37.59,35.61,26.01,26.94,21.85,25.49,30.75,23.05,15.81,20.00,26.73
Debt / Equity Ratio,0.01,0.00,-,-,-,0.10,0.08,0.11,0.21,0.24,0.24
Debt / EBITDA Ratio,0.04,0.01,-,-,-,0.34,0.27,0.25,0.71,0.64,0.64
Debt / FCF Ratio,0.04,0.01,-,-,-,0.49,0.45,0.35,1.38,0.84,0.84
Quick Ratio,9.04,10.91,11.63,12.64,6.94,4.28,4.89,2.94,2.01,2.55,2.55
Current Ratio,9.40,11.25,11.97,12.92,7.19,4.40,5.05,3.15,2.20,2.67,2.67
Asset Turnover,0.48,0.39,0.48,0.53,0.61,0.58,0.59,0.70,0.67,0.65,0.65
Return on Equity (ROE),12.70%,9.00%,19.30%,23.20%,27.50%,20.00%,25.20%,29.70%,18.60%,28.20%,28.20%
Return on Assets (ROA),11.30%,8.10%,17.50%,20.80%,24.00%,15.30%,20.00%,23.50%,13.30%,18.70%,18.70%
Return on Capital (ROIC),8.23%,8.36%,17.13%,21.03%,25.82%,16.04%,20.66%,28.06%,15.30%,20.24%,20.24%
Earnings Yield,1.34%,1.24%,3.07%,3.10%,5.87%,3.16%,3.75%,4.21%,7.27%,4.30%,3.24%
FCF Yield,2.53%,2.63%,3.50%,3.41%,4.08%,3.62%,3.04%,4.18%,6.05%,4.84%,3.65%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.42%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.45%
Buyback Yield / Dilution,-5.84%,-7.09%,-2.52%,-1.06%,1.18%,1.54%,-0.42%,1.00%,5.49%,2.70%,2.70%
Total Shareholder Return,-5.84%,-7.09%,-2.52%,-1.06%,1.18%,1.54%,-0.42%,1.00%,5.49%,2.70%,3.12%
