,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,97334000000,109477000000,117006000000,124418000000,133376000000,138371000000,139691000000,146437000000,159316000000,163523000000,170609000000,169585000000,165987000000,164218000000,169779000000,178894000000,185727000000,184491000000,206688000000,216274000000
totalCurrentAssets,50480000000,53300000000,57961000000,62079000000,66225000000,69349000000,68130000000,65799000000,75670000000,77322000000,80697000000,75421000000,66666000000,59265000000,55987000000,58315000000,59549000000,52483000000,69560000000,78378000000
cashAndCashEquivalentsAtCarryingValue,10019000000,11076000000,13877000000,15979000000,19079000000,23618000000,21045000000,11617000000,17576000000,19513000000,16186000000,14496000000,16601000000,14886000000,12681000000,14308000000,14681000000,11551000000,28785000000,36890000000
cashAndShortTermInvestments,41114000000,45243000000,48596000000,52269000000,54855000000,60289000000,58240000000,55620000000,61954000000,64219000000,64080000000,58075000000,47998000000,43890000000,68297000000,69244000000,40763000000,37439000000,53446000000,61123000000
inventory,,,,,,,,,,,,,,,,,,,,
currentNetReceivables,7587000000,6475000000,7513000000,7673000000,9518000000,7289000000,7483000000,8024000000,11335000000,10276000000,11698000000,12088000000,14039000000,11390000000,11525000000,11227000000,13466000000,11044000000,12511000000,12944000000
totalNonCurrentAssets,46854000000,49430000000,59045000000,62339000000,31828000000,69022000000,71561000000,74474000000,31779000000,32139000000,32610000000,33680000000,34771000000,36630000000,39702000000,40346000000,40476000000,41703000000,43030000000,40041000000
propertyPlantEquipment,24683000000,27345000000,29999000000,32284000000,35323000000,37127000000,39006000000,42291000000,45633000000,47720000000,50909000000,53726000000,57809000000,61582000000,67588000000,73738000000,79518000000,84156000000,87949000000,91772000000
accumulatedDepreciationAmortizationPPE,6890000000,7657000000,8752000000,9646000000,10663000000,11612000000,13082000000,14137000000,,,,,,,,,,,,
intangibleAssets,19595000000,19483000000,19328000000,19191000000,19609000000,19649000000,19888000000,19775000000,19673000000,19561000000,19733000000,19430000000,19831000000,20833000000,21194000000,21143000000,21203000000,21598000000,21515000000,21481000000
intangibleAssetsExcludingGoodwill,1294000000,1150000000,994000000,853000000,894000000,838000000,859000000,744000000,623000000,505000000,514000000,365000000,634000000,910000000,965000000,875000000,897000000,949000000,856000000,813000000
goodwill,18301000000,18333000000,18334000000,18338000000,18715000000,18811000000,19029000000,19031000000,19050000000,19056000000,19219000000,19065000000,19197000000,19923000000,20229000000,20268000000,20306000000,20649000000,20659000000,20668000000
investments,62190000000,68334000000,69438000000,72580000000,71552000000,73342000000,74390000000,88006000000,88756000000,89412000000,95788000000,87158000000,62828000000,58042000000,83208000000,82271000000,52106000000,51794000000,49381000000,48525000000
