,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,13896000000,12261000000,13576000000,14493000000,17475000000,14275000000,14854000000,17272000000,22730000000,21036000000,23674000000,23235000000,27179000000,21899000000,23626000000,21994000000,23584000000,22483000000,25939000000,27799000000
totalRevenue,16692000000,15077000000,16883000000,17648000000,20966000000,17734000000,18683000000,21466000000,27940000000,26167000000,29073000000,29006000000,33527000000,27904000000,28818000000,27710000000,31920000000,28591000000,31884000000,34009000000
costOfRevenue,2796000000,2816000000,3307000000,3155000000,3491000000,3459000000,3829000000,4194000000,5210000000,5131000000,5399000000,5771000000,6348000000,6005000000,5192000000,5716000000,8336000000,6108000000,5945000000,6210000000
costofGoodsAndServicesSold,2796000000,2816000000,3307000000,3155000000,3492000000,3459000000,3829000000,4194000000,5210000000,5131000000,5399000000,5771000000,6348000000,6005000000,5192000000,5716000000,8336000000,6108000000,5945000000,6210000000
operatingIncome,7820000000,3317000000,4626000000,7185000000,8858000000,5893000000,5963000000,8040000000,12775000000,11378000000,12367000000,10423000000,12585000000,8524000000,8358000000,5664000000,6399000000,7227000000,9392000000,13748000000
sellingGeneralAndAdministrative,3443000000,6084000000,5638000000,3764000000,4855000000,4370000000,4433000000,4473000000,4880000000,4465000000,5215000000,6500000000,7692000000,5672000000,6582000000,7164000000,7659000000,5929000000,7318000000,4947000000
researchAndDevelopment,2855000000,2860000000,3315000000,3548000000,3878000000,4015000000,4462000000,4763000000,5207000000,5197000000,6096000000,6316000000,7046000000,7707000000,8690000000,9170000000,9771000000,9381000000,9344000000,9241000000
operatingExpenses,6532000000,9100000000,9156000000,7508000000,8893000000,8753000000,9073000000,9424000000,10282000000,9861000000,11516000000,13028000000,14873000000,13517000000,15420000000,17237000000,17159000000,16231000000,16787000000,14300000000
investmentIncomeNet,,,,,,,,,,,,,,,,,,,,
netInterestIncome,,-2000000,-3000000,-4000000,-11000000,-3000000,-4000000,-4000000,-3000000,-4000000,-4000000,-4000000,-4000000,-4000000,-4000000,-4000000,-164000000,-54000000,-115000000,-137000000
interestIncome,,198000000,219000000,258000000,249000000,228000000,162000000,146000000,136000000,118000000,121000000,120000000,117000000,384000000,91000000,77000000,32000000,193000000,323000000,534000000
interestExpense,187000000,2000000,3000000,4000000,11000000,3000000,4000000,4000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,164000000,54000000,115000000,137000000
nonInterestIncome,16701000000,15077000000,16886000000,17652000000,20977000000,17737000000,18687000000,21470000000,27943000000,26171000000,29077000000,29010000000,33531000000,27908000000,28822000000,27714000000,32084000000,28645000000,31999000000,34146000000
otherNonOperatingIncome,151000000,165000000,206000000,144000000,311000000,-32000000,168000000,93000000,280000000,125000000,146000000,142000000,118000000,384000000,-172000000,-88000000,-249000000,80000000,-99000000,
depreciation,,1200000000,1340000000,1270000000,1360000000,1490000000,1580000000,1580000000,1740000000,1850000000,1860000000,1870000000,1970000000,2120000000,1930000000,2130000000,2330000000,2480000000,2580000000,2830000000
depreciationAndAmortization,157000000,156000000,203000000,196000000,160000000,171000000,178000000,188000000,195000000,199000000,205000000,212000000,135000000,138000000,148000000,137000000,142000000,151000000,125000000,112000000
incomeBeforeTax,7971000000,3482000000,4832000000,7329000000,9169000000,5861000000,6131000000,8133000000,13055000000,11503000000,12513000000,10565000000,12703000000,8908000000,8186000000,5576000000,6149000000,7307000000,9293000000,14020000000
incomeTaxExpense,1089000000,1053000000,2216000000,1238000000,1820000000,959000000,953000000,287000000,1836000000,2006000000,2119000000,1371000000,2418000000,1443000000,1499000000,1181000000,1496000000,1598000000,1505000000,2437000000
interestAndDebtExpense,,2000000,3000000,4000000,11000000,3000000,4000000,4000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,164000000,54000000,115000000,137000000
netIncomeFromContinuingOperations,6882000000,2429000000,2616000000,6091000000,7349000000,4902000000,5178000000,7846000000,11219000000,9497000000,10394000000,9194000000,10285000000,7465000000,6687000000,4395000000,4653000000,5709000000,7788000000,11583000000
