,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,998","4,384","8,999","4,315","3,419","5,123","4,308","4,907","6,456","5,108","6,038","8,903","7,104","6,252","7,201","8,079","12,082","11,552","9,637","10,019","11,076","13,877","15,979","19,079","23,618","21,045","11,617","17,576","19,513","16,186","14,496","16,601","14,886","12,681","14,308","14,681","11,551","28,785","36,890","41,862"
Short-Term Investments,"9,631","9,572","5,251","6,884","8,994","9,002","11,526","13,527","14,165","18,185","20,102","20,546","25,202","29,200","31,088","33,632","31,874","30,757","31,569","31,095","34,167","34,719","36,290","35,776","36,671","37,195","44,003","44,378","44,706","47,894","43,579","31,397","29,004","27,808","27,468","26,057","25,888","24,661","24,233","23,541"
Cash & Cash Equivalents,"12,629","13,956","14,250","11,199","12,413","14,125","15,834","18,434","20,621","23,293","26,140","29,449","32,306","35,452","38,289","41,711","43,956","42,309","41,206","41,114","45,243","48,596","52,269","54,855","60,289","58,240","55,620","61,954","64,219","64,080","58,075","47,998","43,890","40,489","41,776","40,738","37,439","53,446","61,123","65,403"
Cash Growth,33.33%,36.13%,52.77%,-2.18%,-1.71%,1.21%,11.12%,64.60%,66.12%,64.91%,65.09%,59.75%,56.67%,52.20%,46.48%,41.64%,36.06%,19.34%,7.62%,-1.43%,2.93%,14.86%,26.85%,33.42%,33.26%,19.85%,6.41%,12.94%,6.52%,10.03%,4.41%,-22.53%,-31.66%,-36.81%,-28.07%,-15.13%,-14.70%,32.00%,46.31%,60.55%
Receivables,"1,006","1,190","1,363","1,678","1,508","1,815","2,010","2,559","2,348","2,801","3,070","3,993","3,415","3,897","4,424","5,832","5,115","5,590","6,058","7,587","6,475","7,513","7,673","9,518","7,289","7,483","8,024","11,335","10,276","11,698","12,088","14,039","11,390","11,525","11,227","13,466","11,044","12,511","12,944","16,169"
Other Current Assets,425,411,502,513,"1,083","1,011","1,295",659,843,916,"1,118",959,"1,209","1,455","1,490","1,020","1,341","1,934","1,883","1,779","1,582","1,852","2,137","1,852","1,771","2,407","2,155","2,381","2,827","4,919","5,258","4,629","3,985","3,973","5,312","5,345","4,000","3,603","4,311","3,793"
Total Current Assets,"14,060","15,557","16,115","13,390","15,004","16,951","19,139","21,652","23,812","27,010","30,328","34,401","36,930","40,804","44,203","48,563","50,412","49,833","49,147","50,480","53,300","57,961","62,079","66,225","69,349","68,130","65,799","75,670","77,322","80,697","75,421","66,666","59,265","55,987","58,315","59,549","52,483","69,560","78,378","85,365"
"Property, Plant & Equipment","3,074","3,334","3,703","3,967","4,619","4,955","5,335","5,687","6,467","7,104","7,899","8,591","9,462","10,628","12,158","13,721","16,211","18,357","21,112","24,683","34,092","37,271","40,687","44,783","46,486","48,435","51,730","54,981","57,922","61,434","64,789","69,964","73,823","81,718","87,379","92,191","97,055","100,904","104,805","109,881"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,"6,164","6,234","6,342","6,393","6,758","6,775","6,775","6,536","6,528","6,201","6,167","6,208","6,142","6,141"
Goodwill and Intangibles,"1,682","1,672","3,929","21,910","21,779","21,630","21,461","21,272","21,096","20,922","20,787","20,657","20,486","20,315","20,263","20,105","20,003","19,836","19,755","19,595","19,483","19,328","19,191","19,609","19,649","19,888","19,775","19,673","19,561","19,733","19,430","19,831","20,833","21,194","21,143","21,203","21,598","21,515","21,481","21,442"
Other Long-Term Assets,212,206,441,699,605,594,534,796,700,703,660,"1,312","1,836","2,096","2,374","2,135","2,319","2,265","2,438","2,576","2,602","2,446","2,461","2,673","2,887","3,238","2,969","2,758","2,376","2,352","3,187","2,751","3,522","4,344","5,529","6,583","7,188","8,501","5,468","6,794"
Total Long-Term Assets,"4,968","5,212","8,073","26,576","27,003","27,179","27,330","27,755","28,263","28,729","29,346","30,560","31,784","33,039","34,795","35,961","38,533","40,458","43,305","46,854","56,177","59,045","62,339","67,151","69,022","71,561","80,638","83,646","86,201","89,912","94,164","99,321","104,953","113,792","120,579","126,178","132,008","137,128","137,896","144,258"
Total Assets,"19,028","20,769","24,188","39,966","42,007","44,130","46,469","49,407","52,075","55,739","59,674","64,961","68,714","73,843","78,998","84,524","88,945","90,291","92,452","97,334","109,477","117,006","124,418","133,376","138,371","139,691","146,437","159,316","163,523","170,609","169,585","165,987","164,218","169,779","178,894","185,727","184,491","206,688","216,274","229,623"
Accounts Payable,273,322,328,378,318,321,390,413,365,362,499,582,448,601,697,770,989,859,"1,092","1,361","1,141","1,215","1,450","2,249","1,541","1,649","1,906","2,424","1,884","1,922","3,104","5,135","4,181","4,990","4,846","6,107","4,557","3,865","5,142","5,712"
Deferred Revenue,38,53,48,66,55,49,47,56,55,79,78,90,80,88,105,98,94,91,115,147,142,198,225,269,247,264,379,382,382,391,464,0,520,532,514,0,0,0,0,0
Current Debt,201,173,149,114,73,39,17,7,0,0,0,0,0,0,0,0,0,0,0,0,645,688,776,800,835,899,975,"1,023","1,040","1,051","1,086","1,127","1,159","1,275","1,291","1,367","1,479","1,396","1,460","1,623"
Other Current Liabilities,525,666,709,866,"1,300","1,472","1,338","1,449","1,389","1,770","2,018","2,203","2,400","2,626","2,503","2,892","4,003","3,720","4,255","5,509","7,980","10,878","10,877","11,735","12,446","8,496","8,684","11,152","9,411","11,510","13,158","14,873","15,226","15,420","16,036","19,552","19,345","24,660","23,929","24,625"
Total Current Liabilities,"1,037","1,214","1,234","1,424","1,746","1,881","1,792","1,925","1,809","2,211","2,595","2,875","2,928","3,315","3,305","3,760","5,086","4,670","5,462","7,017","9,908","12,979","13,328","15,053","15,069","11,308","11,944","14,981","12,717","14,874","17,812","21,135","21,086","22,217","22,687","27,026","25,381","29,921","30,531","31,960"
Long-Term Debt,191,153,129,119,113,110,109,107,0,0,0,0,0,0,0,0,0,0,0,0,"6,565","7,122","8,356","9,524","9,509","9,633","9,641","9,631","10,574","10,956","11,554","12,746","12,894","14,792","24,609","25,224","26,096","34,822","34,757","35,611"
Other Long-Term Liabilities,"1,063","1,056","1,587","2,327","2,647","2,687","3,148","3,157","3,116","3,145","2,964","2,892","3,598","4,047","4,485","6,417","6,239","6,239","6,648","6,190","6,488","8,143","8,735","7,745","8,489","8,303","7,121","6,414","6,575","6,552","6,859","7,227","7,010","7,003","7,504","7,764","8,219","7,912","8,113","8,884"
Total Long-Term Liabilities,"1,254","1,209","1,716","2,446","2,760","2,797","3,257","3,264","3,116","3,145","2,964","2,892","3,598","4,047","4,485","6,417","6,239","6,239","6,648","6,190","13,053","15,265","17,091","17,269","17,998","17,936","16,762","16,045","17,149","17,508","18,413","19,973","19,904","21,795","32,113","32,988","34,315","42,734","42,870","44,495"
Total Liabilities,"2,291","2,423","2,950","3,870","4,506","4,678","5,049","5,189","4,925","5,356","5,559","5,767","6,526","7,362","7,790","10,177","11,325","10,909","12,110","13,207","22,961","28,244","30,419","32,322","33,067","29,244","28,706","31,026","29,866","32,382","36,225","41,108","40,990","44,012","54,800","60,014","59,696","72,655","73,401","76,455"
Total Debt,392,326,278,233,186,149,126,114,0,0,0,0,0,0,0,0,0,0,0,0,"7,210","7,810","9,132","10,324","10,344","10,532","10,616","10,654","11,614","12,007","12,640","13,873","14,053","16,067","25,900","26,591","27,575","36,218","36,217","37,234"
Debt Growth,-82.64%,-84.96%,-51.65%,-51.05%,-52.55%,-54.29%,-54.68%,-51.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.47%,34.85%,16.25%,3.20%,12.28%,14.00%,19.07%,30.21%,21.00%,33.81%,104.91%,91.67%,96.22%,125.42%,39.83%,40.02%
Common Stock,"12,921","13,759","15,949","30,225","31,337","32,479","33,574","34,886","36,129","37,405","38,756","38,227","38,639","39,291","40,199","40,584","41,134","41,832","42,352","42,906","43,533","44,277","45,059","45,851","46,688","47,805","48,910","50,018","51,160","52,845","54,334","55,811","57,512","59,929","62,092","64,444","66,535","69,159","71,224","73,253"
Retained Earnings,"3,801","4,592","5,398","6,099","6,611","7,330","8,226","9,787","11,297","13,352","15,731","21,670","24,175","27,560","31,209","33,990","36,780","38,237","38,767","41,981","43,764","44,968","49,789","55,692","59,160","62,784","68,513","77,345","82,343","85,097","79,233","69,761","67,712","69,249","67,056","64,799","61,241","67,980","75,205","82,070"
Comprehensive Income,15,-5,-109,-228,-447,-357,-380,-455,-276,-374,-372,-703,-626,-370,-200,-227,-294,-687,-777,-760,-781,-483,-849,-489,-544,-142,308,927,154,285,-207,-693,"-1,996","-3,411","-5,054","-3,530","-2,981","-3,106","-3,556","-2,155"
Shareholders' Equity,"16,737","18,346","21,238","36,096","37,501","39,452","41,420","44,218","47,150","50,383","54,115","59,194","62,188","66,481","71,208","74,347","77,620","79,382","80,342","84,127","86,516","88,762","93,999","101,054","105,304","110,447","117,731","128,290","133,657","138,227","133,360","124,879","123,228","125,767","124,094","125,713","124,795","134,033","142,873","153,168"
Net Cash / Debt,"12,237","13,630","13,972","10,966","12,227","13,976","15,708","18,320","20,621","23,293","26,140","29,449","32,306","35,452","38,289","41,711","43,956","42,309","41,206","41,114","38,033","40,786","43,137","44,531","49,945","47,708","45,004","51,300","52,605","52,073","45,435","34,125","29,837","24,422","15,876","14,147","9,864","17,228","24,906","28,169"
Net Cash / Debt Growth,69.63%,68.58%,59.63%,-0.06%,-0.08%,2.54%,12.42%,67.06%,68.65%,66.66%,66.41%,60.75%,56.67%,52.20%,46.48%,41.64%,36.06%,19.34%,7.62%,-1.43%,-13.47%,-3.60%,4.69%,8.31%,31.32%,16.97%,4.33%,15.20%,5.33%,9.15%,0.96%,-33.48%,-43.28%,-53.10%,-65.06%,-58.54%,-66.94%,-29.46%,56.88%,99.12%
Net Cash Per Share,4.69,5.21,5.28,3.91,4.31,4.90,5.49,6.39,7.10,7.97,8.92,10.00,10.97,12.01,12.95,14.08,14.93,14.44,14.15,14.22,13.26,14.19,15.01,15.47,17.41,16.57,15.57,17.67,18.25,18.10,15.89,12.15,10.88,9.00,5.91,5.33,3.80,6.60,9.43,10.64
Working Capital,"13,023","14,343","14,881","11,966","13,258","15,070","17,347","19,727","22,003","24,799","27,733","31,526","34,002","37,489","40,898","44,803","45,326","45,163","43,685","43,463","43,392","44,982","48,751","51,172","54,280","56,822","53,855","60,689","64,605","65,823","57,609","45,531","38,179","33,770","35,628","32,523","27,102","39,639","47,847","53,405"
