,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,639,788,802,696,509,715,891,"1,554","1,732","2,276","2,620","3,560","3,059","3,890","4,704","4,268","4,987","5,106","5,137","6,882","2,429","2,616","6,091","7,349","4,902","5,178","7,846","11,219","9,497","10,394","9,194","10,285","7,465","6,687","4,395","4,653","5,709","7,788","11,583","14,017"
Depreciation & Amortization,264,257,289,433,457,459,486,543,552,585,591,614,671,729,772,853,949,"1,034","1,107","1,225","1,355","1,502","1,416","1,468","1,597","1,704","1,698","1,863","1,972","1,986","1,995","2,014","2,156","1,979","2,175","2,376","2,524","2,623","2,859","3,172"
Share-Based Compensation,271,309,350,"2,709",694,763,757,"2,467",746,817,824,831,867,"1,032","1,010",814,955,"1,186","1,039",972,"1,010","1,303","1,249","1,274","1,335","1,695","1,722","1,784","1,830","2,549","2,378","2,407","2,498","3,352","3,134","3,008","3,051","4,060","3,492","3,424"
Other Operating Activities,108,-16,-197,-391,37,-61,53,-23,441,-20,-6,-84,456,-295,-362,"1,735",968,"-1,028",215,"-1,461","4,514","3,195",551,"-1,008","3,167","-4,700","-1,437",-826,"-1,057","-1,682",523,"3,398","1,957",178,-12,"4,474","2,714","2,838","2,468","-1,209"
Operating Cash Flow,"1,285","1,341","1,248","3,452","1,700","1,880","2,192","4,548","3,477","3,665","4,036","4,930","5,058","5,360","6,127","7,671","7,860","6,298","7,498","7,618","9,308","8,616","9,307","9,083","11,001","3,877","9,829","14,040","12,242","13,247","14,090","18,104","14,076","12,196","9,692","14,511","13,998","17,309","20,402","19,404"
Operating Cash Flow Growth,78.72%,1.44%,31.37%,180.42%,32.30%,40.19%,75.64%,31.75%,104.53%,94.95%,84.12%,8.40%,45.47%,46.25%,51.81%,55.60%,55.40%,17.50%,22.38%,-0.69%,18.42%,36.81%,24.13%,19.23%,18.19%,-55.00%,5.61%,54.57%,11.28%,241.68%,43.35%,28.95%,14.98%,-7.93%,-31.21%,-19.85%,-0.55%,41.92%,110.50%,33.72%
Capital Expenditures,-363,-469,-482,-517,-502,-549,-780,-692,"-1,132",-995,"-1,095","-1,269","-1,271","-1,444","-1,755","-2,263","-2,812","-3,460","-3,342","-4,301","-3,837","-3,633","-3,532","-4,100","-3,558","-3,255","-3,689","-4,613","-4,272","-4,612","-4,314","-5,369","-5,315","-7,528","-9,355","-8,988","-6,823","-6,134","-6,496","-7,592"
Acquisitions,0,-19,-735,"-4,221",-257,-25,-27,-4,-1,-19,-61,-42,0,-8,-98,-16,0,0,0,-137,-50,-3,-10,-445,0,-372,-12,-4,0,-259,-71,-521,-853,-363,-34,-62,-444,-83,-38,-64
Change in Investments,"-1,508",68,"4,326","-1,643","-2,108",-11,"-2,526","-2,055",-576,"-3,998","-1,969",-643,"-4,631","-4,010","-1,892","-2,717","1,575","1,092",-830,612,"-2,881",-313,"-1,569",509,-476,-338,"-13,177",-529,-600,"-3,264","4,199","11,844","1,399",939,-328,"1,522",449,"1,099",467,"1,187"
Other Investing Activities,-1,-2,-112,-235,23,21,33,25,33,41,8,-74,-18,-4,16,-7,-50,-16,-75,141,-,-61,61,-,-75,-213,279,-27,-2,-60,-144,-125,-10,-7,16,-3,75,-85,-10,-3
Investing Cash Flow,"-1,872",-422,"2,997","-6,616","-2,844",-564,"-3,300","-2,726","-1,676","-4,971","-3,117","-2,028","-5,920","-5,466","-3,729","-5,003","-1,287","-2,384","-4,247","-3,685","-6,768","-4,010","-5,050","-4,036","-4,109","-4,178","-16,599","-5,173","-4,874","-8,195",-330,"5,829","-4,779","-6,959","-9,701","-7,531","-6,743","-5,203","-6,077","-6,472"
Share Issuance / Repurchase,1,1,5,-7,0,0,0,0,0,0,0,0,-228,-150,-640,-958,"-1,774","-3,349","-4,256","-3,500",-613,"-1,145","-1,148","-1,296","-1,250","-1,368","-1,725","-1,929","-3,939","-7,079","-13,458","-20,061","-9,506","-5,233","-6,354","-6,863","-9,365",-898,"-3,569","-5,942"
Debt Issued / Paid,-84,-66,-49,-44,-47,-37,-23,-12,-312,0,0,0,0,0,0,0,0,0,0,500,-302,-84,-285,-104,-180,-46,-196,-182,-201,-70,-219,-187,-233,-219,"9,758",-235,-264,"8,235",-267,-307
Other Financing Activities,345,535,482,"-1,417",418,379,338,"-1,155",2,4,-8,4,-764,-719,-891,-885,-829,-922,-901,-541,-508,-602,-586,-626,-592,-738,-990,"-1,096","-1,045","-1,400","-1,575","-1,494",-921,"-1,111","-1,257",38,-887,"-2,045","-2,039","-2,152"
Financing Cash Flow,262,470,438,"-1,468",371,342,315,"-1,167",-310,4,-8,4,-992,-869,"-1,531","-1,843","-2,603","-4,271","-5,157","-3,541","-1,423","-1,831","-2,019","-2,026","-2,022","-2,152","-2,911","-3,207","-5,185","-8,549","-15,252","-21,742","-10,660","-6,563","2,147","-7,060","-10,516","5,292","-5,875","-8,401"
Exchange Rate Effect,0,-3,-68,-52,-123,46,-22,-56,58,-46,19,-94,28,94,70,40,36,-185,-18,-12,-44,26,-156,178,-222,95,91,315,-246,117,-215,-130,-149,-549,-365,425,85,-14,-354,396
Net Cash Flow,-325,"1,386","4,615","-4,684",-896,"1,704",-815,599,"1,549","-1,348",930,"2,812","-1,826",-881,937,865,"4,006",-542,"-1,924",380,"1,073","2,801","2,082","3,199","4,648","-2,358","-9,590","5,975","1,937","-3,380","-1,707","2,061","-1,512","-1,875","1,773",345,"-3,176","17,384","8,096","4,927"
Free Cash Flow,922,872,766,"2,935","1,198","1,331","1,412","3,856","2,345","2,670","2,941","3,661","3,787","3,916","4,372","5,408","5,048","2,838","4,156","3,317","5,471","4,983","5,775","4,983","7,443",622,"6,140","9,427","7,970","8,635","9,776","12,735","8,761","4,668",337,"5,523","7,175","11,175","13,906","11,812"
Free Cash Flow Growth,135.20%,-17.27%,15.02%,292.38%,29.93%,52.64%,84.33%,31.38%,95.74%,100.60%,108.29%,-5.06%,61.49%,46.67%,48.66%,47.72%,33.30%,-27.53%,-4.94%,-38.66%,8.38%,75.58%,38.96%,50.23%,36.04%,-87.52%,6.32%,89.18%,7.08%,1288.26%,59.22%,35.09%,9.92%,-45.94%,-96.55%,-56.63%,-18.10%,139.40%,4026.41%,113.87%
Free Cash Flow Margin,36.85%,29.97%,23.92%,76.21%,33.81%,32.93%,31.37%,66.02%,43.57%,41.49%,41.95%,41.56%,47.15%,42.01%,42.33%,41.69%,42.19%,21.45%,30.28%,19.61%,36.29%,29.51%,32.72%,23.64%,41.96%,3.33%,28.60%,33.58%,30.45%,29.70%,33.70%,37.82%,31.39%,16.20%,1.22%,17.17%,25.05%,34.92%,40.73%,29.45%
Free Cash Flow Per Share,0.36,0.34,0.30,1.06,0.43,0.48,0.50,1.36,0.82,0.94,1.02,1.27,1.31,1.35,1.51,1.86,1.74,0.98,1.44,1.15,1.92,1.75,2.02,1.75,2.61,0.22,2.15,3.30,2.80,3.05,3.47,4.61,3.21,1.73,0.13,2.09,2.77,4.35,5.40,4.61
