,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,804","1,115","1,365","1,313","2,284","2,196","2,543","1,808","1,670","1,665","2,503","1,446","1,447","1,395","1,757","1,987","1,500","1,525","1,273","1,303","1,527","1,223","1,161","1,234","2,330","6,016","4,836","4,594","5,102","6,172","5,626","5,571","5,203","3,219","5,784","5,295","5,912","4,505","3,843","3,316"
Cash & Cash Equivalents,"1,804","1,115","1,365","1,313","2,284","2,196","2,543","1,808","1,670","1,665","2,503","1,446","1,447","1,395","1,757","1,987","1,500","1,525","1,273","1,303","1,527","1,223","1,161","1,234","2,330","6,016","4,836","4,594","5,102","6,172","5,626","5,571","5,203","3,219","5,784","5,295","5,912","4,505","3,843","3,316"
Cash Growth,16.86%,-24.71%,6.76%,-4.51%,26.61%,96.96%,86.25%,37.64%,-26.86%,-24.17%,-1.55%,-20.00%,-13.39%,-16.18%,-29.81%,37.38%,3.69%,9.31%,-27.56%,-34.43%,1.78%,-19.80%,-8.82%,-5.31%,52.58%,391.78%,316.64%,272.40%,118.99%,2.58%,16.35%,21.27%,1.99%,-47.84%,2.81%,-4.94%,13.62%,39.95%,-33.55%,-37.37%
Receivables,488.22,492.54,473.92,433.85,473.35,461.75,467.96,470.84,480.56,452.75,443.9,492.43,542.92,493.77,469.13,515.42,542.27,505.59,497.35,546.65,657.21,602.6,562.77,550.35,612.72,454.83,287.07,328.41,316.5,360.19,430.84,532.3,583.92,593.47,668.92,709.56,852.15,752.97,703.97,812.19
Inventory,107.91,101.55,102.52,99.27,104.01,103.29,106.91,100.53,104.2,97.58,97.8,97.4,97.73,100.5,103.12,101.24,102.29,107.31,109.13,104.44,110.83,111.3,106.71,104.21,102.89,106.33,106.79,97.32,88.32,82.35,79.02,94.2,96.37,102.05,115.1,113.32,126.07,128.73,130.89,135.86
Other Current Assets,319.65,261.81,224.73,144.5,166.09,196.04,149.6,203.1,153.68,186.4,148.83,178.36,142.35,183.01,155.82,191.18,231.8,254.41,203.76,254.26,231.98,269.83,209.96,992.63,962.48,"1,020","1,141","1,167",444.2,469.82,438.45,472.99,532.83,600.21,"2,599","2,665","1,265",844.09,938.77,994.77
Total Current Assets,"2,719","1,971","2,166","1,991","3,027","2,957","3,267","2,582","2,409","2,402","3,194","2,214","2,230","2,173","2,485","2,795","2,376","2,393","2,083","2,208","2,527","2,207","2,040","2,881","4,008","7,598","6,371","6,186","5,951","7,084","6,575","6,670","6,416","4,515","9,167","8,783","8,155","6,231","5,617","5,259"
"Property, Plant & Equipment","14,055","14,034","14,114","14,254","14,442","14,562","14,792","15,015","15,372","15,693","16,103","17,948","18,425","18,620","18,897","19,135","19,635","19,712","19,863","20,733","20,730","21,838","21,719","21,255","22,678","23,599","23,357","23,123","22,919","22,695","22,554","26,079","25,928","25,583","29,801","29,745","29,755","29,544","29,510","29,407"
Long-Term Investments,"1,469","1,417","1,421","1,555","1,559","1,661","1,491","1,537","1,491","1,479","1,364","1,197","1,220","1,252",980.89,"1,008","1,033","1,051",882.94,666.21,732.87,731,746.73,758.99,822.37,"1,596","1,468","1,474","1,447","1,439","1,485",941.15,967.04,"1,008",155.6,185.76,173.04,153.86,156.99,232
Goodwill and Intangibles,"7,409","7,348","7,295","7,225","7,262","7,207","7,155","7,112","5,596","5,546","5,502","5,953","5,905","5,848","5,780","5,732","5,684","5,620","5,578","5,814","5,766","6,048","6,004","5,943","5,911","5,887","5,838","5,789","5,735","5,674","5,635","7,154","7,097","7,030","8,304","7,751","6,581","6,781","6,763","6,876"
Other Long-Term Assets,431.4,581.3,576.05,423.14,304.21,411.11,445.16,435.16,347.59,377.96,386.65,393.67,393.42,410.49,400.19,433.45,430.44,522.98,570.22,551.93,455.32,322.04,304.21,331.2,456.79,438.75,436.58,432.31,443.42,438.46,528.44,493.33,490.21,513.62,"1,004",864.66,"1,029",832.17,858.46,797.9
Total Long-Term Assets,"23,365","23,380","23,406","23,457","23,567","23,842","23,883","24,098","22,806","23,096","23,355","25,491","25,944","26,130","26,058","26,307","26,784","26,906","26,894","27,765","27,684","28,940","28,774","28,288","29,869","31,521","31,101","30,818","30,544","30,247","30,202","34,668","34,483","34,135","39,265","38,547","37,538","37,311","37,289","37,313"
Total Assets,"26,085","25,351","25,572","25,448","26,594","26,798","27,150","26,680","25,215","25,497","26,549","27,705","28,173","28,303","28,543","29,102","29,160","29,298","28,977","29,974","30,211","31,147","30,814","31,169","33,876","39,119","37,471","37,005","36,495","37,331","36,776","41,338","40,899","38,650","48,432","47,330","45,692","43,542","42,906","42,572"
Accounts Payable,241.19,220.52,253.48,266.7,334.69,313.05,377.6,356.9,432.15,469.26,495.22,539.46,520.84,419.7,460.47,480.69,729.84,688.33,687.09,673.75,614.37,585.88,509.33,398.14,310.17,243.7,149.14,179.27,172.67,185.29,232.39,301.37,286.2,301.93,380.29,424.31,369.82,347.34,358.81,412.76
Current Debt,188.52,188.28,508.34,"1,372","1,436",184.21,"1,067",143.36,494.36,386.01,160.45,115.98,167.4,112.1,620.03,588.03,293.83,665.13,140.18,142.77,183.46,139.86,136.79,159.76,122.25,108.69,128.43,150.73,138.83,175.26,161.57,"1,186","1,173","1,420","1,332","1,470","1,370",150.87,95.43,114.71
Other Current Liabilities,"1,786","1,751","1,799","1,730","1,637","1,399","1,346","1,453","1,311","1,233","1,262","1,475","1,605","1,593","1,599","1,667","2,115","2,233","2,238","2,161","2,151","2,087","2,140","2,735","2,759","2,274","2,298","2,437","1,545","1,475","1,642","1,924","1,983","1,878","3,832","4,002","2,776","2,346","2,295","2,435"
Total Current Liabilities,"2,215","2,160","2,560","3,369","3,408","1,896","2,791","1,953","2,238","2,088","1,918","2,131","2,293","2,125","2,680","2,736","3,138","3,587","3,065","2,978","2,949","2,813","2,787","3,293","3,191","2,626","2,575","2,767","1,857","1,835","2,036","3,410","3,442","3,600","5,545","5,896","4,516","2,844","2,749","2,962"
Long-Term Debt,"13,447","12,931","12,607","11,724","12,805","14,552","12,495","12,821","12,368","12,686","12,365","12,786","12,979","13,099","12,725","13,027","12,751","12,743","13,513","14,664","15,088","15,242","15,191","15,462","15,447","20,118","19,716","19,795","20,767","21,638","20,979","23,394","23,573","22,317","32,243","32,355","32,582","31,987","31,811","31,635"
Other Long-Term Liabilities,"2,562","2,438","2,464","2,457","2,752","2,698","2,687","2,667","2,844","2,858","2,739","2,871","2,931","2,938","2,907","3,014","1,660","1,568","1,559","1,586","1,704","1,875","1,882","1,893","2,575","3,042","2,831","2,740","2,692","2,625","2,657","2,873","2,907","2,854","3,447","3,255","3,384","3,489","3,510","3,547"
Total Long-Term Liabilities,"16,009","15,368","15,070","14,181","15,558","17,250","15,182","15,488","15,213","15,544","15,104","15,657","15,911","16,038","15,632","16,041","14,411","14,311","15,072","16,250","16,792","17,116","17,072","17,355","18,022","23,161","22,547","22,535","23,458","24,263","23,636","26,267","26,480","25,171","35,690","35,610","35,966","35,476","35,321","35,182"
Total Liabilities,"18,224","17,528","17,631","17,550","18,966","19,145","17,973","17,441","17,451","17,632","17,022","17,788","18,204","18,162","18,312","18,777","17,549","17,898","18,137","19,227","19,741","19,929","19,859","20,648","21,213","25,787","25,123","25,302","25,315","26,098","25,672","29,677","29,922","28,770","41,234","41,506","40,482","38,320","38,070","38,144"
Total Debt,"13,636","13,119","13,115","13,096","14,242","14,736","13,563","12,964","12,863","13,072","12,525","12,902","13,147","13,211","13,345","13,615","13,045","13,408","13,654","14,807","15,271","15,382","15,328","15,622","15,569","20,227","19,845","19,946","20,906","21,813","21,140","24,580","24,746","23,737","33,575","33,824","33,952","32,138","31,906","31,749"
Debt Growth,-1.16%,-5.59%,-1.43%,-0.93%,4.44%,12.33%,3.41%,-1.00%,-9.68%,-11.29%,-7.65%,-0.48%,2.21%,1.06%,6.55%,5.52%,-0.77%,1.49%,2.31%,8.75%,17.07%,14.72%,12.26%,5.51%,1.95%,31.50%,29.47%,27.68%,34.28%,7.84%,6.53%,23.23%,18.37%,8.82%,58.82%,37.61%,37.20%,35.39%,-4.97%,-6.13%
Common Stock,"4,162","4,166","4,171","4,178","4,186","4,198","5,655","5,661","5,662","5,677","5,536","5,657","5,659","5,680","5,684","5,396","5,363","5,006","4,419","4,257","4,097","4,426","4,187","3,852","3,536","3,279","3,338","3,361","3,444","3,574","3,340","2,645","1,755",765.87,3.98,3.89,3.79,3.67,3.53,3.41
Retained Earnings,41.96,165.25,270.8,234.35,-107.91,61.94,159.4,225.83,-555.63,-488.83,-14.48,521.14,545.81,689.48,836.84,922.66,"2,217","2,373","2,431","2,510","2,423","2,385","2,360","2,256","4,201","4,934","4,076","3,540","3,091","2,758","2,861","4,211","4,341","4,321","5,747","4,872","4,794","4,799","4,383","3,963"
Comprehensive Income,12.5,12.24,15.24,8.39,12.99,13.58,13.89,14.45,14.02,11.62,10.81,12.8,15.05,7.22,-9.15,-9.84,-3.61,-7.48,-3.24,6.23,-8.56,-24.61,-26.33,-46.84,-10.2,-39.77,-39.03,-39.37,-30.68,-25.22,-21.17,-25.27,-24.62,-22.01,-16.94,-33.83,33.5,36.81,30.06,-0.62
Shareholders' Equity,"4,216","4,343","4,457","4,421","4,091","4,273","5,828","5,901","5,120","5,200","5,533","6,191","6,220","6,376","6,511","6,309","7,577","7,371","6,847","6,773","6,512","6,786","6,520","6,061","7,727","8,174","7,375","6,861","6,505","6,307","6,180","6,830","6,071","5,065","5,734","4,842","4,832","4,840","4,416","3,966"
Net Cash / Debt,"-11,832.08","-12,004.27","-11,749.72","-11,782.56","-11,958.05","-12,540.48","-11,020.05","-11,156.6","-11,192.36","-11,407.49","-10,022.11","-11,456.24","-11,700.04","-11,815.84","-11,588.23","-11,628.26","-11,544.88","-11,882.59","-12,380.65","-13,504.07","-13,744.7","-14,158.23","-14,167.07","-14,388.43","-13,239.52","-14,210.61","-15,009.26","-15,351.93","-15,804","-15,641.41","-15,514.14","-19,008.69","-19,542.83","-20,517.6","-27,791.14","-28,528.89","-28,040.15","-27,632.36","-28,062.82","-28,433.1"
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-20.03,-17.56,-19.97,-20.20,-20.37,-19.91,-20.03,-20.17,-20.77,-22.33,-24.99,-25.86,-26.34,-26.46,-27.72,-25.71,-28.59,-30.42,-31.11,-31.98,-31.61,-31.32,-39.26,-41.59,-46.32,-65.96,-72.54,-72.52,-73.08,-76.81,-80.92
