,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,"1,465","1,599","1,768","1,492","1,650","1,742","2,016","3,143","3,050","3,756"
Depreciation & Amortization,388,423,438,481,494,962,"1,096","1,074","1,123","1,001"
Share-Based Compensation,93,88,109,149,193,252,290,348,367,363
Other Operating Activities,173,-222,-308,-229,91,-595,-20,"-1,049","-1,075",-862
Operating Cash Flow,"2,119","1,888","2,007","1,893","2,428","2,361","3,382","3,516","3,465","4,258"
Operating Cash Flow Growth,58.02%,-10.90%,6.30%,-5.68%,28.26%,-2.76%,43.24%,3.96%,-1.45%,22.89%
Capital Expenditures,-365,-323,-249,-294,-311,-421,-348,-406,-470,-416
Acquisitions,-554,-881,-813,-655,-774,"-4,000",-549,-775,-453,-993
Change in Investments,-298,-65,2,-13,4,92,107,13,64,-19
Other Investing Activities,-5,4,4,6,-8,-66,-3,4,9,11
Investing Cash Flow,"-1,222","-1,265","-1,056",-956,"-1,089","-4,395",-793,"-1,164",-850,"-1,417"
Dividends Paid,-582,-632,-682,-740,-807,-890,-943,"-1,026","-1,138","-1,298"
Share Issuance / Repurchase,-537,"-1,176",-612,-734,-582,-327,132,-998,"-1,824",-951
Debt Issued / Paid,290,"1,030",385,672,293,"5,110",-778,-273,619,"1,903"
Other Financing Activities,-139,-128,-158,-207,-214,438,664,"1,000","1,297",-773
Financing Cash Flow,-968,-906,"-1,067","-1,009","-1,310","4,331",-925,"-1,297","-1,046","-1,119"
Exchange Rate Effect,-274,-301,-232,251,-168,135,511,-355,-841,328
Net Cash Flow,-345,-584,-348,179,-139,"2,432","2,175",700,728,"2,050"
Free Cash Flow,"1,754","1,565","1,758","1,599","2,117","1,940","3,034","3,110","2,995","3,842"
Free Cash Flow Growth,85.61%,-10.78%,12.33%,-9.04%,32.40%,-8.36%,56.39%,2.50%,-3.70%,28.28%
Free Cash Flow Margin,13.54%,12.14%,13.31%,11.40%,14.16%,11.65%,17.61%,15.69%,14.45%,16.90%
Free Cash Flow Per Share,3.22,2.95,3.39,3.12,4.18,3.83,6.00,6.13,6.00,7.78
