,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"3,264","3,300","3,141","3,246","3,215","3,225","3,115","3,338","3,336","3,376","3,135","3,364","3,503","3,495","3,341","3,685","4,000","3,734","3,504","3,712","4,071","4,349","3,968","4,264","4,651","4,189","3,968","4,416","5,083","5,017","4,583","5,137","5,549","5,379","4,770","5,022","5,924","5,876","5,382","5,554"
Revenue Growth (YoY),4.41%,6.87%,7.13%,4.21%,-1.50%,-2.27%,-0.83%,2.83%,3.76%,4.68%,0.64%,0.78%,5.01%,3.52%,6.57%,9.54%,14.19%,6.84%,4.88%,0.73%,1.77%,16.47%,13.24%,14.87%,14.25%,-3.68%,0%,3.56%,9.29%,19.77%,15.50%,16.33%,9.17%,7.22%,4.08%,-2.24%,6.76%,9.24%,12.83%,10.59%
Gross Profit,"3,264","3,300","3,141","3,246","3,215","3,225","3,115","3,338","3,336","3,376","3,135","3,364","3,503","3,495","3,341","3,685","4,000","3,734","3,504","3,712","4,071","4,349","3,968","4,264","4,651","4,189","3,968","4,416","5,083","5,017","4,583","5,137","5,549","5,379","4,770","5,022","5,924","5,876","5,382","5,554"
"Selling, General & Admin","2,591","2,653","2,696","2,710","2,480","2,596","2,654","2,744","2,603","2,650","2,563","2,964","2,754","2,794","2,806","3,015","3,092","3,043","2,963","3,091","3,133","3,669","3,501","3,672","3,581","3,304","3,428","3,845","3,725","3,789","3,843","4,151","4,104","4,015","3,979","4,342","4,198","4,419","4,386","4,451"
Operating Expenses,"2,591","2,653","2,696","2,710","2,480","2,596","2,654","2,744","2,603","2,650","2,563","2,964","2,754","2,794","2,806","3,015","3,092","3,043","2,963","3,091","3,133","3,669","3,501","3,672","3,581","3,304","3,428","3,845","3,725","3,789","3,843","4,151","4,104","4,015","3,979","4,342","4,198","4,419","4,386","4,451"
Operating Income,673,647,445,536,735,629,461,594,733,726,572,400,749,701,535,670,908,691,541,621,938,680,467,592,"1,070",885,540,571,"1,358","1,228",740,986,"1,445","1,364",791,680,"1,726","1,457",996,"1,103"
Interest Expense / Income,42,42,45,36,36,40,41,46,46,48,47,48,58,60,60,59,61,68,69,92,120,141,133,130,127,132,128,128,118,110,107,109,110,114,118,127,136,146,145,151
Other Expense / Income,-4,6,-24,107,11,4,-31,2,10,5,5,-231,-53,-64,-58,-32,-63,-91,90,311,-115,1,-77,-64,-51,-26,-43,-92,-67,-84,-78,-80,-74,-51,-54,-55,-57,-61,-71,-87
Pretax Income,635,599,424,393,688,585,451,546,677,673,520,583,744,705,533,643,910,714,382,218,933,538,411,526,994,779,455,535,"1,307","1,202",711,957,"1,409","1,301",727,608,"1,647","1,372",922,"1,039"
Income Tax,192,168,127,99,206,166,128,171,196,201,141,147,175,204,140,614,220,183,106,65,217,206,108,135,240,207,139,161,324,382,174,154,338,334,181,142,412,337,192,283
Net Income,443,431,297,294,482,419,323,375,481,472,379,436,569,501,393,29,690,531,276,153,716,332,303,391,754,572,316,374,983,820,537,803,"1,071",967,546,466,"1,235","1,035",730,756
Net Income Growth,7.26%,11.08%,17.39%,-2.97%,8.80%,-2.78%,8.75%,27.55%,-0.21%,12.65%,17.34%,16.27%,18.30%,6.14%,3.69%,-93.35%,21.27%,5.99%,-29.77%,427.59%,3.77%,-37.48%,9.78%,155.56%,5.31%,72.29%,4.29%,-4.35%,30.37%,43.36%,69.94%,114.71%,8.95%,17.93%,1.68%,-41.97%,15.31%,7.03%,33.70%,62.23%
Shares Outstanding (Basic),548,549,544,539,539,535,528,522,521,521,518,516,515,514,512,510,508,507,504,506,505,507,506,506,505,506,507,506,509,508,506,504,503,501,498,493,495,495,494,494
Shares Outstanding (Diluted),556,556,551,550,545,541,533,524,526,525,523,521,522,520,519,516,514,512,510,508,511,512,511,511,510,511,512,515,514,513,513,513,509,506,503,502,500,499,499,499
Shares Change,-0.18%,-0.54%,-1.25%,-1.43%,-1.98%,-2.70%,-3.27%,-4.73%,-3.49%,-2.96%,-1.88%,-0.57%,-0.76%,-0.95%,-0.76%,-0.96%,-1.53%,-1.54%,-1.73%,-1.55%,-0.58%,-,0.20%,0.59%,-0.20%,-0.20%,0.20%,0.78%,0.78%,0.39%,0.20%,-0.39%,-0.97%,-1.36%,-1.95%,-2.14%,-1.77%,-1.38%,-0.80%,-0.60%
EPS (Basic),0.81,0.78,0.55,0.55,0.89,0.78,0.61,0.72,0.92,0.91,0.73,0.85,1.10,0.98,0.77,0.06,1.36,1.05,0.55,0.30,1.42,0.66,0.60,0.77,1.49,1.13,0.62,0.73,1.93,1.61,1.06,1.59,2.13,1.93,1.10,0.95,2.50,2.09,1.48,1.53
