,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,76.11,95.25,141,121.6,125.33,4.41,229,174.57,138.74,163.88,184.22,191.64,172.95,177.98,222.63,218.74,201.32,216.05,270.12,267.73,239.11,261.49,292.47,298.92,254.95,278.84,311.37,347.65,471.74,315.19,403.76,337.21,321.31,294.2,273.36,322.39,301.67,397.44,413.87,452.69
Depreciation & Amortization,6.32,6.45,6.54,6.13,6.53,6.47,6.78,8.51,9.1,9.02,10.31,10.55,10.97,11.18,11.59,12.33,13.78,13.99,14.19,14.28,14.51,14.87,17.57,15.4,16.97,16.55,15.51,13.82,15.09,13.78,13.71,13.23,13.55,16.08,17.57,17.57,17.36,18.97,16.24,21.62
Share-Based Compensation,7.07,4.38,7.4,-0.82,17.58,6.35,8.48,8.85,9.03,10.06,11.53,12.15,12.11,13.14,12.84,13.28,13.02,13.44,14.91,14.09,14.68,15.32,15.58,15.99,16.47,17.1,15.94,20.01,17.25,18.36,17.33,16.7,18.09,16.33,16.28,16.56,14.94,16.05,18.55,17.86
Other Operating Activities,-23.3,30.32,-32.37,21.16,41,85.69,-186.39,-1,14.11,-73.4,-68.06,-41.19,84.62,-9.34,93.19,12.48,-30.45,-94.57,53.17,23.95,72.23,-168.28,5.77,35.97,4.3,-121.35,-93.49,127.29,-89.15,-171.86,-23.69,-25.74,-125.19,-326.97,-176.2,102.01,-35.46,-7.99,-109.98,28.09
Operating Cash Flow,66.2,136.4,122.58,148.07,190.44,102.92,57.87,190.94,170.99,109.56,138,173.15,280.65,192.96,340.26,256.84,197.67,148.91,352.39,320.06,340.52,123.4,331.39,366.28,292.69,191.13,249.33,508.78,414.93,175.47,411.11,341.4,227.76,-0.35,131.01,458.52,298.51,424.48,338.69,520.26
Operating Cash Flow Growth,-4.92%,197.22%,127.72%,-15.92%,187.68%,-24.54%,-52.79%,28.95%,-10.21%,6.45%,138.45%,-9.32%,64.14%,76.13%,146.57%,48.33%,-29.57%,-22.83%,3.57%,24.62%,72.26%,-17.13%,-5.96%,14.44%,-14.05%,54.89%,-24.76%,38.90%,41.76%,-8.19%,64.89%,-32.90%,-45.11%,-,-68.13%,34.31%,31.07%,-,158.51%,13.47%
Capital Expenditures,-19.07,-9.63,-5.13,-3.79,-11.85,-4.59,-11.08,-9.48,-16.42,-7.82,-9.45,-49.55,-37.71,-18.64,-21.1,-27.14,-24.83,-9.65,-21.38,-14.82,-24.78,-8.3,-12.34,-28.42,-60.1,-17.71,-23.9,-19.26,-5.41,-15.41,-9.02,-7.67,-24.03,-29.92,-79.05,-30.17,-71.71,-43.49,-43.83,-30.27
Acquisitions,0,0,0,0,0,0,198.01,0,0,0,-688.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-330.36,0.88,0,0,0,0,-363.39
Change in Investments,-86.26,-34.96,-58.57,-110.16,-207.54,135.55,-598.64,-291.7,819.16,244.3,471.34,-222.85,44.03,13.24,-127.57,-295.84,-28.46,86.8,378.14,-248.53,139,57.07,-91.46,-243.45,61.54,298.84,-5.19,-347.06,-326.37,-114.82,-19.68,-192.29,-597.75,62.88,382.56,-15.41,-24.75,3.75,-57.07,194.13
Other Investing Activities,12.22,0.65,-0.37,-1.01,1.97,-1.33,176.2,-1.61,5.99,-2.2,-5.06,3.06,4.21,-0.9,0.29,-5.75,5.15,-1.27,-6.46,-8.67,4.59,-1.99,0.97,-0.27,0.02,-1.15,-0.19,-24.89,-0.2,-18.86,-2.38,-1.57,11.46,-6.24,-6.5,-6.43,-7.17,-13.03,-4.54,-2.29
