,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"76,781","97,381","114,131","131,877","136,264","92,806","93,238","76,195","87,055","81,920","70,856"
Market Cap Growth,20.59%,26.83%,17.20%,15.55%,3.33%,-31.89%,0.47%,-18.28%,14.25%,-5.90%,-
Enterprise Value,"88,123","108,753","124,609","141,189","148,905","117,219","119,163","100,721","110,555","104,570","94,417"
PE Ratio,16.93,19.21,21.78,9.26,13.33,13.33,-72.11,17.06,35.17,14.21,8.18
PS Ratio,3.14,3.97,4.49,5.12,5.33,3.66,3.71,2.91,3.35,3.26,2.88
PB Ratio,18.64,32.31,39.63,10.33,8.86,6.28,14.99,26.84,-54.21,-20.62,-21.90
P/FCF Ratio,18.09,21.64,20.33,36.26,28.98,11.38,12.28,9.34,10.57,10.18,8.36
P/OCF Ratio,17.55,20.88,19.53,34.47,27.80,11.06,11.90,9.09,10.36,9.92,8.16
EV/Sales Ratio,3.60,4.43,4.90,5.48,5.82,4.62,4.75,3.85,4.25,4.17,3.84
EV/EBITDA Ratio,10.74,12.37,13.67,6.19,13.87,11.46,52.33,12.04,21.14,12.06,7.78
EV/EBIT Ratio,11.03,12.67,14.01,6.25,14.14,11.72,58.10,12.42,22.17,12.38,7.95
EV/FCF Ratio,20.76,24.17,22.20,38.82,31.67,14.38,15.70,12.35,13.42,12.99,11.14
Debt / Equity Ratio,3.52,4.87,4.46,1.09,0.90,1.74,4.51,10.38,-17.46,-6.72,-7.37
Debt / EBITDA Ratio,1.77,1.67,1.41,0.61,1.29,2.52,12.32,3.52,5.36,3.08,2.07
Debt / FCF Ratio,3.42,3.27,2.29,3.82,2.95,3.16,3.69,3.61,3.41,3.31,2.96
Quick Ratio,0.47,0.45,0.35,0.64,0.21,0.07,0.28,0.56,0.53,0.47,0.15
Current Ratio,0.93,0.90,0.70,0.98,0.64,0.20,0.59,0.79,0.71,0.84,0.33
Asset Turnover,0.69,0.72,0.79,0.71,0.58,0.54,0.46,0.53,0.60,0.68,0.67
Interest Coverage,7.62,10.62,10.88,30.25,14.93,15.04,1.60,6.71,4.29,7.98,12.07
Return on Equity (ROE),119.10%,128.20%,189.20%,263.70%,78.30%,45.30%,-11.40%,98.10%,300.30%,-186.40%,-232.30%
Return on Assets (ROA),12.80%,14.80%,16.20%,39.50%,23.10%,14.90%,-2.40%,9.10%,5.70%,15.60%,23.80%
Return on Capital (ROIC),28.34%,28.07%,34.67%,21.43%,34.10%,16.77%,-50.54%,21.78%,28.30%,40.95%,42.88%
Earnings Yield,5.91%,5.21%,4.59%,10.80%,7.50%,7.50%,-1.39%,5.86%,2.84%,7.04%,12.36%
FCF Yield,5.53%,4.62%,4.92%,2.76%,3.45%,8.78%,8.14%,10.70%,9.46%,9.83%,11.97%
Dividend Yield,4.80%,4.10%,3.70%,3.50%,3.60%,6.10%,6.60%,8.30%,7.40%,8.10%,9.76%
Payout Ratio,81.40%,78.10%,81.30%,32.30%,47.80%,81.30%,-468.60%,141.70%,262.70%,115.40%,79.84%
Buyback Yield / Dilution,1.24%,1.18%,0.80%,0.53%,2.16%,1.53%,0.58%,0.52%,1.15%,2.44%,1.46%
Total Shareholder Return,6.04%,5.28%,4.50%,4.03%,5.76%,7.63%,7.18%,8.82%,8.55%,10.54%,11.21%
