,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"6,080","5,517","6,256","6,491","6,258","5,804","6,613","6,699","6,318","6,066","6,521","6,905","6,252","6,083","6,663","6,729","6,101","6,108","6,305","6,837","6,114","5,628","6,619","6,856","6,007","6,359","6,367","7,123","6,304","6,036","6,936","6,786","6,255","5,892","6,543","6,550","6,111","5,719","6,508","6,281"
Revenue Growth (YoY),-2.60%,-0.20%,-0.78%,-0.95%,2.93%,5.20%,5.71%,3.20%,0.96%,4.51%,-1.39%,3.08%,-1.04%,0.28%,2.18%,-2.55%,-2.42%,0.41%,-5.37%,1.60%,0.21%,-7.86%,4.98%,0.28%,-1.75%,12.99%,-3.81%,3.89%,4.94%,-5.08%,8.94%,-4.73%,-0.78%,-2.39%,-5.67%,-3.48%,-2.30%,-2.94%,-0.53%,-4.11%
Cost of Revenue,"3,672","3,261","3,653","3,817","3,631","3,329","3,742","3,653","3,596","3,410","3,564","3,755","3,443","3,307","3,549","3,558","3,199","3,172","3,164","3,582","3,192","2,817","3,300","3,359","2,923","3,486","3,080","3,406","3,158","2,764","3,204","3,113","2,940","2,519","2,877","2,853","2,601","2,390","2,751","2,582"
Gross Profit,"2,408","2,256","2,603","2,674","2,627","2,475","2,871","3,046","2,722","2,656","2,957","3,150","2,809","2,776","3,114","3,171","2,902","2,936","3,141","3,255","2,922","2,811","3,319","3,497","3,084","2,873","3,287","3,717","3,146","3,272","3,732","3,673","3,315","3,373","3,666","3,697","3,510","3,329","3,757","3,699"
"Selling, General & Admin",602,520,638,663,718,610,643,698,757,559,546,766,791,533,574,574,657,618,641,700,797,533,569,552,572,537,491,557,565,582,546,722,582,489,561,585,692,572,852,610
Other Operating Expenses,7,2,-10,12,-3,0,4,0,0,120,1,2,26,4,12,8,8,2,2,-2,381,40,33,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,609,522,628,675,715,610,647,698,757,679,547,768,817,537,586,582,665,620,643,698,"1,178",573,602,553,657,537,491,557,565,582,546,722,582,489,561,585,692,572,852,610
Operating Income,"1,799","1,734","1,975","1,999","1,912","1,865","2,224","2,348","1,965","1,977","2,410","2,382","1,992","2,239","2,528","2,589","2,237","2,316","2,498","2,557","1,744","2,238","2,717","2,944","2,427","2,336","2,796","3,160","2,581","2,690","3,186","2,951","2,733","2,884","3,105","3,112","2,818","2,757","2,905","3,089"
Interest Expense / Income,255,153,230,213,212,209,195,205,208,200,192,179,176,179,177,169,180,166,178,159,162,384,312,293,291,275,308,310,316,308,295,266,293,281,280,271,226,229,257,272
Other Expense / Income,831,-225,-200,-328,-209,94,-224,-146,-215,-105,-315,477,"-13,890",-30,-558,-223,-124,-315,-236,-209,-127,339,-195,"4,777","3,354",-49,-82,"3,170",-278,442,-17,"5,989",160,-70,"1,220","2,434",-112,49,-158,-91
Pretax Income,713,"1,806","1,945","2,114","1,909","1,562","2,253","2,289","1,972","1,882","2,533","1,726","15,706","2,090","2,909","2,643","2,181","2,465","2,556","2,607","1,709","1,515","2,600","-2,126","-1,218","2,110","2,570",-320,"2,543","1,940","2,908","-3,304","2,280","2,673","1,605",407,"2,704","2,479","2,806","2,908"
Income Tax,225,631,683,717,673,544,805,761,725,665,880,633,"5,430",689,920,777,"-2,785",571,680,664,459,395,604,474,591,558,627,632,619,516,759,-582,656,714,714,183,14,692,689,742
Net Income,488,"1,175","1,262","1,397","1,236","1,018","1,448","1,528","1,247","1,217","1,653","1,093","10,276","1,401","1,989","1,866","4,966","1,894","1,876","1,943","1,250","1,120","1,996","-2,600","-1,809","1,552","1,943",-952,"1,924","1,424","2,149","-2,722","1,624","1,959",891,224,"2,690","1,787","2,117","2,166"
Net Income Growth,-55.76%,-15.16%,-0.32%,0.07%,153.28%,-13.36%,14.74%,9.38%,0.89%,19.55%,14.16%,-28.47%,724.06%,15.12%,20.33%,70.72%,-51.67%,35.19%,-5.68%,4.13%,-74.83%,-40.87%,6.40%,-,-,38.57%,-2.66%,-,-,-8.25%,10.60%,-,-15.59%,37.57%,-58.54%,-,65.64%,-8.78%,137.60%,866.96%
