,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"25,894","16,951","9,726","10,272","9,008","11,260","8,196","8,723","14,889","14,937","9,985"
Market Cap Growth,27.65%,-34.54%,-42.62%,5.62%,-12.31%,25.00%,-27.20%,6.42%,70.69%,0.32%,-
Enterprise Value,"23,276","18,409","12,286","13,418","12,082","14,941","12,292","12,727","18,401","17,824","13,050"
PE Ratio,13.71,16.48,9.72,34.49,-84.03,23.96,-7.68,13.10,9.13,4.17,7.75
PS Ratio,2.60,1.87,1.09,1.43,1.22,1.17,0.92,1.00,1.21,0.78,0.66
PB Ratio,1.93,1.58,1.02,1.07,0.94,1.08,0.89,0.91,1.40,1.24,0.83
P/FCF Ratio,88.62,14.21,9.37,24.63,78.06,24.73,-46.36,21.17,16.57,5.56,6.93
P/OCF Ratio,13.77,7.99,4.77,8.15,9.63,7.99,7.48,5.51,6.81,3.80,3.53
EV/Sales Ratio,2.33,2.03,1.38,1.87,1.63,1.56,1.38,1.47,1.49,0.93,0.87
EV/EBITDA Ratio,8.27,8.89,6.34,12.81,10.14,9.36,-54.27,11.41,5.73,3.03,4.64
EV/EBIT Ratio,10.53,13.94,10.26,39.93,22.98,20.95,-11.08,47.45,7.68,3.60,6.95
EV/FCF Ratio,79.66,15.43,11.84,32.17,104.70,32.82,-69.52,30.89,20.48,6.63,9.06
Debt / Equity Ratio,0.08,0.36,0.40,0.40,0.54,0.44,0.50,0.48,0.40,0.30,0.30
Debt / EBITDA Ratio,0.38,1.85,1.98,3.65,4.39,2.84,-20.37,4.10,1.33,0.62,1.30
Debt / FCF Ratio,3.69,3.21,3.70,9.15,45.30,9.95,-26.10,11.11,4.77,1.35,2.54
Quick Ratio,2.67,1.96,0.95,0.88,1.38,0.68,0.51,0.46,0.48,0.44,0.42
Current Ratio,3.90,3.27,2.02,2.07,2.27,1.71,1.44,1.12,1.11,1.19,1.10
Asset Turnover,0.57,0.50,0.51,0.41,0.42,0.47,0.44,0.45,0.59,0.81,0.65
Interest Coverage,-,12.28,12.24,2.99,3.81,4.29,-6.06,1.49,14.18,35.88,14.64
Return on Equity (ROE),14.90%,9.40%,10.10%,3.00%,-1.10%,4.50%,-10.60%,7.60%,15.90%,30.50%,10.90%
Return on Assets (ROA),10.90%,5.60%,5.70%,1.70%,-0.60%,2.30%,-5.30%,3.50%,7.70%,15.20%,5.70%
Return on Capital (ROIC),12.90%,7.62%,8.59%,3.13%,-0.87%,5.34%,-7.93%,22.17%,12.13%,22.75%,8.20%
Earnings Yield,7.29%,6.07%,10.29%,2.90%,-1.19%,4.17%,-13.02%,7.64%,10.95%,23.99%,13.25%
FCF Yield,1.13%,7.04%,10.67%,4.06%,1.28%,4.04%,-2.16%,4.72%,6.03%,18.00%,14.43%
Dividend Yield,1.60%,2.20%,3.90%,3.80%,2.30%,0.30%,0.80%,0.90%,0.70%,1.30%,2.75%
Payout Ratio,22.50%,37.20%,38.50%,129.40%,-193.50%,8.20%,-6.30%,11.40%,6.40%,5.50%,21.32%
Buyback Yield / Dilution,2.20%,12.02%,4.07%,2.39%,0.23%,-10.12%,0.67%,0.65%,-0.08%,6.71%,4.66%
Total Shareholder Return,3.80%,14.22%,7.97%,6.19%,2.53%,-9.82%,1.47%,1.55%,0.62%,8.01%,7.41%
