,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"5,293","2,491","2,367","2,971","2,375","2,517","2,210","1,285","1,276","1,058","1,059",653.5,673.1,675.3,660.6,685.7,"2,154",659.4,"1,035","1,030",847.7,384.6,401.9,641.1,519.1,"1,069","1,073",923,574,692,"1,418",842.8,769.5,881.9,839.1,702.8,735.4,464.8,626.1,591
Cash & Cash Equivalents,"5,293","2,491","2,367","2,971","2,375","2,517","2,210","1,285","1,276","1,058","1,059",653.5,673.1,675.3,660.6,685.7,"2,154",659.4,"1,035","1,030",847.7,384.6,401.9,641.1,519.1,"1,069","1,073",923,574,692,"1,418",842.8,769.5,881.9,839.1,702.8,735.4,464.8,626.1,591
Cash Growth,54.74%,-,-35.98%,-11.02%,-55.14%,1.07%,-6.64%,-56.75%,-46.25%,-57.98%,-52.07%,-49.14%,-47.26%,-36.15%,-37.64%,4.93%,219.94%,-2.35%,56.72%,50.20%,-60.64%,-41.67%,-61.18%,-37.75%,-38.76%,178.00%,167.06%,43.97%,10.58%,-35.28%,32.08%,-8.69%,34.06%,27.44%,-40.81%,-16.61%,-4.43%,-47.30%,-25.38%,-15.91%
Receivables,543.1,597.4,604.2,573.9,754.4,661.4,626.6,675.1,675,677.2,399.6,512.4,627.8,577.8,548,592.3,642.6,708.4,624.9,834.9,838.5,792,711.7,801.4,803.9,723,689.6,794.6,881.1,851.6,930.5,"1,082","1,532","1,530","2,252","1,900","1,700","1,426","1,222","1,399"
Inventory,"1,433","1,607","1,580","1,472","1,718","1,523","1,612","1,550","1,564","1,566","1,702","1,500","1,391","1,534","1,684","1,666","1,547","2,059","2,168","1,957","2,270","2,572","2,714","2,294","2,076","1,931","1,954","1,681","1,739","1,861","2,194","2,274","2,741","3,327","3,641","3,781","3,543","3,320","3,149","2,453"
Other Current Assets,836.7,660.7,637.6,642.5,368.2,549.8,651.4,753.5,628.6,656.2,631.5,783.2,365.7,429.4,445.1,431.3,273.2,414.6,341.9,356.1,280.6,397.6,401.3,388.5,318.8,498,338.7,349.9,326.9,323,445.1,401.2,282.5,486.9,566.8,515.9,578.2,642.3,714.7,713.4
Total Current Assets,"8,106","5,355","5,188","5,659","5,216","5,252","5,100","4,263","4,143","3,957","3,793","3,449","3,058","3,216","3,337","3,376","4,617","3,841","4,170","4,178","4,237","4,146","4,229","4,125","3,718","4,221","4,056","3,749","3,521","3,727","4,988","4,599","5,325","6,225","7,299","6,900","6,557","5,853","5,712","5,157"
"Property, Plant & Equipment","8,577","9,552","9,695","9,414","9,314","8,899","9,041","8,734","8,721","9,020","9,198","9,231","9,199","9,295","9,435","9,696","9,712","11,865","11,560","11,892","11,747","11,943","11,983","11,943","11,690","10,990","11,153","11,318","11,854","11,799","12,063","12,269","12,475","12,838","12,569","12,463","12,679","12,789","13,095","13,140"
Long-Term Investments,576.4,579.6,720.8,840,849.8,862.1,930.5,876.1,980.5,973.7,"1,044","1,064","1,063","1,064","1,128","1,139","1,090",836.3,837.8,828.5,826.6,823.3,812.4,787.5,763.6,742.3,713.8,683.5,673.1,673.9,668.7,671.1,691.8,727.2,756.8,831.7,885.9,879.8,893.1,910.5
Goodwill and Intangibles,"1,794","1,765","1,793","1,741","1,807","1,687","1,710","1,625","1,595","1,661","1,668","1,652","1,631","1,639","1,661","1,703","1,694","1,761","1,738","1,753","1,708","1,727","1,745","1,732","1,157","1,077","1,108","1,125","1,173","1,180","1,201","1,172","1,172","1,196","1,162","1,106","1,116","1,119","1,139","1,115"
Other Long-Term Assets,500.8,860.7,896.9,802,"1,097",932.1,995.5,"1,620","1,949","2,015","1,984","1,868","1,891","1,883","1,884","1,889","1,522","2,149","2,092","1,764","1,602","1,806","1,875","1,852","1,970","1,946","1,990","1,976","2,568","2,522","2,553","2,370","2,372","2,437","2,199","2,137","2,149","2,217","2,302","2,332"
Total Long-Term Assets,"11,448","12,757","13,105","12,797","13,068","12,380","12,677","12,855","13,246","13,670","13,892","13,814","13,783","13,880","14,107","14,428","14,017","16,611","16,228","16,237","15,882","16,299","16,415","16,315","15,580","14,754","14,965","15,103","16,269","16,175","16,486","16,482","16,711","17,198","16,687","16,538","16,829","17,004","17,429","17,498"
Total Assets,"19,554","18,112","18,294","18,456","18,283","17,632","17,777","17,118","17,390","17,627","17,685","17,263","16,841","17,096","17,444","17,803","18,633","20,452","20,398","20,415","20,119","20,445","20,644","20,440","19,299","18,976","19,021","18,852","19,790","19,902","21,474","21,082","22,036","23,423","23,986","23,438","23,386","22,858","23,140","22,654"
Accounts Payable,570.2,592.8,750.2,762.2,559.6,706.8,858.2,657,520.6,517.7,622.6,486.9,471.8,536.7,651.1,547.9,540.9,679.4,774.8,839.3,780.9,781.6,808.6,766.1,680.4,691.7,811.9,736.7,769.1,762.3,924.8,"1,042","1,261",848.7,"1,506","1,200","1,293","1,027","1,233","1,106"
Current Debt,23,41.7,13.3,41.4,54.5,51.4,84.1,60.2,67.2,83.8,96.3,426.4,38.9,165,107.8,192.8,349.6,322.6,281.4,86.9,37.5,208.3,137.3,130.9,88.8,"1,055",669.2,273.8,504.3,513.8,495,47.1,899.4,"1,080",624.7,830.7,"1,210","1,835","1,199","1,254"
Other Current Liabilities,"2,673","1,529","1,159",746,982.6,862.5,940.7,"1,154","1,459","1,213","1,184","1,026",966.1,931.7,"1,113","1,157","1,141","1,219","1,539","1,576","1,665","1,407","1,581","1,828","1,823","1,522","1,632","1,855","1,873","2,079","2,718","2,406","2,627","3,123","3,502","3,100","3,031","2,306","2,408","2,336"
Total Current Liabilities,"3,266","2,163","1,922","1,550","1,597","1,621","1,883","1,872","2,047","1,814","1,903","1,939","1,477","1,633","1,872","1,898","2,031","2,221","2,595","2,502","2,484","2,397","2,527","2,725","2,592","3,269","3,113","2,866","3,147","3,355","4,138","3,495","4,787","5,052","5,632","5,130","5,534","5,168","4,839","4,696"
Long-Term Debt,"3,009","3,009","3,013","3,774","3,778","3,775","3,762","3,738","3,770","3,774","3,773","3,450","3,779","3,787","3,800","3,722","4,878","4,823","4,737","4,523","4,492","4,533","4,542","4,533","4,526","4,525","4,528","4,520","4,074","3,971","3,968","3,948","3,382","3,378","3,352","3,329","2,412","2,409","2,423","2,402"
Other Long-Term Liabilities,"1,959","2,089","2,094","2,169","2,188","2,029","1,980","1,881","2,008","2,008","2,015","1,999","1,962","2,016","1,978","2,028","2,085","2,729","2,651","2,736","2,539","2,708","2,893","2,871","2,814","2,621","2,716","2,762","2,814","2,779","2,852","3,058","3,118","3,203","3,093","3,243","3,246","3,225","3,322","3,349"
