,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"20,136","19,943","18,972","16,638","16,951","16,851","17,106","11,023","9,726","9,518","9,158","8,566","10,272","10,220","8,014","7,579","9,008","9,353","10,811","12,520","11,260","10,527","9,656","7,910","8,196","4,098","4,742","6,926","8,723","11,983","12,119","13,570","14,889","24,493","17,097","16,687","14,937","15,438","11,624","11,829","9,985"
Market Cap Growth,-12.49%,-21.42%,-26.73%,-9.17%,-15.82%,-15.50%,-9.84%,-33.75%,-42.62%,-43.52%,-46.46%,-22.29%,5.62%,7.38%,-12.50%,-11.52%,-12.31%,-8.48%,34.91%,65.19%,25.00%,12.55%,-10.68%,-36.82%,-27.20%,-61.07%,-50.90%,-12.44%,6.42%,192.40%,155.59%,95.93%,70.69%,104.39%,41.08%,22.97%,0.32%,-36.97%,-32.01%,-29.11%,-
Enterprise Value,"17,875","20,503","19,631","17,483","18,409","18,160","18,742","13,537","12,286","12,318","11,968","11,789","13,418","13,496","11,261","10,809","12,082","13,840","14,794","16,100","14,941","14,884","13,934","11,933","12,292","8,609","8,865","10,796","12,727","15,776","15,164","16,722","18,401","28,068","20,234","20,144","17,824","19,217","14,620","14,895","13,050"
PE Ratio,17.52,20.20,23.54,18.84,16.48,15.24,13.71,9.14,9.72,9.89,16.31,19.43,34.49,255.50,54.33,22.57,-84.03,-146.15,-115.75,-170.57,23.96,18.85,37.50,-231.97,-7.68,-2.92,-4.23,-6.40,13.10,11.68,8.56,7.57,9.13,9.22,5.25,4.48,4.17,5.44,5.36,8.94,7.75
PS Ratio,2.08,2.13,2.06,1.75,1.87,1.83,1.85,1.21,1.09,1.13,1.20,1.15,1.43,1.45,1.12,1.06,1.22,1.21,1.32,1.37,1.17,1.10,1.01,0.85,0.92,0.47,0.55,0.83,1.00,1.31,1.22,1.24,1.21,1.75,1.03,0.90,0.78,0.82,0.69,0.79,0.66
PB Ratio,1.78,1.84,1.69,1.52,1.58,1.65,1.69,1.15,1.02,0.95,0.92,0.87,1.07,1.06,0.82,0.75,0.94,0.90,1.06,1.20,1.08,0.99,0.92,0.78,0.89,0.49,0.56,0.81,0.91,1.25,1.17,1.30,1.40,2.10,1.46,1.44,1.24,1.30,0.94,0.98,0.83
P/FCF Ratio,24.44,20.68,18.13,10.45,14.21,12.57,15.09,12.13,9.37,16.73,15.93,16.36,24.63,33.07,5342.48,65.00,78.06,-92.52,25.11,17.50,24.73,40.46,-72.44,-30.23,-46.36,17.15,8.13,13.99,21.17,23.23,17.90,19.83,16.57,22.60,10.13,7.79,5.56,6.71,6.68,8.21,6.93
P/OCF Ratio,8.61,8.35,8.12,6.08,7.99,7.58,8.42,5.92,4.77,6.04,5.89,5.89,8.15,8.96,10.02,8.95,9.63,13.02,8.43,7.49,7.99,8.06,9.60,8.17,7.48,2.81,2.68,4.27,5.51,7.00,6.34,6.80,6.81,10.32,5.81,4.89,3.80,4.31,3.79,4.19,3.53
Debt / Equity Ratio,0.27,0.28,0.27,0.35,0.36,0.38,0.38,0.40,0.40,0.39,0.39,0.39,0.40,0.41,0.40,0.39,0.54,0.49,0.49,0.44,0.44,0.45,0.45,0.46,0.50,0.67,0.61,0.56,0.48,0.47,0.43,0.38,0.40,0.38,0.34,0.36,0.30,0.36,0.29,0.30,0.30
Quick Ratio,1.79,1.43,1.55,2.29,1.96,1.96,1.51,1.05,0.95,0.96,0.77,0.60,0.88,0.77,0.65,0.67,1.38,0.62,0.64,0.75,0.68,0.49,0.44,0.53,0.51,0.55,0.57,0.60,0.46,0.46,0.57,0.55,0.48,0.48,0.55,0.51,0.44,0.37,0.38,0.42,0.42
