,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"146,243","161,901","147,555","162,313","153,304","198,695","231,557","206,957","193,588","281,302","323,822"
Market Cap Growth,17.50%,10.71%,-8.86%,10.00%,-5.55%,29.61%,16.54%,-10.62%,-6.46%,45.31%,-
Enterprise Value,"153,817","167,585","160,540","172,814","169,216","214,945","247,453","230,698","218,594","298,801","349,908"
PE Ratio,33.21,13.58,33.22,41.41,64.04,31.94,23.53,29.29,14.84,19.38,70.99
PS Ratio,3.32,3.83,3.74,4.08,3.82,4.70,5.92,4.99,3.98,4.75,5.46
PB Ratio,2.94,3.33,3.30,4.05,4.47,7.44,8.94,8.18,5.07,6.12,7.85
P/FCF Ratio,14.47,24.27,13.11,18.52,33.60,23.92,22.99,35.54,20.04,19.13,24.59
P/OCF Ratio,12.55,20.27,11.77,15.64,23.76,18.19,17.23,20.19,13.72,14.73,18.84
EV/Sales Ratio,3.49,3.97,4.06,4.34,4.22,5.08,6.33,5.56,4.49,5.04,5.90
EV/EBITDA Ratio,11.63,6.79,12.91,16.00,14.19,15.33,15.85,18.13,11.76,14.02,28.43
EV/EBIT Ratio,24.68,9.31,26.51,32.42,23.34,22.63,20.12,24.97,14.22,17.17,41.14
EV/FCF Ratio,15.22,25.12,14.26,19.72,37.08,25.88,24.57,39.61,22.63,20.32,26.57
Debt / Equity Ratio,0.50,0.44,0.59,0.62,0.71,0.94,1.02,1.26,0.87,0.67,0.85
Debt / EBITDA Ratio,1.90,0.87,2.12,2.30,2.05,1.79,1.69,2.50,1.78,1.44,2.83
Debt / FCF Ratio,2.48,3.21,2.35,2.84,5.35,3.02,2.62,5.46,3.43,2.09,2.65
Quick Ratio,1.38,1.21,1.04,1.24,0.83,0.72,0.78,0.54,0.73,0.93,0.83
Current Ratio,2.00,1.77,1.55,1.78,1.33,1.17,1.24,1.02,1.27,1.47,1.38
Asset Turnover,0.41,0.42,0.38,0.41,0.44,0.50,0.47,0.47,0.51,0.55,0.55
Interest Coverage,7.78,24.59,9.01,7.69,9.62,12.31,13.77,11.12,19.08,18.09,7.94
Return on Equity (ROE),8.90%,24.80%,9.60%,9.20%,6.30%,19.90%,36.50%,26.10%,38.90%,33.30%,10.70%
Return on Assets (ROA),4.10%,11.70%,4.30%,4.00%,2.60%,7.30%,11.80%,7.90%,13.70%,13.50%,4.30%
Return on Capital (ROIC),6.45%,5.59%,8.04%,6.31%,3.78%,11.41%,12.05%,7.32%,15.75%,20.67%,6.32%
Earnings Yield,3.01%,7.36%,3.01%,2.42%,1.56%,3.13%,4.25%,3.41%,6.74%,5.16%,1.42%
FCF Yield,6.91%,4.12%,7.63%,5.40%,2.98%,4.18%,4.35%,2.81%,4.99%,5.23%,4.07%
Dividend Yield,3.50%,3.10%,3.40%,3.10%,3.40%,2.60%,2.50%,3.00%,3.40%,2.50%,2.41%
Payout Ratio,116.10%,43.00%,114.60%,130.30%,214.80%,85.00%,58.90%,88.90%,51.20%,48.90%,171.11%
Buyback Yield / Dilution,1.48%,2.27%,2.97%,1.90%,1.40%,2.51%,3.70%,1.51%,0.12%,-0.16%,-0.16%
Total Shareholder Return,4.98%,5.37%,6.37%,5.00%,4.80%,5.11%,6.20%,4.51%,3.52%,2.34%,2.25%
