,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,"2,655","3,152","5,671","5,508","5,588","8,222","8,512","10,500","14,566","10,540"
Depreciation & Amortization,"1,511","1,161","1,433","1,736","1,753","1,844","2,643","3,769","4,216","3,998"
Share-Based Compensation,"1,180","1,260","1,104","1,136","1,026",920,"1,153","1,312","2,085","1,875"
Other Operating Activities,"29,386","-4,802","-13,127","-3,468","-13,395","-4,207","27,935","-41,308","12,636","-23,299"
Operating Cash Flow,"35,009","1,086","-4,463","5,383","-4,505","7,305","40,773","-25,231","33,971","-6,397"
Operating Cash Flow Growth,41.40%,-96.90%,-,-,-,-,458.15%,-,-,-
Capital Expenditures,"-1,316",-992,"-1,373","-1,276","-1,629","-1,865","-1,826","-1,444","-2,308","-3,078"
Acquisitions,"1,147",989,998,0,0,0,0,"3,807","-2,648",0
Change in Investments,"-24,432","-35,108","-19,518","-18,432","-10,511","-20,718","-30,782","-39,459","-44,109","-8,207"
Other Investing Activities,140,-213,-102,200,-251,-298,-953,-802,-832,-347
Investing Cash Flow,"-24,461","-35,324","-19,995","-19,508","-12,391","-22,881","-33,561","-37,898","-49,897","-11,632"
Dividends Paid,-475,-904,"-1,455","-1,746","-2,085","-2,375","-2,627","-2,739","-4,171","-5,401"
Share Issuance / Repurchase,-691,"-1,458","-2,773","-3,933","-4,292","-5,566","-5,954","-1,890","-12,075","-10,871"
Debt Issued / Paid,"-21,525","1,567","4,435","13,363","18,018","4,052","-6,248","13,036","19,524","36,678"
Other Financing Activities,"25,324","23,938","23,947",-321,"4,620","28,094","2,863","75,377","38,269","2,308"
Financing Cash Flow,"2,633","23,143","24,154","7,363","16,261","24,205","-11,966","83,784","41,547","22,714"
Exchange Rate Effect,-202,"-1,804","-1,735","-1,430","3,670","-1,828",-271,"2,828","-3,550","-4,283"
Net Cash Flow,"12,979","-12,899","-2,039","-8,192","3,035","6,801","-5,025","23,483","22,071",402
Free Cash Flow,"33,693",94,"-5,836","4,107","-6,134","5,440","38,947","-26,675","31,663","-9,475"
Free Cash Flow Growth,43.70%,-99.72%,-,-,-,-,615.94%,-,-,-
Free Cash Flow Margin,103.69%,0.27%,-16.60%,11.86%,-16.17%,13.56%,93.76%,-54.71%,52.99%,-17.65%
Free Cash Flow Per Share,17.68,0.05,-3.06,2.22,-3.45,3.19,24.09,-16.64,17.74,-5.60
