,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"5,016","5,351","5,480","5,315","7,801","6,920","6,520","7,406","7,318","7,442","7,943","7,415","8,800","9,316","10,528","11,397","13,444","14,727","15,760","12,979","16,767","20,220","18,443","21,870","24,506","27,906","29,840","37,015","34,622","43,938","50,153","50,514","40,868","33,435","33,955","37,194","44,753","37,573","40,579","44,738","44,983"
Market Cap Growth,22.97%,33.23%,12.51%,2.67%,55.50%,29.32%,19.00%,39.35%,-6.19%,7.55%,21.82%,0.12%,20.25%,25.18%,32.54%,53.70%,52.77%,58.09%,49.70%,13.87%,24.72%,37.30%,17.03%,68.50%,46.16%,38.01%,61.80%,69.25%,41.28%,57.45%,68.07%,36.47%,18.04%,-23.90%,-32.30%,-26.37%,9.51%,12.38%,19.51%,20.28%,-
Enterprise Value,"5,559","5,466","5,824","5,594","8,063","7,265","7,106","8,208","8,453","8,618","9,044","8,698","10,179","10,642","11,806","12,586","14,673","15,933","16,936","14,650","18,869","22,193","20,304","23,599","26,771","30,042","32,056","39,234","36,890","46,075","53,179","53,404","44,491","37,237","37,738","40,844","48,314","41,418","44,281","48,904","49,149"
PE Ratio,20.56,18.41,19.09,18.71,31.51,35.32,31.26,33.12,30.47,29.64,31.52,28.43,32.18,32.38,34.22,37.49,38.84,38.59,37.49,25.55,29.37,34.87,31.10,38.80,45.93,53.36,52.50,61.51,53.22,62.70,72.86,69.58,53.95,41.65,39.97,42.72,50.81,40.97,42.26,38.95,39.52
PS Ratio,5.37,5.58,5.58,5.33,7.65,6.68,6.19,6.89,6.71,6.70,7.03,6.44,7.50,7.77,8.54,8.95,10.15,10.74,11.20,9.05,11.53,13.69,12.19,14.04,15.29,17.15,17.99,21.83,19.70,23.81,25.89,24.72,19.23,15.35,15.28,16.54,19.62,15.99,16.80,17.69,17.79
PB Ratio,3.21,3.21,3.92,3.71,5.36,4.83,5.83,8.22,11.89,13.91,14.40,23.35,31.56,30.33,29.22,28.42,31.91,42.51,41.64,-77.95,-52.97,-87.23,-124.74,-285.08,-69.16,-89.75,-77.19,-83.51,-71.89,-119.46,-179.10,-309.02,-46.48,-32.57,-31.52,-36.90,-49.65,-31.48,-38.68,-60.48,-60.48
P/FCF Ratio,22.14,26.54,23.44,20.86,26.00,27.12,22.52,27.21,30.09,22.13,22.73,18.55,22.24,22.96,29.15,32.07,32.74,29.72,29.40,23.02,29.90,37.59,31.74,33.35,36.15,37.11,38.94,48.70,40.11,53.18,59.76,57.19,45.06,37.71,34.28,36.38,43.19,33.91,37.82,39.07,39.28
P/OCF Ratio,18.22,20.70,18.46,17.39,22.47,22.89,19.84,23.05,25.11,19.30,19.85,16.76,19.89,20.86,26.33,28.20,29.50,27.24,27.04,21.18,27.40,34.02,28.86,30.82,33.37,34.56,36.44,45.64,37.89,50.14,56.20,53.96,42.36,35.10,32.05,33.96,40.13,31.46,34.91,36.19,36.39
Debt / Equity Ratio,0.51,0.48,0.57,0.55,0.55,0.56,1.41,1.75,2.57,2.95,3.76,6.53,7.44,6.76,5.77,5.18,4.93,7.43,6.80,-15.47,-8.67,-11.84,-18.54,-42.18,-9.40,-11.33,-9.10,-7.94,-8.34,-11.17,-15.39,-26.38,-4.89,-4.52,-4.32,-4.61,-5.15,-3.88,-4.41,-6.26,-6.26
Quick Ratio,0.83,1.89,1.28,1.45,1.60,1.46,2.45,1.98,1.51,1.28,2.34,1.89,1.93,1.88,1.97,2.00,2.00,2.57,2.63,1.70,1.48,1.58,1.73,2.23,1.94,2.19,2.08,1.82,1.58,2.59,1.75,1.67,1.10,1.28,1.30,1.32,1.42,1.15,1.27,0.86,0.86
