,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,1996-04-18,1996-07-22,1996-10-21,1997-01-17,1997-04-17,1997-07-17,1997-10-20,1998-01-21,1998-04-22,1998-07-16,1998-10-20,1999-01-19,1999-04-20,1999-07-19,1999-10-19,2000-01-18,2000-04-20,2000-07-18,2000-10-18,2001-01-18,2001-04-19,2001-07-19,2001-10-18,2002-01-17,2002-04-18,2002-07-18,2002-10-17,2003-01-16,2003-04-15,2003-07-17,2003-10-23,2004-01-22,2004-04-22,2004-07-22,2004-10-21,2005-01-27,2005-04-28,2005-07-21,2005-10-27,2006-01-26,2006-04-27,2006-07-20,2006-10-26,2007-01-25,2007-04-26,2007-07-19,2007-10-25,2008-01-24,2008-04-24,2008-07-17,2008-10-23,2009-01-22,2009-04-23,2009-07-23,2009-10-23,2010-01-28,2010-04-22,2010-07-22,2010-10-28,2011-01-27,2011-04-28,2011-07-21,2011-10-20,2012-01-19,2012-04-19,2012-07-19,2012-10-18,2013-01-24,2013-04-18,2013-07-18,2013-10-24,2014-01-23,2014-04-24,2014-07-22,2014-10-23,2015-01-26,2015-04-23,2015-07-21,2015-10-22,2016-01-28,2016-04-21,2016-07-19,2016-10-20,2017-01-26,2017-04-27,2017-07-20,2017-10-26,2018-01-31,2018-04-26,2018-07-19,2018-10-24,2019-01-30,2019-04-24,2019-07-18,2019-10-23,2020-01-29,2020-04-29,2020-07-22,2020-10-27,2021-01-26,2021-04-27,2021-07-27,2021-10-26,2022-01-25,2022-04-26,2022-07-26,2022-10-25,2023-01-24,2023-04-25,2023-07-25,2023-10-24
reportedEPS,0.06,0.05,0.06,0.07,0.1,0.1,0.09,0.11,0.13,0.13,0.14,0.18,0.19,0.2,0.19,0.24,0.22,0.22,0.23,0.24,0.22,0.22,0.22,0.25,0.25,0.21,0.28,0.27,0.27,0.23,0.3,0.34,0.34,0.28,0.31,0.35,0.32,0.32,0.31,0.33,0.32,0.31,0.35,0.26,0.49,0.39,0.45,0.5,0.47,0.46,0.48,0.47,0.39,0.36,0.4,0.74,0.45,0.51,0.62,0.77,0.61,0.69,0.68,0.78,0.6,0.67,0.53,0.76,0.72,0.66,0.62,0.78,0.68,0.55,0.54,0.75,0.61,0.6,0.67,0.78,0.62,0.69,0.76,0.84,0.73,0.98,0.84,0.96,0.95,1.13,1.14,1.1,1.14,1.37,1.38,1.51,1.4,1.46,1.82,2.03,1.95,2.17,2.27,2.48,2.22,2.23,2.35,2.32,2.45,2.69,2.99
estimatedEPS,0.05,0.05,0.06,0.06,0.08,0.1,0.09,0.1,0.12,0.12,0.12,0.15,0.16,0.18,0.17,0.21,0.2,0.21,0.21,0.23,0.21,0.21,0.2,0.21,0.25,0.21,0.21,0.23,0.24,0.24,0.29,0.3,0.29,0.29,0.3,0.33,0.32,0.31,0.3,0.33,0.33,0.3,0.31,0.23,0.46,0.39,0.39,0.46,0.44,0.47,0.47,0.49,0.39,0.36,0.32,0.59,0.42,0.46,0.55,0.68,0.56,0.58,0.68,0.76,0.57,0.62,0.56,0.75,0.68,0.75,0.54,0.68,0.63,0.6,0.49,0.71,0.51,0.56,0.59,0.71,0.64,0.58,0.68,0.79,0.7,0.71,0.72,0.86,0.85,1.08,0.96,1.09,1,1.21,1.25,1.32,1.26,1.34,1.54,1.64,1.78,1.92,2.07,2.31,2.19,2.29,2.3,2.29,2.23,2.55,2.65
surprise,0.01,0,0,0.01,0.02,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0,0,0.07,0.04,0.03,-0.01,0.01,0.04,0.05,-0.01,0.01,0.02,0,0.01,0.01,0,-0.01,0.01,0.04,0.03,0.03,0,0.06,0.04,0.03,-0.01,0.01,-0.02,0,0,0.08,0.15,0.03,0.05,0.07,0.09,0.05,0.11,0,0.02,0.03,0.05,-0.03,0.01,0.04,-0.09,0.08,0.1,0.05,-0.05,0.05,0.04,0.1,0.04,0.08,0.07,-0.02,0.11,0.08,0.05,0.03,0.27,0.12,0.1,0.1,0.05,0.18,0.01,0.14,0.16,0.13,0.19,0.14,0.12,0.28,0.39,0.17,0.25,0.2,0.17,0.03,-0.06,0.05,0.03,0.22,0.14,0.34
surprisePercentage,20,0,0,16.6667,25,0,0,10,8.3333,8.3333,16.6667,20,18.75,11.1111,11.7647,14.2857,10,4.7619,9.5238,4.3478,4.7619,4.7619,10,19.0476,0,0,33.3333,17.3913,12.5,-4.1667,3.4483,13.3333,17.2414,-3.4483,3.3333,6.0606,0,3.2258,3.3333,0,-3.0303,3.3333,12.9032,13.0435,6.5217,0,15.3846,8.6957,6.8182,-2.1277,2.1277,-4.0816,0,0,25,25.4237,7.1429,10.8696,12.7273,13.2353,8.9286,18.9655,0,2.6316,5.2632,8.0645,-5.3571,1.3333,5.8824,-12,14.8148,14.7059,7.9365,-8.3333,10.2041,5.6338,19.6078,7.1429,13.5593,9.8592,-3.125,18.9655,11.7647,6.3291,4.2857,38.0282,16.6667,11.6279,11.7647,4.6296,18.75,0.9174,14,13.2231,10.4,14.3939,11.1111,8.9552,18.1818,23.7805,9.5506,13.0208,9.6618,7.3593,1.3699,-2.6201,2.1739,1.31,9.8655,5.4902,12.8302
startPeriod,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31,1996-12-31
endPeriod,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,,7.87,8.66,10.77,12.94,16.87,18.84,18.33,22.73,26.92,29.91,36.0,46.75,47.81,50.38,59.97,59.31,54.12,41.44,36.19,32.53,38.08,36.58,34.94,35.31,30.2,27.47,29.48,28.66,26.51,30.0,29.46,28.83,28.75,29.89,30.2,27.1,26.09,27.94,28.25,28.38,27.94,27.52,30.26,31.48,31.16,31.84,37.5,35.99,32.1,28.5,27.47,21.0,24.34,26.25,31.5,31.24,31.58,26.41,28.87,29.46,26.87,28.15,27.5,32.95,32.89,31.61,30.25,28.66,35.78,36.43,38.98,40.99,42.29,47.57,50.05,47.91,49.54,48.41,56.85,56.19,56.77,58.7,64.1,65.98,72.89,75.97,87.5,97.24,102.69,115.29,116.18,120.82,138.4,142.37,159.55,190.7,203.95,232.86,228.12,246.13,271.65,305.84,349.67,339.36,315.14,294.18,263.92,284.46,351.47,366.78
stockLow,,6.23,6.72,8.18,10.09,11.22,15.41,14.75,15.55,20.47,23.62,21.94,34.0,37.75,40.81,42.19,44.06,30.19,29.31,20.16,21.44,25.53,23.75,25.2,28.58,24.17,20.7,21.56,22.55,23.6,25.39,24.84,24.01,24.85,26.74,26.1,23.82,23.94,24.5,24.25,26.1,21.46,22.23,27.15,26.6,27.56,27.51,29.29,26.87,27.11,23.5,17.5,14.87,17.78,22.0,24.43,27.57,23.11,22.73,23.78,24.68,23.65,23.79,24.26,26.39,28.32,28.54,26.26,26.28,28.11,30.84,32.7,34.63,38.51,41.05,42.1,40.23,40.12,39.72,43.66,48.19,48.04,50.39,56.32,61.95,64.85,68.02,73.71,83.83,87.51,98.0,93.96,97.2,118.1,130.78,133.22,132.52,150.36,196.25,199.62,211.94,232.39,269.6,280.25,270.0,241.51,234.41,213.43,219.35,275.37,309.45
