,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"88,425","85,709","89,193","90,249","95,438","96,526","99,355","102,640","105,552","113,240","136,932","122,781","126,018","132,981","138,471","142,780","132,270","133,768","135,880","127,662","131,618","133,819","136,636","134,253","137,626","136,527","137,977","131,968","125,407","130,334","130,615","125,369","104,693","104,757","107,262","99,508","104,427","111,262","143,951","81,017"
Cash & Cash Equivalents,"88,425","85,709","89,193","90,249","95,438","96,526","99,355","102,640","105,552","113,240","136,932","122,781","126,018","132,981","138,471","142,780","132,270","133,768","135,880","127,662","131,618","133,819","136,636","134,253","137,626","136,527","137,977","131,968","125,407","130,334","130,615","125,369","104,693","104,757","107,262","99,508","104,427","111,262","143,951","81,017"
Cash Growth,18.72%,11.28%,10.56%,7.51%,7.93%,12.62%,11.39%,13.73%,10.60%,17.32%,37.82%,19.62%,19.39%,17.43%,1.12%,16.29%,4.96%,0.59%,-1.87%,-10.59%,-0.49%,0.04%,0.56%,5.16%,4.56%,2.02%,0.98%,-1.70%,-8.88%,-4.54%,-5.34%,-5.00%,-16.52%,-19.62%,-17.88%,-20.63%,-0.25%,6.21%,34.21%,-18.58%
Receivables,"13,497","19,544","12,887","16,186","12,427","17,908","11,444","14,507","12,247","18,277","11,129","14,343","12,882","22,431","14,561","18,428","17,208","26,481","17,390","19,680","19,269","29,524","19,087","23,525","22,699","32,011","22,851","27,312","26,322","38,043","27,349","33,520","32,613","44,261","31,279","35,833","37,420","48,688","36,953","42,831"
Inventory,"1,920","2,660","3,141","2,053","2,469","2,902","3,816","2,702","2,450","2,251","3,122","1,961","1,979","2,181","3,211","2,003","2,084","2,662","3,614","1,961","1,951","2,063","2,622","1,823","1,644","1,895","2,705","1,924","2,245","2,636","3,411","3,019","3,296","3,742","4,268","2,980","2,877","2,500","3,000","1,615"
Other Current Assets,"5,164","6,333","7,218","7,874","8,064","5,461","7,041","7,963","8,172","5,892","6,726","5,864","5,434","5,103","4,788","4,422","5,097","6,751","7,311","7,571","7,049","10,146","7,551","7,473","8,536","11,482","13,544","12,769","11,640","13,393","12,951","12,280","13,320","16,924","18,003","19,502","19,165","21,807","23,682","21,930"
Total Current Assets,"109,006","114,246","112,439","116,362","118,398","122,797","121,656","127,812","128,421","139,660","157,909","144,949","146,313","162,696","161,031","167,633","156,659","169,662","164,195","156,874","159,887","175,552","165,896","167,074","170,505","181,915","177,077","173,973","165,614","184,406","174,326","174,188","153,922","169,684","160,812","157,823","163,889","184,257","207,586","147,393"
"Property, Plant & Equipment","11,771","13,011","13,229","13,607","14,375","14,731","15,046","15,789","16,831","18,356","19,224","21,379","21,962","30,289","31,653","33,053","34,788","36,146","38,164","39,523","40,769","43,856","46,299","48,961","49,669","52,904","56,974","62,035","65,618","70,803","75,347","79,568","83,214","87,546","90,384","96,379","102,011","109,987","117,937","128,706"
Long-Term Investments,"14,792","14,597","13,943","12,665","12,019","12,053","11,438","11,514","11,315","10,431","10,486","8,912","7,381","6,023","5,343","3,961","2,818","1,862","2,034","2,274","2,403","2,649","2,684","2,755","2,660","2,965","3,103","3,794","5,395","5,984","6,393","6,994","6,907","6,891","6,839","7,097","9,415","9,879","11,423","13,367"
Goodwill and Intangibles,"17,652","27,108","26,774","29,154","28,691","21,774","21,887","22,055","22,407","21,605","21,429","45,525","45,215","45,228","44,987","44,389","44,126","43,736","43,434","50,059","49,964","49,776","49,621","49,374","48,919","50,389","50,813","50,774","57,825","57,511","58,249","58,383","78,719","78,822","78,267","78,259","77,819","77,252","76,685","148,827"
