,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"16,148","12,086","13,757","14,635","18,812","27,609","28,829","45,889","43,090","51,963","53,191"
Market Cap Growth,-7.53%,-25.16%,13.83%,6.38%,28.54%,46.76%,4.42%,59.18%,-6.10%,20.59%,-
Enterprise Value,"15,594","14,455","17,123","17,838","22,875","32,234","33,152","50,021","48,198","56,683","57,911"
PE Ratio,12.43,19.81,24.57,-94.42,19.47,31.81,30.38,36.86,31.61,30.41,32.27
PS Ratio,2.75,2.12,2.28,2.29,2.56,3.50,3.89,5.62,4.73,5.21,5.33
PB Ratio,5.90,-114.02,-14.27,-8.40,-14.55,-39.44,-51.66,-1147.24,371.47,71.77,73.47
P/FCF Ratio,-23.40,14.24,14.23,13.08,21.43,17.45,19.85,28.68,27.50,29.01,29.70
P/OCF Ratio,-29.79,11.84,11.81,10.87,17.50,15.14,17.87,24.98,23.64,25.42,26.02
EV/Sales Ratio,2.65,2.54,2.84,2.80,3.12,4.09,4.47,6.12,5.29,5.68,5.80
EV/EBITDA Ratio,13.76,11.98,12.76,11.04,13.61,20.00,18.43,22.81,22.14,20.89,21.35
EV/EBIT Ratio,16.24,13.68,16.35,14.01,17.32,26.46,23.85,28.50,27.75,24.05,24.57
EV/FCF Ratio,-22.60,17.03,17.71,15.94,26.05,20.38,22.83,31.26,30.76,31.65,32.33
Debt / Equity Ratio,1.24,-41.03,-4.56,-2.57,-4.11,-8.04,-9.99,-150.15,55.46,8.87,8.87
Debt / EBITDA Ratio,3.00,3.60,3.28,2.77,3.16,3.49,3.10,2.74,2.95,2.37,2.37
Debt / FCF Ratio,-4.93,5.12,4.55,4.00,6.06,3.56,3.84,3.75,4.11,3.59,3.59
Quick Ratio,2.38,1.52,0.91,0.95,0.82,0.70,0.76,0.80,0.62,0.60,0.60
Current Ratio,3.06,2.11,1.30,1.35,1.38,1.22,1.24,1.33,1.15,1.00,1.00
Asset Turnover,0.51,0.65,0.70,0.77,0.81,0.77,0.70,0.72,0.76,0.79,0.79
Interest Coverage,7.62,6.11,5.11,6.33,5.95,5.54,6.32,8.44,7.69,10.91,10.91
Return on Equity (ROE),37.60%,70.00%,-91.10%,13.40%,-67.00%,-89.50%,-122.80%,-430.40%,-518.70%,412.60%,412.60%
Return on Assets (ROA),11.30%,7.00%,6.50%,-1.90%,10.60%,8.50%,9.00%,11.00%,11.40%,13.60%,13.60%
Return on Capital (ROIC),-25.54%,16.17%,20.31%,-6.80%,27.39%,27.91%,22.35%,22.49%,22.88%,25.61%,25.61%
Earnings Yield,8.04%,5.05%,4.07%,-1.06%,5.13%,3.14%,3.29%,2.71%,3.16%,3.29%,3.21%
FCF Yield,-4.27%,7.02%,7.03%,7.65%,4.67%,5.73%,5.04%,3.49%,3.64%,3.45%,3.37%
Dividend Yield,1.90%,2.10%,2.10%,2.10%,1.90%,1.50%,1.50%,1.10%,1.30%,1.20%,1.22%
Payout Ratio,24.60%,46.70%,51.50%,-203.20%,35.80%,45.10%,47.10%,39.70%,39.90%,35.40%,39.48%
Buyback Yield / Dilution,9.21%,17.83%,14.22%,5.89%,-5.59%,-2.09%,0.85%,0.29%,0.98%,-0.12%,-0.12%
Total Shareholder Return,11.11%,19.93%,16.32%,7.99%,-3.69%,-0.59%,2.35%,1.39%,2.28%,1.08%,1.11%
