,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,58.05,74.02,85,121.17,63.05,77.56,88.86,123.35,65.67,79.59,101.33,137.78,92.47,101.58,104.95,76.98,93.3,111.47,126.65,181.19,111.81,127.16,129.4,192.75,98.12,126.56,161.77,216.3,149.66,184.76,203.69,230.87,174,212.07,220.6,265.83,188.43,213.93,201.63,184.79
Depreciation & Amortization,15.51,15.74,15.79,15.76,15.83,15.99,16.09,16.13,16.55,16.65,17.5,18.1,18.01,18.2,19.22,20.7,20.89,21.42,21.14,21.24,21.99,21.95,22.29,22.46,24.13,24.08,24.74,25.75,24.83,27.54,27.22,28.48,28.48,27.81,28.4,28.33,29.8,30.24,30.5,30.62
Share-Based Compensation,-1.29,-1.77,2.39,10.73,3.06,2.65,3.23,5.29,3.66,3.59,3.61,4.45,3.82,3.97,4.03,4.76,4.35,3.88,4.27,5.07,4.48,4.34,4.46,5,4.4,4.42,4.43,5.44,4.58,4.58,4.74,5.7,4.51,4.69,4.73,5.73,4.03,4.2,4.23,5.48
Other Operating Activities,-29.43,20.15,24.08,-6.99,-23.34,8.99,17.87,5.2,-44.37,21.04,22.49,-6.88,-46.7,14.03,17.66,62.66,-41.99,3.43,-2.39,-8.93,-39.48,-26.38,19.73,-18.5,-61.13,28.17,34.14,3.38,-20.19,28.66,27.66,-23.94,-116.16,-25.42,-8.3,3.75,-68.99,18.45,27.93,60.61
Operating Cash Flow,42.85,108.13,127.26,140.67,58.6,105.19,126.04,149.97,41.51,120.87,144.94,153.45,67.6,137.78,145.86,165.09,76.56,140.2,149.67,198.57,98.8,127.07,175.88,201.71,65.52,183.24,225.08,250.87,158.88,245.54,263.31,241.11,90.84,219.16,245.43,303.64,153.26,266.81,264.3,281.51
Operating Cash Flow Growth,80.99%,18.88%,3.65%,29.64%,36.76%,-2.72%,-0.96%,6.61%,-29.17%,14.91%,14.99%,2.32%,62.87%,13.99%,0.64%,7.59%,13.26%,1.75%,2.62%,20.28%,29.04%,-9.36%,17.51%,1.58%,-33.69%,44.20%,27.98%,24.37%,142.50%,34.00%,16.98%,-3.89%,-42.83%,-10.74%,-6.79%,25.94%,68.72%,21.74%,7.69%,-7.29%
Capital Expenditures,-16.53,-20.3,-24.15,-27.69,-18.5,-17.3,-20.68,-25.08,-14.21,-14.43,-22.23,-72.66,-11.01,-27.31,-37.07,-40.06,-25.27,-31.79,-31.8,-45.68,-22.33,-21.15,-26.9,-25.54,-18.84,-16.23,-19.32,-35.01,-24.61,-19.51,-22.28,-37.53,-19.15,-43.12,-26.7,-31.87,-23.2,-28.34,-20.7,-32.25
Acquisitions,-0.39,-2.86,-0.13,-2.4,-0.2,-0.1,-10.67,-2.81,-4.33,0,-105.35,-1.7,0,-0.7,-107.75,0,-0.5,0,-4.46,-0.57,0,-0.5,-1.5,0,-5.61,-0.63,0,0,-185.07,-0.46,-7.85,-27.48,-9.7,-1.06,-14.82,-12.36,-0.61,0,0,-5.2
Change in Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,0,0,0,6.09
Other Investing Activities,-0.24,0.15,0.26,-0.06,-8.38,-4.43,7.25,0.15,2.13,-1.05,0.96,1.43,0.31,-1.35,4.75,2.84,3.3,3.74,-7.82,1.9,4.8,-6.03,-2.87,2.94,-10.01,0.73,-0.14,4.69,18.23,-14.62,4.96,2.12,21.74,10.64,-7.18,-35.48,1.42,-14.57,-10.19,-4.15
