,2014-02-27,2014-05-29,2014-08-28,2014-12-04,2015-03-05,2015-06-04,2015-09-03,2015-12-03,2016-03-03,2016-06-02,2016-09-01,2016-12-01,2017-03-02,2017-06-01,2017-08-31,2017-11-30,2018-03-01,2018-05-31,2018-08-30,2018-11-29,2019-02-28,2019-05-30,2019-08-29,2019-11-28,2020-02-27,2020-05-28,2020-09-03,2020-12-03,2021-03-04,2021-06-03,2021-09-02,2021-12-02,2022-03-03,2022-06-02,2022-09-01,2022-12-01,2023-03-02,2023-06-01,2023-08-31,2023-11-30
Revenue,"4,107","3,982","4,227","4,573","4,166","3,853","3,600","3,350","2,934","2,898","3,217","3,970","4,648","5,566","6,138","6,803","7,351","7,797","8,440","7,913","5,835","4,788","4,870","5,144","4,797","5,438","6,056","5,773","6,236","7,422","8,274","7,687","7,786","8,642","6,643","4,085","3,693","3,752","4,010","4,726"
Revenue Growth (YoY),97.64%,71.79%,48.68%,13.14%,1.44%,-3.24%,-14.83%,-26.74%,-29.57%,-24.79%,-10.64%,18.51%,58.42%,92.06%,90.80%,71.36%,58.15%,40.08%,37.50%,16.32%,-20.62%,-38.59%,-42.30%,-34.99%,-17.79%,13.58%,24.35%,12.23%,30.00%,36.48%,36.62%,33.15%,24.86%,16.44%,-19.71%,-46.86%,-52.57%,-56.58%,-39.64%,15.69%
Cost of Revenue,"2,704","2,614","2,842","2,935","2,761","2,651","2,630","2,501","2,355","2,400","2,638","2,959","2,944","2,957","3,026","3,056","3,081","3,074","3,289","3,298","2,971","2,960","3,475","3,778","3,442","3,675","3,988","4,037","4,587","4,296","4,362","4,122","4,110","4,607","4,021","3,192","4,899","4,420","4,445","4,761"
Gross Profit,"1,403","1,368","1,385","1,638","1,405","1,202",970,849,579,498,579,"1,011","1,704","2,609","3,112","3,747","4,270","4,723","5,151","4,615","2,864","1,828","1,395","1,366","1,355","1,763","2,068","1,736","1,649","3,126","3,912","3,565","3,676","4,035","2,622",893,"-1,206",-668,-435,-35
"Selling, General & Admin",177,174,180,193,187,169,170,179,175,148,157,159,187,204,193,191,196,211,215,209,209,206,212,211,223,216,231,214,214,230,236,259,263,264,280,251,231,219,219,263
Research & Development,344,349,358,376,379,406,379,421,403,382,411,470,473,434,447,448,523,603,567,611,601,606,623,640,681,649,630,647,641,670,705,712,792,773,839,849,788,758,719,845
Other Operating Expenses,13,6,19,-16,-16,-4,-6,17,6,-5,43,23,0,8,-30,11,-16,-44,-8,36,97,6,-90,-3,11,10,50,9,131,427,16,-37,75,-6,-18,2,78,116,99,-15
Operating Expenses,534,529,557,553,550,571,543,617,584,525,611,652,660,646,610,650,703,770,774,856,907,818,745,848,915,875,911,870,986,"1,327",957,934,"1,130","1,031","1,101","1,102","1,097","1,093","1,037","1,093"
Operating Income,869,839,828,"1,085",855,631,427,232,-5,-27,-32,359,"1,044","1,963","2,502","3,097","3,567","3,953","4,377","3,759","1,957","1,010",650,518,440,888,"1,157",866,663,"1,799","2,955","2,631","2,546","3,004","1,521",-209,"-2,303","-1,761","-1,472","-1,128"
Interest Expense / Income,83,80,88,90,83,97,101,96,97,109,135,139,161,153,148,124,88,80,50,33,27,29,39,47,46,51,50,48,42,46,47,45,55,44,45,51,89,119,129,132
