,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,246.77,211.11,271.84,295.8,377.38,337.09,249.54,454.37,513.1,487.49
Depreciation & Amortization,59.75,65.19,70.3,90.85,108.41,110.24,113.3,103.88,99.92,111.9
Share-Based Compensation,11.02,11.6,18.21,20.17,21.55,18.09,12.86,22.76,30.75,22.71
Other Operating Activities,-29.39,-25.96,-25.72,-50.07,-2.69,-82.53,126.72,-35.08,-130.64,19.18
Operating Cash Flow,288.16,261.95,334.63,356.75,504.64,382.89,502.42,545.93,513.13,641.28
Operating Cash Flow Growth,7.37%,-9.09%,27.75%,6.61%,41.45%,-24.13%,31.22%,8.66%,-6.01%,24.97%
Capital Expenditures,-43.25,-61.49,-59.55,-67.55,-89.33,-62.96,-49.7,-38.14,-51.15,-34.48
Acquisitions,-186.42,-75.57,-42.65,-805.94,-50.59,-12.49,-142.41,0,-171.61,"-1,422.78"
Change in Investments,-0.85,-1.48,0,-4.47,0,0,0,0,0,0
Other Investing Activities,-,-,-,-,-,-0.84,-2,4.97,-,20.38
Investing Cash Flow,-230.53,-138.54,-102.2,-877.96,-139.92,-76.29,-194.11,-33.17,-222.76,"-1,436.88"
Dividends Paid,-48.39,-54.85,-56.44,-63.84,-72.44,-82.15,-88.35,-97.68,-125.91,-150.36
Share Issuance / Repurchase,-159.42,-378.48,-21.95,10.87,-5.2,-94.49,-1.76,-29.19,-250.75,-68.34
Debt Issued / Paid,147.97,318.69,-135.38,593.72,-276.05,-74.44,-161.42,-296.04,-39.35,969.2
Other Financing Activities,6.39,3.66,-,-,-,-,-,-,-,-
Financing Cash Flow,-53.46,-110.98,-213.76,540.75,-353.69,-251.07,-251.53,-422.91,-416.01,750.51
Exchange Rate Effect,-4.23,-4.48,-1.71,3.61,-5.74,-0.04,0.35,1.83,-10.88,-2.69
Net Cash Flow,-0.06,7.95,16.97,23.14,5.3,55.49,57.13,91.68,-136.52,-47.78
Free Cash Flow,244.9,200.46,275.08,289.2,415.31,319.93,452.73,507.79,461.98,606.8
Free Cash Flow Growth,8.84%,-18.15%,37.23%,5.13%,43.60%,-22.96%,41.51%,12.16%,-9.02%,31.35%
Free Cash Flow Margin,14.37%,11.87%,15.21%,13.99%,18.42%,14.58%,21.34%,21.50%,17.84%,23.08%
Free Cash Flow Per Share,3.85,3.31,4.82,5.03,7.16,5.57,7.84,8.74,8.02,10.63
