,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"1,270","1,340","1,409","1,485","1,573","1,645","1,738","1,823","1,958","2,105","2,290","2,478","2,637","2,785","2,985","3,286","3,701","3,907","3,999","4,187","4,521","4,923","5,245","5,467","5,768","6,148","6,436","6,644","7,163","7,342","7,483","7,709","7,868","7,970","7,926","7,852","8,162","8,187","8,542","8,833"
Revenue Growth (YoY),24.04%,25.35%,27.44%,26.34%,23.86%,22.70%,23.34%,22.81%,24.45%,28.00%,31.74%,35.88%,34.68%,32.31%,30.33%,32.62%,40.36%,40.27%,33.99%,27.42%,22.16%,26.00%,31.14%,30.59%,27.58%,24.89%,22.70%,21.53%,24.20%,19.41%,16.28%,16.03%,9.83%,8.56%,5.91%,1.85%,3.73%,2.72%,7.77%,12.49%
Cost of Revenue,869.19,914.85,954.39,"1,014","1,046","1,122","1,174","1,249","1,370","1,473","1,533","1,882","1,657","1,902","1,993","2,481","2,301","2,402","2,531","2,733","2,871","3,006","3,098","3,466","3,600","3,644","3,868","4,165","3,869","4,018","4,207","5,240","4,285","4,691","4,789","5,404","4,804","4,673","4,931","5,307"
Gross Profit,400.9,425.56,455.04,470.4,526.73,522.94,564.4,573.97,588.2,632.11,757.34,595.56,979.61,883.16,991.88,805.07,"1,400","1,505","1,468","1,453","1,650","1,917","2,147","2,001","2,168","2,505","2,568","2,479","3,295","3,324","3,277","2,470","3,583","3,279","3,137","2,448","3,358","3,514","3,611","3,525"
"Selling, General & Admin",193,180.78,223.68,279.47,286.17,293.05,318.99,333.22,335.24,354.44,435.21,288.3,465.56,488.27,528.02,385.48,671.39,743.53,678.96,905.89,818.53,827.81,786.97,"1,134",755.92,711.61,799.22,"1,038",809.71,938.82,957.74,"1,191",953.91,984.26,941.17,"1,224",956.29,"1,029","1,037","1,356"
Research & Development,110.31,115.18,120.95,125.88,143.11,155.06,171.76,180.86,203.51,207.3,216.1,153.33,257.11,267.08,255.24,174.28,282.31,299.1,308.62,331.79,372.76,383.23,379.78,409.38,453.82,435.05,453.8,486.94,525.21,537.32,563.89,647.47,657.53,716.85,662.74,673.93,687.28,657.98,657.16,673.34
Operating Expenses,303.31,295.96,344.63,405.35,429.27,448.11,490.76,514.07,538.74,561.74,651.31,441.63,722.67,755.35,783.25,559.76,953.7,"1,043",987.58,"1,238","1,191","1,211","1,167","1,543","1,210","1,147","1,253","1,525","1,335","1,476","1,522","1,838","1,611","1,701","1,604","1,898","1,644","1,687","1,694","2,029"
Operating Income,97.6,129.6,110.41,65.05,97.46,74.84,73.64,59.89,49.45,70.37,106.04,153.93,256.94,127.81,208.63,245.3,446.58,462.21,480.67,215.77,459.08,706.42,980.24,458.51,958.26,"1,358","1,315",954.24,"1,960","1,848","1,755",631.77,"1,972","1,578","1,533",549.9,"1,714","1,827","1,916","1,496"
Interest Expense / Income,10.05,13.33,13.49,13.35,26.74,35.22,35.33,35.43,35.54,35.46,35.54,43.59,46.74,55.48,60.69,75.29,81.22,101.61,108.86,128.81,135.53,152.03,160.66,177.8,184.08,189.15,197.08,197.19,194.44,191.32,190.43,189.43,187.58,175.46,172.58,170.6,174.24,174.81,175.56,175.21
Other Expense / Income,-1.4,-1.1,-0.62,6.18,32.29,-0.87,-3.93,3.73,-25.96,-16.32,-8.63,20.08,-13.59,58.36,31.7,38.68,65.74,-68.03,-7,-32.44,-76.1,53.47,-192.74,131.38,-21.7,133.18,256.32,250.64,-269.09,62.52,-96.14,-108.51,-195.65,-220.23,-261.4,339.97,71.2,-26.96,-168.22,172.75
Pretax Income,88.94,117.37,97.54,45.52,38.43,40.49,42.24,20.73,39.88,51.23,79.13,90.27,223.79,13.96,116.24,131.33,299.62,428.64,378.81,119.4,399.66,500.92,"1,012",149.33,795.87,"1,036",861.46,506.42,"2,035","1,594","1,661",550.85,"1,980","1,623","1,622",39.34,"1,469","1,679","1,909","1,148"
Income Tax,35.83,46.35,38.24,-37.86,14.73,14.16,12.81,-22.45,12.22,10.48,27.61,23.52,45.57,-51.64,-13.35,-54.19,9.49,44.29,-24.03,-14.54,55.61,230.27,347.08,-437.64,86.8,315.41,71.48,-35.74,327.79,240.78,211.89,-56.58,382.25,182.1,223.61,-15.95,163.75,191.72,231.63,210.31
Net Income,53.12,71.02,59.3,83.37,23.7,26.34,29.43,43.18,27.66,40.76,51.52,66.75,178.22,65.6,129.59,185.52,290.12,384.35,402.84,133.93,344.05,270.65,665.24,586.97,709.07,720.2,789.98,542.16,"1,707","1,353","1,449",607.43,"1,597","1,441","1,398",55.28,"1,305","1,488","1,677",937.84
Net Income Growth,1875.27%,140.98%,86.33%,72.18%,-55.39%,-62.92%,-50.36%,-48.21%,16.72%,54.76%,75.04%,54.59%,544.38%,60.96%,151.55%,177.94%,62.79%,485.90%,210.85%,-27.80%,18.59%,-29.58%,65.14%,338.25%,106.09%,166.10%,18.75%,-7.63%,140.70%,87.87%,83.43%,12.04%,-6.40%,6.50%,-3.51%,-90.90%,-18.30%,3.24%,19.97%,1596.40%
Shares Outstanding (Basic),419,420,421,422,424,425,427,428,428,428,429,430,431,431,432,433,434,435,436,436,437,438,438,439,439,441,442,442,443,443,443,443,444,445,445,445,445,444,442,436
