,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"10,301","13,392","6,217","7,145","8,645","9,209","10,399","8,791","10,843","11,136","11,585"
Market Cap Growth,33.61%,30.00%,-53.57%,14.93%,20.99%,6.52%,12.92%,-15.47%,23.34%,2.71%,-
Enterprise Value,"19,100","23,337","13,122","15,019","17,609","18,221","19,894","18,411","20,549","22,724","24,737"
PE Ratio,19.36,25.27,21.70,21.56,67.28,-140.39,31.71,-120.92,20.47,14.87,17.38
PS Ratio,2.23,2.54,1.34,1.59,1.77,1.80,2.00,1.88,2.21,1.90,2.00
PB Ratio,1.75,2.17,1.62,1.76,2.00,1.60,1.74,1.53,1.56,1.47,1.61
P/FCF Ratio,44.46,360.97,64.70,-10.63,-9.07,-7.21,-47.46,-13.44,-17.49,-14.03,-15.53
P/OCF Ratio,7.17,10.15,4.27,8.90,11.65,17.05,6.57,7.96,8.90,7.90,6.07
EV/Sales Ratio,4.13,4.43,2.82,3.34,3.61,3.56,3.82,3.93,4.19,3.88,4.27
EV/EBITDA Ratio,12.85,14.93,9.85,10.65,12.89,25.23,12.41,17.34,11.47,10.56,11.31
EV/EBIT Ratio,18.80,21.68,16.24,17.40,22.12,148.50,22.47,54.80,19.69,17.08,18.74
EV/FCF Ratio,82.44,629.03,136.54,-22.35,-18.47,-14.26,-90.80,-28.15,-33.14,-28.63,-35.56
Debt / Equity Ratio,1.50,1.62,1.81,1.94,2.08,1.59,1.61,1.69,1.41,1.54,1.84
Debt / EBITDA Ratio,5.94,6.39,5.22,5.61,6.59,12.64,6.02,9.18,5.47,5.42,6.06
Debt / FCF Ratio,38.13,269.41,72.32,-11.77,-9.44,-7.15,-44.01,-14.90,-15.81,-14.69,-20.19
Quick Ratio,0.35,0.25,0.27,0.26,0.31,0.31,0.28,0.42,0.37,0.27,0.16
Current Ratio,0.68,0.55,0.59,0.51,0.56,0.51,0.50,0.73,0.70,0.56,0.41
Asset Turnover,0.21,0.22,0.22,0.25,0.25,0.25,0.24,0.21,0.21,0.23,0.21
Interest Coverage,2.71,2.84,2.13,2.47,2.25,0.35,2.34,0.91,3.06,3.68,2.93
Return on Equity (ROE),9.30%,8.80%,5.50%,8.50%,3.00%,-1.30%,5.60%,-1.30%,8.20%,10.30%,9.00%
Return on Assets (ROA),2.40%,2.20%,1.30%,1.80%,0.70%,-0.30%,1.50%,-0.30%,2.30%,3.00%,2.50%
Return on Capital (ROIC),3.94%,3.71%,4.96%,4.67%,2.01%,0.84%,4.31%,3.55%,5.00%,5.46%,5.26%
Earnings Yield,5.17%,3.96%,4.61%,4.64%,1.49%,-0.71%,3.15%,-0.83%,4.89%,6.73%,5.76%
FCF Yield,2.25%,0.28%,1.55%,-9.40%,-11.03%,-13.88%,-2.11%,-7.44%,-5.72%,-7.13%,-5.67%
Dividend Yield,3.00%,2.40%,4.30%,2.90%,2.70%,3.10%,2.90%,3.70%,3.20%,3.40%,4.09%
Payout Ratio,57.60%,60.70%,92.20%,62.10%,179.50%,-433.30%,90.90%,-442.10%,65.20%,51.10%,71.14%
Buyback Yield / Dilution,-4.39%,-0.96%,-1.01%,-1.16%,-2.26%,-7.77%,-5.47%,-2.21%,-8.59%,-6.09%,-1.11%
Total Shareholder Return,-1.39%,1.44%,3.29%,1.74%,0.44%,-4.67%,-2.57%,1.49%,-5.39%,-2.69%,2.99%
