,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,564.9,"2,321","1,335",838.2,"1,393","1,852",884.6,817.2,"1,098","1,437",897.6,861.3,"1,297","1,599",990.7,917,"1,368","1,751","1,007",895,"1,462","1,870","1,010",931.5,"1,397","1,606",962.7,902.5,"1,211","1,546",986,959.4,"1,409","1,873","1,183","1,090","1,705","1,966","1,090","1,027"
Revenue Growth (YoY),-59.46%,30.20%,11.12%,-22.16%,146.65%,-20.18%,-33.74%,-2.51%,-21.21%,-22.44%,1.47%,5.40%,18.15%,11.28%,10.37%,6.47%,5.50%,9.52%,1.65%,-2.40%,6.83%,6.80%,0.34%,4.08%,-4.41%,-14.14%,-4.72%,-3.11%,-13.33%,-3.73%,2.42%,6.30%,16.32%,21.20%,20.00%,13.56%,21.01%,4.95%,-7.88%,-5.70%
Cost of Revenue,694.7,"1,061",371.7,262.4,603.3,848.2,250,209.1,336.4,496.5,234.9,218.2,440.6,552.3,276.8,233.6,456,724.4,313.3,222,501.6,680.3,253.5,196.7,404.3,462.4,188.4,143.1,315.4,476.8,228.3,208.3,478.9,706.7,383.7,330.8,689.3,765.1,251.9,181.3
Gross Profit,-129.8,"1,259",963.4,575.8,790,"1,004",634.6,608.1,761.4,940.1,662.7,643.1,856.4,"1,046",713.9,683.4,912.3,"1,026",693.7,673,960.1,"1,190",756.9,734.8,992.9,"1,143",774.3,759.4,895.6,"1,069",757.7,751.1,929.7,"1,167",799.5,758.7,"1,015","1,201",838.1,846.1
"Selling, General & Admin",-121.2,501.2,533.1,327.4,376.8,409.1,356.7,311.1,349.2,354.7,337.6,336.6,416.9,411.6,391.6,371.7,426.8,402.5,365.2,780.8,804.4,552.4,49.2,393.9,359.2,444.6,353.1,379.9,408.3,361.5,362.8,351.1,380.6,394.3,381.9,347.9,365.3,391.2,369.5,341.2
Other Operating Expenses,67,234.1,221.8,177.3,186.3,208.6,193.5,187.3,192.7,204,186.9,192.8,206.7,219.3,198.3,200.5,214.9,223.3,210.1,208.1,234.1,262.9,244.2,249.9,671.7,550.3,329.5,286.7,269.2,274.1,252.7,252.9,264.7,172,274.3,254.1,284.5,278.7,299.7,271.9
Operating Expenses,-54.2,735.3,754.9,504.7,563.1,617.7,550.2,498.4,541.9,558.7,524.5,529.4,623.6,630.9,589.9,572.2,641.7,625.8,575.3,988.9,"1,039",815.3,293.4,643.8,"1,031",994.9,682.6,666.6,677.5,635.6,615.5,604,645.3,566.3,656.2,602,649.8,669.9,669.2,613.1
Operating Income,-75.6,523.9,208.5,71.1,226.9,386.3,84.4,109.7,219.5,381.4,138.2,113.7,232.8,415.4,124,111.2,270.6,400.6,118.4,-315.9,-78.4,374.2,463.5,91,-38,148.2,91.7,92.8,218.1,433.2,142.2,147.1,284.4,600.3,143.3,156.7,365.5,531,168.9,233
Interest Expense / Income,71,109.1,109.1,94.7,92.1,92.8,98.2,94.9,94.3,90.5,86,85,88,85.2,87.7,87.9,92.4,93.1,88.7,83.4,88.1,95.6,94.1,95.9,93.3,92.9,97,95.2,85.6,84.6,84.5,84.4,87.6,83.7,84.5,91.6,101.8,108.9,110.5,129.2
Other Expense / Income,-227.8,-14.1,-18.3,-54.3,-74.7,-79.4,58.2,13.9,-0.8,-0.7,6.2,-7,4.5,-2.3,107.3,6.8,13.2,-31.3,-0.3,34.7,-1.1,0.7,0.3,-1.3,5.5,-5.4,-6.5,235.4,-8.7,-9.5,-15.8,-15.3,3.7,-6.4,-20.2,-12.4,-25.5,3.3,-14.5,14.9
