,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Cash & Equivalents,"1,864","2,220","2,303","2,273","3,015","3,852","3,246","3,851","3,044","3,138","2,659","4,339","4,021","3,808","3,413","4,304","3,662","4,249","3,282","3,423","3,695","4,466","3,446","3,070","2,863","8,348","8,148","8,635","8,516","9,889","10,720","10,751","8,704","8,574","7,226","6,490","6,955","7,441","6,178","7,919"
Short-Term Investments,"3,165","2,922","2,276","2,440","2,346","2,072","2,162","2,265","2,062","2,319","2,128","1,604","2,139","2,371","2,106","2,085","1,089",996,987,618,351,197,198,432,319,439,"1,332","3,177","4,012","3,587","2,975","4,352","4,763","4,423","4,650","4,131","3,847","3,234","2,612","2,008"
Cash & Cash Equivalents,"5,029","5,142","4,579","4,713","5,361","5,924","5,408","6,116","5,106","5,457","4,787","5,943","6,160","6,179","5,519","6,389","4,751","5,245","4,269","4,041","4,046","4,663","3,644","3,502","3,182","8,787","9,480","11,812","12,528","13,476","13,695","15,103","13,467","12,997","11,876","10,621","10,802","10,675","8,790","9,927"
Cash Growth,24.42%,-13.80%,-17.91%,-9.14%,6.60%,15.21%,18.10%,29.77%,-4.76%,-7.88%,-11.48%,-2.83%,20.64%,13.23%,15.29%,7.50%,-22.87%,-15.12%,-22.65%,-36.75%,-14.84%,-11.10%,-14.64%,-13.34%,-21.35%,88.44%,160.15%,237.29%,293.71%,53.36%,44.46%,27.86%,7.50%,-3.55%,-13.28%,-29.68%,-19.79%,-17.87%,-25.99%,-6.53%
Receivables,"3,355","3,434","3,587","3,457","3,294","3,358","3,288","3,437","3,368","3,241","3,526","3,478","3,752","3,677","3,871","3,613","3,792","3,498","4,330","4,346","4,549","4,272","4,656","4,792","4,473","2,749","3,813","3,713","3,669","4,463","4,341","3,746","3,827","4,667","4,960","5,437","4,513","4,131","4,749","4,782"
Inventory,"3,825","3,947","4,030","4,150","4,246","4,337","4,414","4,600","4,590","4,838","4,896","5,033","4,932","5,055","5,211","5,326","5,366","5,261","5,227","5,388","5,415","5,622","5,835","6,199","5,807","7,367","6,705","6,090","6,693","6,854","6,699","6,506","7,700","8,420","9,662","9,326","8,905","8,454","8,698","7,979"
Other Current Assets,"1,201","1,173","1,344","1,713","2,306","1,968","2,128","2,602","2,192","1,489","1,380","1,557","1,361","1,150","1,591","1,254","1,446","1,130","1,675","1,791","1,786","1,968","2,093","1,876","2,282","1,653","1,939","1,992","1,810","1,498","1,655","1,822","1,968","2,129","2,379","2,063","1,815","1,942","2,013","1,943"
Total Current Assets,"13,410","13,696","13,540","14,033","15,207","15,587","15,238","16,755","15,256","15,025","14,589","16,011","16,205","16,061","16,192","16,582","15,355","15,134","15,501","15,566","15,796","16,525","16,228","16,369","15,744","20,556","21,937","23,607","24,700","26,291","26,390","27,177","26,962","28,213","28,877","27,447","26,035","25,202","24,250","24,631"
"Property, Plant & Equipment","2,736","2,834","2,895","2,927","2,862","3,011","3,112","3,235","3,329","3,520","3,572","3,566","3,793","3,989","4,086","4,117","4,298","4,454","4,487","4,588","4,688","4,744","7,447","7,550","7,690","7,963","8,127","8,045","8,107","8,017","7,947","7,829","7,765","7,717","7,658","7,663","7,773","8,004","8,048","8,096"
Goodwill and Intangibles,517,413,413,412,412,412,412,412,412,412,423,422,422,422,422,421,421,439,438,438,437,437,503,501,498,497,495,493,513,511,509,507,575,570,565,561,558,555,553,550
