,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"8,455","8,885","8,564","10,062","11,856","11,429","10,841","13,763","9,874","10,810","13,020","12,340","14,695","17,988","20,062","22,518","28,904","30,458","34,803","31,924","44,491","50,713","47,597","53,246","54,393","77,245","93,023","107,389","98,072","108,481","123,272","129,173","111,378","95,104","76,277","78,431","94,338","114,642","114,028","144,830","156,825"
Market Cap Growth,77.07%,63.80%,20.51%,29.52%,40.23%,28.63%,26.59%,36.78%,-16.72%,-5.42%,20.10%,-10.34%,48.82%,66.40%,54.09%,82.48%,96.69%,69.32%,73.47%,41.77%,53.93%,66.50%,36.76%,66.79%,22.25%,52.32%,95.44%,101.69%,80.30%,40.44%,32.52%,20.29%,13.57%,-12.33%,-38.12%,-39.28%,-15.30%,20.54%,49.49%,84.66%,-
Enterprise Value,"8,221","8,637","8,355","9,837","11,563","11,165","10,579","13,436","9,456","10,494","12,713","11,949","14,236","17,436","19,547","21,912","28,173","29,566","33,991","31,088","43,922","50,167","47,250","52,685","53,737","76,101","92,275","106,432","96,724","107,586","122,468","128,083","109,571","93,414","74,446","76,383","91,662","112,107","112,221","142,237","154,232"
PE Ratio,-81.56,-67.00,-53.88,-56.09,-61.06,-55.55,-52.70,-69.36,-20.85,-23.43,-28.52,-29.79,-143.46,-165.62,-212.22,-192.72,-341.21,-373.02,-681.53,-1195.49,-1144.59,18137.72,1360.34,84.92,80.40,106.02,132.70,902.43,640.99,634.39,557.79,561.62,499.45,516.87,379.49,241.33,235.85,80.51,71.90,83.67,90.86
PS Ratio,17.70,16.38,14.05,14.74,15.70,13.68,11.81,13.69,8.98,9.05,10.09,8.87,9.71,11.10,11.43,11.74,13.90,13.47,14.25,12.24,15.84,16.84,14.76,15.39,14.63,19.54,22.04,23.76,20.29,20.98,22.29,21.91,17.80,14.41,11.02,10.83,12.38,14.30,13.46,16.14,17.48
PB Ratio,20.94,22.32,20.52,23.47,26.06,24.68,20.97,24.28,32.66,33.34,35.92,31.89,34.39,37.29,36.39,28.92,33.41,34.16,34.11,28.73,37.23,40.22,33.30,25.02,24.00,31.16,34.79,37.89,32.29,33.12,34.88,34.96,27.87,22.68,16.86,15.59,16.85,16.55,15.88,18.99,20.56
P/FCF Ratio,241.11,141.55,130.19,116.25,104.03,74.50,57.24,59.77,41.28,5077.46,525.37,230.58,92.81,42.51,44.32,45.73,52.29,57.16,65.02,56.78,67.28,67.98,61.93,59.29,54.76,70.70,82.87,79.31,62.67,71.51,77.38,71.80,57.15,47.03,40.17,36.09,44.08,49.71,47.95,53.56,58.00
P/OCF Ratio,92.97,72.08,67.15,71.39,64.41,51.43,41.56,43.31,30.01,107.33,97.32,77.57,54.83,33.01,34.00,35.02,40.97,43.35,49.28,39.36,48.26,48.78,43.10,43.08,39.79,51.79,61.11,60.13,48.53,55.55,60.67,58.96,47.86,38.66,31.72,28.80,34.16,39.41,38.59,42.62,46.15
Debt / Equity Ratio,1.04,1.08,1.05,1.03,0.99,0.99,0.90,0.84,1.60,1.51,1.38,1.31,1.21,2.36,2.10,1.51,1.33,0.96,0.80,0.60,0.91,0.88,0.79,0.53,0.53,0.48,0.82,0.75,0.69,0.64,0.63,0.60,0.55,0.51,0.47,0.44,0.40,0.32,0.31,0.30,0.30
Quick Ratio,2.09,1.95,1.81,1.63,1.64,1.46,1.40,1.37,1.04,1.18,1.14,1.14,1.10,1.62,1.53,1.09,1.08,1.15,1.13,1.03,0.99,0.97,0.92,0.92,0.91,1.04,1.26,1.10,1.12,0.96,1.00,0.95,1.00,0.99,1.10,1.00,1.05,1.01,0.93,0.94,0.94
Current Ratio,2.27,2.10,1.96,1.79,1.82,1.61,1.55,1.48,1.14,1.29,1.25,1.25,1.23,1.73,1.66,1.19,1.19,1.28,1.26,1.17,1.13,1.10,1.05,1.03,1.03,1.17,1.40,1.21,1.24,1.08,1.13,1.06,1.12,1.12,1.24,1.11,1.17,1.15,1.08,1.06,1.06
Interest Coverage,-6.07,-8.50,-5.80,-2.63,-6.54,-6.84,-4.08,-3.47,-39.89,-5.58,-2.98,2.03,-1.62,-4.08,-0.20,0.22,0.57,-1.64,1.64,1.22,-0.40,-0.97,8.26,5.15,6.33,8.75,4.25,2.75,15.14,8.14,10.71,-,-,-,-,-,-,-,-,-,-
Return on Capital (ROIC),Upgrade,-10.85%,-13.86%,-15.76%,-17.41%,-18.75%,-19.37%,-17.50%,-15.98%,-55.58%,-52.91%,-49.90%,-43.54%,-9.24%,-4.73%,-3.15%,-3.30%,-3.11%,-3.26%,-2.29%,-2.26%,-1.56%,-1.29%,-0.16%,15.19%,16.14%,17.09%,12.82%,2.96%,3.47%,3.67%,4.01%,4.02%,3.77%,2.98%,2.88%,4.00%,4.19%,11.11%,11.98%,12.44%
Buyback Yield / Dilution,-9.46%,-7.44%,-6.46%,-6.56%,-6.72%,-6.93%,-7.24%,-7.44%,-6.90%,-6.07%,-5.38%,-4.42%,-4.12%,-4.02%,-3.93%,-4.07%,-12.75%,-4.06%,-11.81%,-3.55%,4.30%,-5.26%,-2.96%,-10.50%,-9.82%,-7.91%,-2.01%,-1.37%,-1.17%,-0.41%,-0.63%,-1.53%,-0.26%,-0.37%,0.00%,0.19%,-0.72%,-1.15%,-1.55%,-1.32%,-1.01%
Total Shareholder Return,-9.46%,-7.44%,-6.46%,-6.56%,-6.72%,-6.93%,-7.24%,-7.44%,-6.90%,-6.07%,-5.38%,-4.42%,-4.12%,-4.02%,-3.93%,-4.07%,-12.75%,-4.06%,-11.81%,-3.55%,4.30%,-5.26%,-2.96%,-10.50%,-9.82%,-7.91%,-2.01%,-1.37%,-1.17%,-0.41%,-0.63%,-1.53%,-0.26%,-0.37%,0.00%,0.19%,-0.72%,-1.15%,-1.55%,-1.32%,-1.01%
