,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,289","9,112","3,698","3,867","9,018","11,481","10,001","9,170","10,548","7,331","11,717"
Market Cap Growth,76.97%,-1.90%,-59.42%,4.58%,133.18%,27.32%,-12.89%,-8.30%,15.02%,-30.50%,-
Enterprise Value,"23,584","26,714","21,230","18,956","17,353","17,422","16,095","14,298","18,570","15,163","23,205"
PE Ratio,-23.51,116.82,-0.58,-5.52,-4.19,42.84,2.25,17.98,4.82,6.00,-4.86
PS Ratio,0.82,0.57,0.30,0.43,0.99,1.21,1.02,1.01,0.39,0.23,0.39
PB Ratio,0.97,0.93,1.37,1.90,-26.06,-9.30,6.03,5.46,2.93,1.92,3.33
P/FCF Ratio,-12.95,15.16,11.56,2.84,6.65,11.61,8.44,5.71,47.09,-1047.26,-3.57
P/OCF Ratio,7.31,6.03,2.74,2.03,5.60,8.34,7.08,4.99,21.39,20.36,-4.74
EV/Sales Ratio,2.09,1.68,1.72,2.13,1.91,1.84,1.64,1.57,0.69,0.48,0.78
EV/EBITDA Ratio,16.42,9.61,-7.72,31.28,-16.62,14.78,8.52,8.95,4.50,5.59,-28.21
EV/EBIT Ratio,131.02,21.27,-5.18,-114.19,-10.58,22.98,10.61,12.31,5.55,7.29,-12.08
EV/FCF Ratio,-32.89,44.45,66.34,13.90,12.80,17.62,13.58,8.90,82.90,-2166.12,-8.22
Debt / Equity Ratio,1.75,2.07,7.19,8.07,-27.12,-5.28,3.89,5.38,2.30,2.17,3.38
Debt / EBITDA Ratio,11.71,7.26,-7.08,27.18,-8.99,5.53,3.41,5.66,2.01,3.06,-16.53
Debt / FCF Ratio,-23.45,33.57,60.83,12.08,6.92,6.59,5.44,5.62,37.00,-1186.00,-4.82
Quick Ratio,1.02,0.83,0.71,0.52,0.63,0.67,0.58,2.51,0.53,0.40,0.47
Current Ratio,1.81,1.73,1.69,1.43,1.32,1.50,1.31,3.15,1.37,1.25,1.06
Asset Turnover,0.33,0.42,0.32,0.28,0.35,0.55,0.96,0.70,1.17,1.01,1.03
Interest Coverage,0.21,1.12,-4.38,-0.28,-2.94,1.57,3.67,2.90,6.89,4.99,-2.92
Return on Equity (ROE),-4.00%,0.80%,-83.00%,-27.10%,-247.30%,-40.10%,-572.80%,29.60%,74.50%,25.30%,-52.80%
Return on Assets (ROA),-1.10%,0.20%,-16.70%,-2.20%,-8.30%,1.60%,43.60%,3.90%,9.50%,3.90%,-6.30%
Return on Capital (ROIC),1.30%,4.15%,-19.14%,-0.86%,-9.16%,18.10%,63.98%,6.91%,21.50%,12.21%,-11.48%
Earnings Yield,-4.25%,0.86%,-173.13%,-18.13%,-23.87%,2.33%,44.38%,5.56%,20.73%,16.66%,-15.51%
FCF Yield,-7.72%,6.60%,8.65%,35.27%,15.04%,8.61%,11.85%,17.52%,2.12%,-0.10%,-21.08%
Dividend Yield,1.60%,2.00%,4.90%,1.90%,1.40%,0.30%,0.30%,3.20%,3.00%,4.40%,3.14%
Payout Ratio,-36.90%,234.80%,-3.00%,-10.60%,-5.70%,13.60%,0.70%,57.70%,14.60%,27.10%,-19.20%
Buyback Yield / Dilution,-38.03%,-4.95%,2.95%,3.95%,-0.32%,2.84%,14.29%,6.82%,0.41%,3.67%,1.28%
Total Shareholder Return,-36.43%,-2.95%,7.85%,5.85%,1.08%,3.14%,14.59%,10.02%,3.41%,8.07%,4.42%
