,2014-01-26,2014-04-27,2014-07-27,2014-10-26,2015-01-25,2015-04-26,2015-07-26,2015-10-25,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-01-28,2018-04-29,2018-07-29,2018-10-28,2019-01-27,2019-04-28,2019-07-28,2019-10-27,2020-01-26,2020-04-26,2020-07-26,2020-10-25,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29
Net Income,146.93,137,128,173,194,134,26,246,208,208,261,542,654,507,583,838,"1,119","1,244","1,101","1,230",566,394,552,899,951,917,622,"1,336","1,457","1,912","2,374","2,464","3,003","1,618",656,680,"1,414","2,043","6,188","9,243"
Depreciation & Amortization,54.69,55,56,55,54,54,49,48,46,45,47,48,47,47,49,49,54,57,59,68,78,91,92,92,106,107,404,299,288,281,286,298,309,334,378,406,426,384,365,372
Share-Based Compensation,33.65,32,35,36,37,39,48,58,49,53,58,65,71,76,82,107,126,129,133,138,157,178,223,223,220,224,374,383,416,429,465,559,551,578,648,745,738,735,841,979
Other Operating Activities,165.3,-73,-123,-48,158,19,40,-97,208,13,-166,-223,-51,-348,-9,163,59,15,-380,-949,97,57,69,426,188,-339,167,-739,-94,-748,-443,"-1,802",-830,-799,-412,"-1,439",-330,-251,"-1,046","-3,262"
Operating Cash Flow,400.57,151,96,216,443,246,163,255,511,319,200,432,721,282,705,"1,157","1,358","1,445",913,487,898,720,936,"1,640","1,465",909,"1,567","1,279","2,067","1,874","2,682","1,519","3,033","1,731","1,270",392,"2,248","2,911","6,348","7,332"
Operating Cash Flow Growth,-11.18%,-14.03%,-0.49%,33.07%,10.59%,62.91%,69.79%,18.06%,15.35%,29.67%,22.70%,69.41%,41.10%,-11.60%,252.50%,167.82%,88.35%,412.41%,29.50%,-57.91%,-33.87%,-50.17%,2.52%,236.76%,63.14%,26.25%,67.41%,-22.01%,41.09%,106.16%,71.16%,18.76%,46.73%,-7.63%,-52.65%,-74.19%,-25.88%,68.17%,399.84%,1770.41%
Capital Expenditures,-41.19,-8,-23,-39,-31,-30,-22,-12,-15,-55,-26,-38,-50,-54,-54,-69,-414,-118,-129,-150,-203,-128,-113,-103,-145,-155,-217,-473,-283,-298,-183,-222,-273,-361,-433,-530,-509,-248,-289,-278
Acquisitions,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-34,"-7,137","-1,353",0,0,0,-203,-60,-36,-13,-83,0,-83,0,-872
Change in Investments,"-1,056.07",-322,-41,25,-287,-204,245,-187,-199,231,-243,-289,-323,808,316,355,390,"-3,433",-676,369,243,"1,623","3,658","1,359",-2,-866,"-6,136",-175,"-2,846",-974,"-2,350","-4,014","-1,253","3,009","2,064","3,761",506,-510,-157,"-2,020"
Other Investing Activities,-2.55,-,-,-1,-,-1,24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,"-1,099.66",-330,-64,-15,-318,-235,247,-199,-213,176,-269,-327,-373,754,262,286,-24,"-3,551",-805,219,40,"1,495","3,545","1,256",-151,"-1,055","-13,490","-2,001","-3,129","-1,272","-2,533","-4,439","-1,586","2,612","1,618","3,148",-3,-841,-446,"-3,170"
Dividends Paid,-47.99,-47,-47,-46,-46,-46,-53,-53,-61,-62,-62,-61,-76,-82,-84,-84,-91,-91,-91,-91,-98,-97,-98,-97,-98,-98,-99,-99,-99,-99,-99,-100,-101,-100,-100,-100,-98,-99,-100,-97
Share Issuance / Repurchase,26.25,-420,18,-279,-133,-3,-385,-64,51,-430,12,57,-211,65,-747,-95,7,-589,3,-134,-722,83,0,63,3,88,6,96,4,126,2,149,4,"-1,792","-3,344","-3,341","-1,207",246,"-3,066","-3,651"
Debt Issued / Paid,"1,478",-1,0,-1,2,-1,-1,-1,3,0,0,"1,544",-229,-605,-136,-62,-9,-2,0,-10,-4,0,0,0,0,"4,979",-8,0,-20,-19,"4,964","-1,030",-21,-22,-14,-18,-4,-20,"-1,261",-13
Other Financing Activities,-167.24,4,3,5,154,6,-,98,-166,-52,-2,-131,-6,-191,-1,-388,-41,-449,-67,-468,-53,-211,-50,-202,-88,-225,-196,-298,-227,-479,-366,-439,-627,-532,-304,-294,-347,-507,-672,-764
Financing Cash Flow,"1,289",-464,-26,-321,-23,-44,-439,-20,-173,-544,-52,"1,409",-522,-813,-968,-629,-134,"-1,131",-155,-703,-877,-225,-148,-236,-183,"4,744",-297,-301,-342,-471,"4,501","-1,420",-745,"-2,446","-3,762","-3,753","-1,656",-380,"-5,099","-4,525"
Net Cash Flow,589.7,-643,6,-120,102,-33,-29,36,125,-49,-121,"1,514",-174,223,-1,814,"1,200","-3,237",-47,3,61,"1,990","4,333","2,660","1,131","4,598","-12,220","-1,023","-1,404",131,"4,650","-4,340",702,"1,897",-874,-213,589,"1,690",803,-363
Free Cash Flow,359.38,143,73,177,412,216,141,243,496,264,174,394,671,228,651,"1,088",944,"1,327",784,337,695,592,823,"1,537","1,320",754,"1,350",806,"1,784","1,576","2,499","1,297","2,760","1,370",837,-138,"1,739","2,663","6,059","7,054"
Free Cash Flow Growth,-10.88%,30.02%,535.72%,42.56%,14.64%,51.05%,93.15%,37.29%,20.39%,22.22%,23.40%,62.14%,35.28%,-13.64%,274.14%,176.14%,40.69%,482.02%,20.43%,-69.03%,-26.38%,-55.39%,4.97%,356.08%,89.93%,27.36%,64.03%,-47.56%,35.15%,109.02%,85.11%,60.92%,54.71%,-13.07%,-66.51%,-,-36.99%,94.38%,623.89%,-
Free Cash Flow Margin,31.41%,12.96%,6.62%,14.45%,32.93%,18.77%,12.23%,18.62%,35.40%,20.23%,12.18%,19.66%,30.88%,11.77%,29.19%,41.27%,32.43%,41.38%,25.10%,10.59%,31.52%,26.67%,31.91%,51.00%,42.51%,24.48%,34.92%,17.05%,35.66%,27.84%,38.40%,18.26%,36.11%,16.53%,12.49%,-2.33%,28.74%,37.03%,44.86%,38.93%
Free Cash Flow Per Share,0.16,0.06,0.03,0.08,0.19,0.10,0.07,0.11,0.23,0.12,0.08,0.18,0.30,0.10,0.27,0.45,0.39,0.55,0.32,0.14,0.29,0.24,0.34,0.63,0.54,0.31,0.55,0.33,0.72,0.63,1.00,0.52,1.10,0.55,0.34,-0.06,0.71,1.08,2.45,2.86
