,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"5,130","5,086","4,740","5,224","5,379","5,447","6,194","6,429","6,724","6,938","6,389","6,326","7,804","9,034","10,688","13,120","10,313","10,760","8,962","8,810","10,008","12,100","13,588","14,072","9,448","11,995","15,117","15,179","17,342","18,086","17,085","20,579","15,112","13,172","13,088","14,741","18,106","20,620","19,466","22,255","23,495"
Market Cap Growth,-4.93%,10.74%,11.29%,11.95%,4.86%,7.08%,30.68%,23.05%,24.99%,27.38%,3.14%,-1.59%,16.07%,30.22%,67.29%,107.40%,32.14%,19.10%,-16.15%,-32.85%,-2.95%,12.45%,51.62%,59.73%,-5.59%,-0.87%,11.26%,7.87%,83.54%,50.78%,13.02%,35.58%,-12.86%,-27.17%,-23.39%,-28.37%,19.82%,56.54%,48.73%,50.97%,-
Enterprise Value,"4,853","5,135","4,876","5,278","5,448","5,550","6,407","6,575","7,002","7,171","6,724","6,508","7,891","9,084","10,642","13,029","10,460","10,900","8,927","8,675","9,852","11,879","13,156","13,595","9,012","11,241","14,119","13,959","16,114","17,018","15,931","19,533","14,474","12,612","12,273","13,175","16,261","18,879","17,514","20,053","21,294"
PE Ratio,20.10,18.65,16.93,18.55,18.12,16.91,17.78,16.79,16.43,17.03,15.65,14.88,16.86,17.41,18.96,24.41,17.17,16.40,12.99,11.05,12.21,14.64,15.90,16.02,10.91,14.63,17.74,16.84,17.80,15.98,14.15,16.64,10.69,8.63,8.15,8.54,11.02,12.77,11.90,13.98,15.95
PS Ratio,1.23,1.19,1.10,1.19,1.19,1.17,1.28,1.27,1.28,1.29,1.16,1.11,1.34,1.51,1.75,2.13,1.61,1.62,1.31,1.26,1.40,1.69,1.88,1.95,1.33,1.72,2.16,2.07,2.24,2.16,1.94,2.37,1.67,1.40,1.33,1.43,1.78,2.10,2.03,2.39,2.52
PB Ratio,3.87,4.63,4.12,4.65,4.62,4.27,4.99,5.19,5.35,5.11,4.92,4.85,5.54,5.88,6.48,8.17,7.03,6.69,5.33,4.87,5.27,5.71,5.73,6.01,3.91,4.59,5.18,4.89,5.69,5.95,5.66,6.85,5.54,4.40,4.24,4.20,4.71,4.97,4.67,5.10,5.38
P/FCF Ratio,16.43,16.27,43.58,33.95,31.90,38.15,27.52,30.74,39.50,26.79,21.79,17.02,15.00,16.75,17.65,23.81,19.73,19.83,12.66,12.50,11.74,14.45,18.84,16.64,13.74,13.10,16.45,16.68,14.82,17.03,13.01,16.79,12.54,11.46,10.10,7.96,9.73,11.79,10.83,15.08,15.92
P/OCF Ratio,15.43,14.80,33.81,28.31,27.07,33.78,25.60,28.36,35.71,24.81,20.38,16.10,14.42,16.17,17.07,23.00,19.09,19.16,12.34,12.18,11.46,14.13,18.34,16.24,13.36,12.83,16.14,16.40,14.63,16.81,12.86,16.56,12.35,11.27,9.97,7.88,9.65,11.67,10.70,14.86,15.68
Debt / Equity Ratio,0.45,0.55,0.52,0.53,0.51,0.47,0.48,0.48,0.47,0.44,0.46,0.46,0.42,0.39,0.36,0.37,0.41,0.37,0.36,0.33,0.36,0.32,0.29,0.29,0.28,0.49,0.55,0.51,0.52,0.52,0.53,0.53,0.58,0.34,0.33,0.29,0.26,0.24,0.24,0.23,0.23
Interest Coverage,9.58,20.02,25.90,26.86,11.54,25.96,31.42,37.97,21.31,31.06,33.90,37.99,23.65,36.33,40.95,42.38,31.40,39.17,41.30,45.23,36.17,39.84,43.46,45.94,25.88,23.03,28.51,30.25,24.29,32.46,33.78,33.32,43.99,47.83,75.77,84.31,60.77,70.34,79.21,72.28,70.52
Return on Capital (ROIC),Upgrade,13.78%,16.68%,16.60%,16.97%,17.49%,17.80%,19.55%,21.46%,22.62%,21.32%,22.01%,22.85%,23.59%,24.86%,25.60%,24.90%,29.64%,30.25%,30.71%,33.60%,32.14%,29.85%,28.33%,29.42%,28.35%,21.50%,19.35%,19.77%,21.70%,25.12%,26.93%,27.68%,33.55%,39.02%,39.91%,38.69%,34.16%,31.45%,31.72%,29.76%
Buyback Yield / Dilution,9.80%,10.33%,7.26%,7.55%,8.33%,5.18%,1.33%,1.33%,2.36%,2.28%,3.98%,5.36%,0.92%,-0.89%,-3.35%,-9.35%,-3.00%,1.43%,4.86%,9.44%,6.28%,4.42%,1.68%,-0.48%,1.19%,2.48%,1.23%,-0.25%,-0.69%,-0.93%,2.46%,5.60%,7.09%,10.08%,9.66%,9.40%,5.72%,1.06%,0.37%,0.85%,2.11%
Total Shareholder Return,9.80%,10.33%,7.26%,7.55%,8.33%,5.18%,1.33%,1.33%,2.36%,2.28%,3.98%,5.36%,0.92%,-0.89%,-3.35%,-9.35%,-3.00%,1.43%,4.86%,9.44%,6.28%,4.42%,1.68%,-0.48%,1.19%,2.48%,1.23%,-0.25%,-0.69%,-0.93%,2.46%,5.60%,7.09%,10.08%,9.66%,9.40%,5.72%,1.06%,0.37%,0.85%,2.11%
