,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"3,207","3,145","2,735","1,918","2,027","1,951","1,898","1,883","1,972","2,147","1,499","1,564","1,850","2,016","1,877","1,856","2,112","2,034","1,886","1,618","1,648","1,643","1,441","1,272","1,517","1,517","1,539","1,562","2,236","2,236","2,100","2,184","1,822","1,822","1,458","1,328","1,659","1,833","1,529","1,724"
Cash & Cash Equivalents,"3,207","3,145","2,735","1,918","2,027","1,951","1,898","1,883","1,972","2,147","1,499","1,564","1,850","2,016","1,877","1,856","2,112","2,034","1,886","1,618","1,648","1,643","1,441","1,272","1,517","1,517","1,539","1,562","2,236","2,236","2,100","2,184","1,822","1,822","1,458","1,328","1,659","1,833","1,529","1,724"
Cash Growth,-,32.09%,1.75%,-34.04%,-36.79%,-37.97%,-30.60%,-1.82%,-2.71%,10.05%,-21.02%,-16.94%,-6.19%,-6.10%,25.22%,18.67%,14.16%,0.89%,0.48%,-12.82%,-21.97%,-19.22%,-23.59%,-21.38%,-7.95%,-7.67%,6.80%,22.80%,47.40%,47.40%,36.45%,39.82%,-18.52%,-18.52%,-30.57%,-39.19%,-8.95%,0.60%,4.87%,29.82%
Receivables,"1,485","1,454","1,471","1,505","1,360","1,283","1,361","1,409","1,254","1,229","1,294","1,528","1,326","1,276","1,365","1,379","1,328","1,612","1,648","1,853","1,631","1,544","1,540","1,570","1,203","1,203","1,240","1,444","1,498","1,498","1,499","1,665","1,502","1,502","1,473","1,636","1,540","1,425","1,559","1,516"
Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,376,388,400,404,348,402,358,348,348,203,203,253,253,308,248,311,311,373,328,356,311,378,297
Other Current Assets,678,671,659,629,701,780,630,503,679,513,535,499,586,315,526,483,546,372,547,558,564,515,416,518,393,393,453,387,469,469,465,502,458,458,450,471,477,484,503,466
Total Current Assets,"5,370","5,270","4,865","4,052","4,088","4,014","3,889","3,795","3,905","3,889","3,328","3,591","3,762","3,815","3,768","3,718","3,986","4,394","4,469","4,429","4,247","4,050","3,799","3,718","3,461","3,461","3,435","3,596","4,456","4,456","4,372","4,599","4,093","4,093","3,754","3,763","4,032","4,053","3,969","4,003"
"Property, Plant & Equipment","2,959","3,009","2,910","2,809","2,699","2,690","2,553","2,554","2,499","2,405","2,367","1,981","1,961","1,624","1,636","1,631","1,642","2,560","2,512","2,517","2,557","2,554","3,723","3,775","3,317","3,317","3,273","3,389","3,307","3,307","3,170","3,097","2,994","2,994","2,812","3,066","3,039","3,078","2,945","2,992"
Long-Term Investments,"2,551","2,609","2,497","2,466","2,382","2,379","2,196","2,288","2,264","2,270","2,269","1,932","2,010","2,027","2,044","2,019",957,393,390,345,347,335,329,325,297,297,314,353,351,351,499,505,488,488,470,524,506,427,391,424
Goodwill and Intangibles,"4,879","4,919","5,155","5,926","5,823","5,266","5,155","5,254","5,910","5,921","6,270","6,089","6,175","6,119","6,223","6,198","5,950","7,889","7,760","7,796","7,737","7,573","7,124","7,233","5,815","5,815","5,866","6,226","6,832","6,832","6,674","6,639","7,840","7,840","7,604","7,752","7,678","7,629","7,521","7,637"
Other Long-Term Assets,784,682,696,717,694,686,963,984,"1,138",998,"1,035",934,978,967,991,793,837,"1,110","1,157","1,140","1,170","1,199","1,258","1,231","1,371","1,371","1,512","1,530","1,825","1,825","1,703","1,680","1,806","1,806","1,747","1,786","1,779","1,734","1,649","1,625"
Total Long-Term Assets,"11,173","11,219","11,258","11,918","11,598","11,021","10,867","11,080","11,811","11,594","11,941","10,936","11,124","10,737","10,894","10,641","9,386","11,952","11,819","11,798","11,811","11,661","12,434","12,564","10,800","10,800","10,965","11,498","12,315","12,315","12,046","11,921","13,128","13,128","12,633","13,128","13,002","12,868","12,506","12,678"
Total Assets,"16,543","16,489","16,123","15,970","15,686","15,035","14,756","14,875","15,716","15,483","15,269","14,527","14,886","14,552","14,662","14,359","13,372","16,346","16,288","16,227","16,058","15,711","16,233","16,282","14,261","14,261","14,400","15,094","16,771","16,771","16,418","16,520","17,221","17,221","16,387","16,891","17,034","16,921","16,475","16,681"
Accounts Payable,245,276,272,320,225,238,272,248,227,217,240,240,229,222,235,216,230,605,537,625,432,411,406,375,351,351,322,291,321,321,309,351,411,411,348,308,407,440,324,243
Deferred Revenue,406,369,404,412,399,346,354,337,378,388,401,404,435,426,448,390,448,516,436,430,460,428,448,411,398,398,409,400,473,473,467,462,604,604,592,591,623,622,624,510
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,462,671,744,678,449,622,0,76,76,78,212,28,28,300,302,293,293,23,27,27,27,61,58
