,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"11,415","18,180","20,200","33,174","39,943","23,873","35,894","44,485","61,657","41,385","59,842"
Market Cap Growth,74.83%,59.26%,11.11%,64.23%,20.40%,-40.23%,50.35%,23.93%,38.60%,-32.88%,-
Enterprise Value,"14,066","20,994","27,798","40,467","42,961","28,438","42,214","49,819","69,399","48,705","67,155"
PE Ratio,32.80,33.73,13.24,-172.78,18.03,10.81,147.71,529.58,32.95,14.85,21.70
PS Ratio,2.37,3.22,3.31,3.49,4.32,2.54,4.04,5.17,5.57,3.13,4.51
PB Ratio,8.77,33.79,1.75,3.15,2.95,2.27,3.80,4.97,9.45,5.56,6.68
P/FCF Ratio,17.81,16.48,20.68,17.88,21.84,6.44,20.57,22.70,28.74,15.51,21.95
P/OCF Ratio,12.81,12.38,15.19,14.40,16.32,5.46,15.13,17.92,20.04,10.63,17.03
EV/Sales Ratio,2.92,3.72,4.56,4.26,4.64,3.02,4.76,5.78,6.27,3.69,5.06
EV/EBITDA Ratio,11.64,12.39,21.91,19.47,15.67,10.45,15.79,21.18,17.95,9.62,14.72
EV/EBIT Ratio,20.27,16.27,36.97,-318.64,75.64,38.69,67.33,136.87,26.64,12.78,19.44
EV/FCF Ratio,21.94,19.03,28.45,21.82,23.49,7.67,24.19,25.42,32.35,18.26,24.64
Debt / Equity Ratio,2.55,7.43,0.80,0.87,0.49,0.70,0.78,0.85,1.62,1.50,1.25
Debt / EBITDA Ratio,2.75,2.36,7.26,4.42,2.40,2.70,2.75,3.24,2.73,2.21,2.45
Debt / FCF Ratio,5.18,3.63,9.43,4.95,3.59,1.98,4.22,3.88,4.93,4.18,4.10
Quick Ratio,1.02,1.35,1.08,1.20,1.63,1.06,0.96,1.51,1.53,1.47,1.16
Current Ratio,1.75,2.00,1.89,2.22,2.22,1.54,1.82,2.14,2.13,2.12,1.91
Asset Turnover,0.75,0.82,0.23,0.39,0.38,0.44,0.44,0.43,0.53,0.57,0.55
Interest Coverage,3.58,7.23,8.88,-0.37,6.78,9.93,1.73,1.15,7.00,8.89,0
Return on Equity (ROE),26.75%,100.19%,13.25%,-1.82%,16.37%,21.02%,2.57%,0.94%,28.66%,37.41%,31.22%
Return on Assets (ROA),5.40%,7.82%,5.79%,-0.78%,9.21%,10.26%,1.21%,0.42%,8.97%,11.99%,11.49%
Return on Capital (ROIC),13.34%,21.67%,10.40%,-0.76%,13.37%,14.05%,3.55%,212.12%,13.22%,17.19%,16.69%
Earnings Yield,3.05%,2.96%,7.55%,-0.58%,5.55%,9.25%,0.68%,0.19%,3.03%,6.73%,4.67%
FCF Yield,5.62%,6.07%,4.84%,5.59%,4.58%,15.53%,4.86%,4.41%,3.48%,6.45%,4.56%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.89%,0.94%,0.91%,1.97%,1.75%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,3.35%,131.28%,500.00%,30.04%,29.24%,37.87%
Buyback Yield / Dilution,-2.82%,2.53%,-0.61%,-35.33%,-2.16%,4.97%,12.99%,0.74%,2.88%,4.21%,0.44%
Total Shareholder Return,-2.82%,2.53%,-0.61%,-35.33%,-2.16%,5.28%,13.88%,1.68%,3.79%,6.18%,2.19%
