,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"3,450","3,163","3,067","3,120","2,845","1,805","2,128","1,899","1,931","1,774","2,134","2,358","2,654","2,750","2,726","2,906","3,792","3,102","2,961","3,394","3,137","2,780","2,458","2,263","2,664","2,137","1,661","2,174","2,571","3,195","3,389","4,536","5,420","5,445","5,996","5,914","5,032","4,521","3,732","4,189"
Revenue Growth (YoY),184.74%,25.63%,10.76%,-0.49%,-17.53%,-42.93%,-30.61%,-39.14%,-32.12%,-1.71%,0.28%,24.17%,37.47%,54.95%,27.72%,23.26%,42.86%,12.82%,8.61%,16.77%,-17.28%,-10.38%,-16.99%,-33.31%,-15.08%,-23.14%,-32.42%,-3.93%,-3.49%,49.52%,104.06%,108.63%,110.87%,70.44%,76.93%,30.37%,-7.17%,-16.97%,-37.76%,-29.17%
Cost of Revenue,"3,019","2,675","2,590","2,602","2,297","1,369","1,628","1,378","1,355","1,218","1,551","1,770","2,046","2,171","2,115","2,254","3,096","2,397","2,204","2,585","2,341","1,990","1,657","1,441","1,819","1,309",974.78,"1,297","1,654","2,166","2,409","3,489","4,360","4,416","4,924","4,821","3,941","3,404","2,529","2,843"
Gross Profit,430.07,488.24,476.78,517.85,547.92,436.76,500.48,520.94,576.4,556.85,582.61,587.83,608.67,578.62,610.45,652.31,696.1,705.03,756.6,809,795.94,790.09,800.84,821.87,844.37,827.8,685.95,877.21,916.11,"1,029",980.05,"1,047","1,061","1,029","1,072","1,093","1,091","1,117","1,203","1,346"
Other Operating Expenses,195.49,219.66,226.86,228.97,242.42,241.6,229.69,243.51,331.39,246.05,268.27,259.18,280.84,264.95,315.56,301.24,299.77,288.64,312.62,316.87,327.9,324.81,329.2,345.78,343.03,923.22,336.39,331.27,354.83,364.01,368.53,379.44,408.75,367,383,393,334.57,-380,466,607
Operating Expenses,195.49,219.66,226.86,228.97,242.42,241.6,229.69,243.51,331.39,246.05,268.27,259.18,280.84,264.95,315.56,301.24,299.77,288.64,312.62,316.87,327.9,324.81,329.2,345.78,343.03,923.22,336.39,331.27,354.83,364.01,368.53,379.44,408.75,367,383,393,334.57,-380,466,607
Operating Income,234.58,268.58,249.92,288.89,305.5,195.16,270.78,277.43,245.01,310.8,314.34,328.65,327.83,313.67,294.89,351.07,396.33,416.39,443.98,492.13,468.04,465.28,471.65,476.09,501.34,-95.42,349.55,545.94,561.28,664.72,611.51,667.86,652.17,662,689,700,756.81,"1,497",737,739
Interest Expense / Income,73.85,94.9,88.75,86.05,86.46,96.75,102.38,106.92,110.73,118.25,118.98,118.24,114.19,116.46,118.47,126.53,124.19,115.73,113.5,121.91,118.49,115.42,117.49,129.58,129.28,140.62,218.97,176.37,176.93,185.52,184.96,184.05,178.4,172,171,167,166.2,166,180,215
Other Expense / Income,30.6,65.18,57.27,100.52,68.5,0.18,43.67,50.05,96.11,59.04,56.97,63.25,68.27,54.91,60.88,-38.34,-42.27,-39.61,-38.1,-46.02,-39.95,-65.28,-56.74,-60.01,-46.38,-38.78,-46.88,-49.31,-18.88,-29.11,-25.65,-30.11,-36,-23,-27,-31,-36.47,-48,-56,-71
Pretax Income,130.13,108.5,103.9,102.32,150.55,98.23,124.73,120.46,38.17,133.51,138.4,147.16,145.38,142.3,115.54,262.87,314.41,340.28,368.58,416.24,389.51,415.14,410.9,406.52,418.43,-197.25,177.46,418.87,403.24,508.31,452.21,513.92,509.77,513,545,564,627.08,"1,379",613,595
