,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"75,732","80,628","74,961","62,507","56,250","59,737","50,535","51,636","52,270","57,708","55,706","54,433","48,425","45,776","49,093","56,368","49,704","64,080","62,837","46,343","49,620","37,603","33,279","36,814","10,367","16,470","9,311","16,119","24,798","29,188","27,620","27,076","52,999","55,182","57,240","57,253","56,192","52,435","57,398","52,567","53,111"
Market Cap Growth,19.96%,12.16%,-0.54%,-18.46%,-25.72%,-25.91%,-32.58%,-17.39%,-7.08%,-3.40%,10.23%,5.42%,-7.35%,-20.68%,-11.87%,3.55%,2.64%,39.99%,28.00%,-17.78%,-0.17%,-41.32%,-47.04%,-20.56%,-79.11%,-56.20%,-72.02%,-56.21%,139.21%,77.22%,196.65%,67.97%,113.72%,89.06%,107.24%,111.45%,6.02%,-4.98%,0.28%,-8.18%,-
Enterprise Value,"80,277","85,072","80,500","61,537","57,671","62,929","54,555","55,547","56,702","62,288","60,859","62,019","56,753","53,382","57,113","64,524","58,407","73,030","70,197","53,627","58,892","46,820","76,738","73,336","47,847","54,989","47,066","51,240","59,367","61,356","57,894","54,700","78,193","76,789","77,895","77,034","75,693","72,636","77,497","72,052","72,596"
PE Ratio,12.75,13.33,13.22,101.47,-56.70,-26.58,-8.33,-6.60,-6.94,-7.35,-10.16,-94.83,-90.51,412.39,90.58,43.00,26.13,28.57,16.02,11.22,12.24,9.79,31.40,-37.37,-2.69,-1.28,-0.59,-1.03,-1.80,-5.27,-24.51,17.79,8.10,5.41,4.72,4.58,6.38,8.95,12.84,13.93,15.52
PS Ratio,3.69,4.01,4.03,2.85,2.81,3.35,3.13,4.07,4.40,5.28,5.35,5.24,4.37,3.77,3.92,4.25,3.52,4.37,3.55,2.45,2.59,1.92,1.72,1.69,0.43,0.72,0.46,0.99,1.64,1.61,1.28,1.03,1.81,1.62,1.56,1.54,1.57,1.65,1.93,1.82,1.84
PB Ratio,1.76,1.86,1.72,1.79,1.65,1.79,1.69,2.12,2.20,2.50,2.50,2.53,2.30,2.18,2.38,2.74,2.40,3.06,2.92,2.17,2.34,1.76,0.92,1.08,0.33,0.71,0.47,0.87,1.36,1.60,1.46,1.33,2.13,1.98,1.99,1.90,1.90,1.80,1.96,1.74,1.76
P/FCF Ratio,12.99,15.31,16.37,23.32,274.39,-48.02,-25.01,-20.55,-47.26,433.90,154.31,98.43,105.27,44.97,42.39,40.73,31.58,64.27,33.05,16.86,20.21,13.97,14.71,48.50,14.30,-48.16,-24.06,17.89,15.97,6.53,4.37,3.53,5.44,4.81,4.69,4.59,4.88,6.08,8.32,-,-
P/OCF Ratio,5.93,6.65,6.70,5.65,6.30,8.70,9.62,15.41,15.02,15.17,16.23,16.09,15.13,11.68,11.27,11.60,9.26,12.15,9.54,6.04,6.52,4.78,4.23,4.99,1.33,2.69,2.04,4.08,7.03,4.50,3.16,2.59,4.15,3.73,3.59,3.41,3.42,3.70,4.40,-,-
Debt / Equity Ratio,0.16,0.16,0.19,0.20,0.20,0.25,0.28,0.34,0.32,0.36,0.37,0.46,0.47,0.47,0.48,0.48,0.50,0.49,0.48,0.48,0.52,0.51,1.35,1.17,1.27,1.70,2.00,2.01,2.02,2.02,1.72,1.49,1.09,0.83,0.76,0.69,0.70,0.71,0.71,0.69,0.69
Quick Ratio,1.02,1.02,0.93,1.59,1.38,1.31,1.20,1.21,1.02,1.50,1.37,1.13,0.96,1.10,1.00,0.93,1.11,0.99,1.20,1.18,1.04,0.99,0.78,0.81,0.50,0.47,0.48,0.65,0.76,0.96,0.76,0.99,0.99,0.92,0.81,0.68,0.77,0.60,0.60,0.51,0.51
