,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Cash & Equivalents,271.3,152.5,462.6,140.4,265.3,170,455.9,412.3,253.1,131.5,130,165,189.9,184.6,234.4,257.2,323.9,358.2,440.1,510.6,765.3,724.2,642.2,653.6,839.3,955,886.5,752.5,841.4,"1,047","1,151",688.7,323.3,420.3,"1,244","1,154","1,374","1,272","1,696","1,411"
Short-Term Investments,314.4,398.7,96.7,388.6,355.5,366.6,81.8,64.1,74.1,220.6,367.7,128,214,138.8,133.8,81.4,97.3,66,82.9,248.4,35.6,39,40.9,34.4,73.8,27.2,30.6,174.9,203.7,36.7,39.6,376,"1,086",853.9,45.8,165.6,240.1,373.4,45.7,34.4
Cash & Cash Equivalents,585.7,551.2,559.3,529,620.8,536.6,537.7,476.4,327.2,352.1,497.7,293,403.9,323.4,368.2,338.6,421.2,424.2,523,759,800.9,763.2,683.1,688,913.1,982.2,917.1,927.4,"1,045","1,083","1,190","1,065","1,409","1,274","1,290","1,320","1,614","1,645","1,741","1,445"
Cash Growth,2.65%,9.04%,0.02%,14.16%,5.99%,-2.65%,-3.86%,-9.94%,-47.29%,-34.38%,-7.44%,-38.50%,23.44%,-8.15%,-26.02%,15.56%,4.28%,31.17%,42.04%,124.16%,90.15%,79.92%,30.61%,-9.35%,14.01%,28.69%,34.26%,34.80%,14.46%,10.28%,29.80%,14.80%,34.85%,17.63%,8.38%,23.97%,14.50%,29.12%,34.98%,9.51%
Receivables,129.6,149.4,168.9,205.6,148.4,176.6,206.6,241.1,353.4,408.6,485.6,528.9,429.9,507.5,538.6,595.2,550.5,492.4,535.2,562.6,821,826.8,834.3,876.6,820.9,764.1,832.3,967,"1,083","1,029","1,063","1,349","1,184","1,296","1,353","1,368","1,388","1,402","1,551","1,627"
Other Current Assets,"5,004","4,302","4,144","4,125","5,188","4,375","3,844","3,885","4,823","4,103","3,538","3,394","4,918","4,441","5,067","5,059","4,077","4,977","4,018","3,968","5,670","4,088","4,039","4,063","4,655","3,718","3,591","3,698","4,494","4,057","4,064","4,219","4,644","4,012","3,443","3,510","4,594","4,481","5,796","5,851"
Total Current Assets,"5,719","5,003","4,872","4,860","5,957","5,088","4,588","4,603","5,504","4,864","4,521","4,216","5,752","5,272","5,974","5,993","5,049","5,894","5,076","5,290","7,292","5,678","5,556","5,628","6,389","5,465","5,340","5,592","6,622","6,170","6,317","6,632","7,237","6,582","6,085","6,198","7,595","7,528","9,089","8,924"
"Property, Plant & Equipment",345.1,342.2,346.6,344.4,347.7,353.9,350.1,352.7,350,353,348.4,349.3,341.6,337.2,328.6,377.1,397.2,393.5,389.1,394,404.7,408.7,516.2,520.9,528.1,522.2,492.1,492,494.9,498.8,499.6,495.9,483.5,480,472.8,463.7,452.6,457.8,466.1,477
Long-Term Investments,377.8,385.6,396.5,398.5,408.6,399.8,416.2,436.5,428.6,441.1,446.3,432.1,440.2,454,483.2,480.9,405.4,295.5,264.6,10,85.5,16.7,12.2,19.8,17.3,31.5,35,36,35.8,44.1,41.9,36.9,30.6,30.5,36.5,14.3,3.8,3.8,1.6,1.6
Goodwill and Intangibles,580.5,580.9,606,602.6,599.4,593.9,594.5,592.8,729.7,726.6,722.1,722.3,719.1,714.7,777.2,775.5,932.5,955.4,948.8,938.6,"2,202","2,182","2,163","2,146","2,138","2,122","2,111","2,096","2,108","2,097","2,077","2,078","2,067","2,056","2,038","2,034","2,030","2,021","2,079","2,083"
Other Long-Term Assets,46.7,58.9,65.5,69.1,31.1,31.7,34,32.3,55.6,56.5,59.1,56.7,57.6,55.8,57,58.1,59,377.4,371.3,369.8,378.4,391.2,391.3,387.6,394.3,410.7,398.7,398.9,405.5,418.3,431.8,444.7,465.7,487,493.4,504.2,522.2,535.3,564.9,566.5
Total Long-Term Assets,"1,350","1,368","1,415","1,415","1,387","1,379","1,395","1,414","1,564","1,577","1,576","1,560","1,559","1,562","1,646","1,692","1,794","2,022","1,974","1,712","3,071","2,998","3,082","3,074","3,078","3,086","3,037","3,023","3,044","3,058","3,050","3,056","3,046","3,054","3,041","3,016","3,008","3,018","3,112","3,128"
Total Assets,"7,069","6,370","6,287","6,275","7,344","6,468","5,983","6,017","7,068","6,441","6,097","5,776","7,310","6,834","7,620","7,685","6,843","7,915","7,050","7,002","10,363","8,676","8,638","8,702","9,467","8,551","8,377","8,615","9,666","9,227","9,367","9,688","10,284","9,635","9,126","9,214","10,604","10,546","12,200","12,052"
Accounts Payable,34.7,48.8,40.1,39.8,40.1,51.7,43,47.4,55.8,56.7,51.2,48.6,55.9,57.2,74.6,58.4,71.9,73.7,62.6,70.6,73.9,75.9,61.7,76.3,67.7,79.4,62,70.4,73.9,89,79,85.9,111.4,105.7,84.7,86.7,122.5,84.7,95.3,92.3
Deferred Revenue,0,0,0,0,0,11.2,0,0,0,26.3,26.8,28.5,25.1,22.9,24.7,27,23.7,34.6,36.6,42.5,39.4,40.3,41.3,42.2,38.8,39.2,39.6,40.6,38.4,37.9,38.6,39.8,37.1,38.4,40.8,44.8,43.8,47.3,51,55.1
Current Debt,0,0,0,0,0,0,0,0,0,0,51.3,103.1,55.4,0,57.2,133.4,57.7,0,56.7,57.3,53.6,0,56.5,51.3,51.2,5.1,6.1,6.9,7,7.4,7.1,8.9,8.7,8.7,10.3,10.1,10.2,10.2,13.7,13.6
Other Current Liabilities,"5,104","4,390","4,304","4,240","5,308","4,510","4,003","3,963","4,983","4,283","3,784","3,604","5,137","4,645","5,299","5,283","4,470","5,188","4,242","4,136","6,383","4,729","4,664","4,654","5,232","4,303","4,155","4,262","5,237","4,804","4,833","5,087","5,531","5,116","4,566","4,612","5,782","5,663","7,184","7,093"
Total Current Liabilities,"5,139","4,439","4,344","4,279","5,348","4,573","4,046","4,010","5,039","4,366","3,913","3,784","5,274","4,725","5,456","5,502","4,624","5,297","4,397","4,307","6,550","4,845","4,824","4,824","5,390","4,427","4,263","4,380","5,356","4,938","4,958","5,222","5,688","5,269","4,702","4,754","5,958","5,805","7,344","7,254"
Long-Term Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,809.4,890.3,896.7,901.8,893.7,892,889.2,889.9,889.7,890,884.2,876.9,872.5,868.8,864.7,861,855.5,853.4,851.9
Other Long-Term Liabilities,142.3,154.2,157,160.9,124.2,109,145.8,148.6,154.2,163.2,195.6,176.4,139.9,153.3,220,214,173.6,261.9,265.6,271.1,415.3,402.1,405.1,411.7,415.6,448.7,443.2,456.5,443.6,451.3,475.9,462.2,432.9,408.3,417.5,390.4,383.4,392.3,415.3,421.4
Total Long-Term Liabilities,142.3,154.2,157,160.9,124.2,109,145.8,148.6,154.2,163.2,195.6,176.4,139.9,153.3,220,214,173.6,261.9,265.6,271.1,"1,215","1,212","1,295","1,308","1,317","1,342","1,335","1,346","1,334","1,341","1,366","1,346","1,310","1,281","1,286","1,255","1,244","1,248","1,269","1,273"
Total Liabilities,"5,281","4,593","4,501","4,440","5,472","4,682","4,192","4,159","5,193","4,529","4,109","3,961","5,414","4,878","5,676","5,716","4,797","5,559","4,663","4,578","7,765","6,057","6,119","6,132","6,707","5,769","5,598","5,726","6,690","6,279","6,324","6,568","6,998","6,550","5,989","6,009","7,203","7,053","8,612","8,528"
Total Debt,0,0,0,0,0,0,0,0,0,0,51.3,103.1,55.4,0,57.2,133.4,57.7,0,56.7,57.3,853.6,809.4,946.8,948,953,898.8,898.1,896.1,896.9,897.1,897.1,893.1,885.6,881.2,879.1,874.8,871.2,865.7,867.1,865.5
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.50%,29.39%,4.15%,-,-0.87%,-57.05%,1379.38%,-,1569.84%,1554.45%,11.64%,11.05%,-5.14%,-5.47%,-5.89%,-0.19%,-0.11%,-0.33%,-1.26%,-1.77%,-2.01%,-2.05%,-1.63%,-1.76%,-1.37%,-1.06%
