,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"1,750","1,290","1,380","1,648","1,738","1,565","1,963","2,126","2,016","1,847","2,065","1,788","1,916","1,764","1,880","2,313","2,365","2,504","2,507","2,914","3,436","2,843","3,219","3,670","4,175","3,323","3,128","3,344","3,540","3,320","3,070","2,228","3,428","3,315","3,231","3,324","4,691","4,410","5,146","5,906"
Short-Term Investments,"1,268","1,250","1,335","1,321","1,272","1,227","1,397","1,399","1,448","1,466","1,426","1,079","1,141","1,206","1,245","1,216","1,367","1,047","1,033","1,000","1,020","1,082","1,117","1,108","1,162","1,096","1,147","1,194","1,429","1,421","1,435","1,549","1,559","1,515","1,559","1,544","1,614","1,639","1,691","1,743"
Cash & Cash Equivalents,"3,018","2,540","2,715","2,969","3,010","2,792","3,360","3,525","3,465","3,313","3,491","2,867","3,057","2,971","3,124","3,529","3,732","3,551","3,540","3,914","4,456","3,924","4,337","4,777","5,337","4,420","4,275","4,539","4,969","4,741","4,504","3,777","4,988","4,830","4,791","4,868","6,305","6,049","6,836","7,649"
Cash Growth,22.41%,4.15%,3.49%,1.97%,-0.27%,9.90%,23.76%,18.72%,15.11%,18.68%,3.89%,-18.67%,-11.77%,-10.34%,-10.51%,23.11%,22.09%,19.52%,13.30%,10.91%,19.41%,10.52%,22.50%,22.05%,19.77%,12.62%,-1.42%,-5.00%,-6.91%,7.28%,5.36%,-16.78%,0.38%,1.88%,6.35%,28.87%,26.41%,25.24%,42.71%,57.15%
Receivables,"1,020","1,187","1,232","1,313","1,047","1,305","1,228","1,118",879,"1,066","1,070","1,026",862.2,"1,146","1,281","1,324","1,128","1,469","1,547","1,609","1,314","1,736","1,711","1,729","1,306","1,277","1,248","1,365","1,198","1,650","1,526","1,476","1,575","1,928","1,960","2,019","1,920","2,347","2,351","2,304"
Inventory,813.6,958,969.1,988.1,925.7,865.7,888.2,893.1,796.5,829.1,824.9,824.1,727.8,772.2,885.3,983,928.4,"1,068","1,259","1,292","1,185","1,273","1,337","1,293","1,153","1,270","1,136","1,125","1,222","1,465","2,055","2,517","1,976","2,222","2,232","2,382","2,199","2,609","2,713","2,622"
Other Current Assets,215.7,233.7,225.8,199.9,218,263.4,278,281.4,159.2,184,151.7,152.7,91.6,147.8,150.2,144.4,294.5,318,397.6,254.8,208,292.2,248.2,253,220.2,438.5,384.2,416.1,381,482.2,695.8,538.5,558.2,562.8,595.9,614.9,535.8,644.4,491.3,501.1
Total Current Assets,"5,067","4,919","5,142","5,470","5,200","5,226","5,755","5,817","5,299","5,393","5,538","4,870","4,738","5,036","5,441","5,981","6,083","6,406","6,743","7,070","7,163","7,225","7,633","8,052","8,017","7,405","7,044","7,444","7,769","8,339","8,781","8,308","9,097","9,543","9,578","9,883","10,960","11,650","12,392","13,077"
"Property, Plant & Equipment","5,842","5,757","5,842","5,640","5,554","5,275","5,456","5,490","5,549","5,708","5,753","5,920","5,898","5,990","6,316","6,474","6,606","5,975","5,890","5,989","6,123","6,103","6,254","6,232","6,532","6,433","6,449","6,573","6,855","6,675","6,738","6,591","6,587","6,517","6,323","6,054","6,272","6,215","6,116","5,950"
Long-Term Investments,"8,812","8,864","8,880","8,853","9,043","8,973","9,313","9,308","9,304","9,280","9,055","9,078","8,837","8,971","9,229","9,549","9,697","10,104","10,186","10,579","10,841","11,356","11,605","11,672","12,086","11,700","11,133","11,325","11,821","11,740","11,899","11,402","11,921","12,564","12,649","12,549","13,792","14,542","15,664","16,260"
Other Long-Term Assets,"1,005","1,058","1,044","1,064",822,854,891.6,904.3,957.6,976.8,"1,082","1,101","1,166","1,043","1,068","1,101","1,054","1,298","1,337","1,466","1,356","1,473","1,677","1,812","1,727","1,757","1,781","1,893","1,815","1,751","1,595","1,608","1,905","1,963","2,038","2,137","2,252","2,420","2,696","2,753"
Total Long-Term Assets,"15,659","15,679","15,765","15,556","15,418","15,101","15,661","15,702","15,811","15,964","15,889","16,099","15,901","16,003","16,612","17,123","17,358","17,376","17,413","18,034","18,319","18,932","19,536","19,716","20,344","19,890","19,362","19,790","20,491","20,165","20,232","19,602","20,412","21,043","21,010","20,740","22,316","23,177","24,476","24,963"
Total Assets,"20,726","20,598","20,907","21,026","20,619","20,327","21,415","21,520","21,110","21,357","21,427","20,969","20,639","21,040","22,053","23,104","23,440","23,782","24,156","25,103","25,482","26,157","27,168","27,768","28,361","27,295","26,406","27,234","28,260","28,503","29,012","27,910","29,509","30,586","30,589","30,624","33,276","34,826","36,868","38,040"
Accounts Payable,"2,547","2,760","2,686","2,978","2,682","2,887","3,043","2,853","2,429","2,713","2,714","2,671","2,429","2,777","3,016","3,234","3,036","3,530","3,613","3,764","3,551","4,078","4,074","4,177","3,823","3,803","3,625","3,994","3,975","4,584","4,684","4,428","4,555","5,246","5,234","5,175","5,339","6,307","6,362","6,312"
Deferred Revenue,"1,094","1,048","1,042",982.8,970.9,882.1,961.4,"1,006","1,047","1,102","1,100","1,121","1,073","1,137","1,273","1,319","1,339",686.8,758.2,832.4,842.4,813.2,753,646,587.3,542.9,506,487.9,457.4,402.9,384.2,348.4,329.1,309.3,271.7,227,209.2,193.5,179.9,162.4
Current Debt,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Current Liabilities,"-1,166.7","-1,396.2","-1,387.4","-1,362.8","-1,001","-1,268.1","-1,357.1","-1,339.2",-911.7,-480.4,-639.6,"-1,495.5","-1,257.2","-1,525.2","-1,733.8","-1,793.1","-1,383.1","-1,199.9","-1,275.3","-1,362.5",-670.5,"-1,383.5","-1,359.2","-1,283.5",-419.8,"-1,125.1",-994.6,"-1,082.2",-775.8,"-1,024.8","-1,008",-939.6,-432.5,-946,-968.7,"-1,019.7",-61.4,"-1,062.4","-1,207.9","-1,236.5"
Total Current Liabilities,"2,624","2,411","2,341","2,598","2,652","2,501","2,647","2,521","2,564","3,334","3,174","2,296","2,245","2,389","2,555","2,760","2,992","3,017","3,096","3,234","3,723","3,507","3,468","3,540","3,991","3,221","3,136","3,399","3,657","3,962","4,060","3,837","4,452","4,610","4,537","4,382","5,486","5,439","5,334","5,238"
Long-Term Debt,"8,274","8,240","8,320","8,218","8,231","8,175","8,571","8,680","8,592","8,577","8,444","8,530","8,475","8,366","8,544","8,832","8,879","9,130","9,208","9,587","9,951","10,196","10,632","10,856","11,223","11,139","10,397","10,392","10,853","10,565","10,569","9,855","10,432","10,860","10,564","10,378","11,472","11,916","12,590","12,926"
Other Long-Term Liabilities,"3,193","3,083","3,088","3,047","2,983","2,920","2,979","2,975","3,014","3,103","3,099","3,165","3,142","3,206","3,454","3,576","3,519","3,068","3,073","3,111","3,216","3,348","3,433","3,409","3,442","3,298","3,097","3,258","3,360","3,259","3,200","2,888","3,032","2,973","2,969","2,970","3,151","3,590","3,865","3,853"
Total Long-Term Liabilities,"11,467","11,323","11,408","11,265","11,214","11,094","11,550","11,656","11,605","11,680","11,543","11,695","11,617","11,572","11,998","12,408","12,398","12,198","12,280","12,698","13,167","13,544","14,065","14,265","14,664","14,437","13,493","13,650","14,214","13,824","13,769","12,743","13,463","13,833","13,534","13,348","14,622","15,506","16,455","16,779"
Total Liabilities,"14,091","13,734","13,748","13,863","13,866","13,595","14,197","14,176","14,169","15,014","14,718","13,991","13,861","13,960","14,553","15,168","15,390","15,214","15,376","15,932","16,890","17,052","17,533","17,805","18,655","17,657","16,630","17,049","17,870","17,786","17,828","16,580","17,915","18,443","18,071","17,730","20,108","20,944","21,788","22,016"
Total Debt,"8,424","8,240","8,320","8,218","8,231","8,175","8,571","8,680","8,592","8,577","8,444","8,530","8,475","8,366","8,544","8,832","8,879","9,130","9,208","9,587","9,951","10,196","10,632","10,856","11,223","11,139","10,397","10,392","10,853","10,565","10,569","9,855","10,432","10,860","10,564","10,378","11,472","11,916","12,590","12,926"
Debt Growth,6.90%,4.85%,5.17%,-0.82%,-2.30%,-0.79%,3.02%,5.62%,4.38%,4.93%,-1.47%,-1.73%,-1.35%,-2.47%,1.18%,3.54%,4.77%,9.14%,7.77%,8.55%,12.06%,11.68%,15.47%,13.24%,12.79%,9.24%,-2.21%,-4.27%,-3.29%,-5.15%,1.65%,-5.17%,-3.88%,2.80%,-0.04%,5.30%,9.97%,9.72%,19.18%,24.55%
Common Stock,460.5,481.4,486.6,458.9,469.2,484.9,495.1,423,420.6,374.7,382,388.2,420.8,446.4,449.8,461.1,475,475.5,401.8,347.6,416,407.9,395.8,354,407.7,379.1,387.6,419.8,435.1,470.1,474.7,477.5,489.3,513.1,519.8,525.8,718.1,749.9,761.6,778.3
Retained Earnings,"6,165","6,368","6,609","6,902","6,864","7,164","7,533","7,879","7,537","6,858","7,255","7,517","7,485","7,691","7,976","8,291","8,369","8,810","9,271","9,718","9,275","9,793","10,302","10,799","10,399","10,642","10,679","10,954","11,005","11,364","11,739","11,998","12,026","12,508","13,110","13,761","13,402","14,005","15,096","16,182"
Comprehensive Income,8.7,14,63.5,-198.6,-579.8,-917.3,-809.6,-958.2,"-1,017",-889.2,-927.1,-926.7,"-1,128.1","-1,058",-925.2,-816.2,-793.6,-718.3,-893.7,-895,"-1,098.5","-1,095.5","-1,062.2","-1,190","-1,100.1","-1,383.9","-1,289.9","-1,189","-1,050.3","-1,116.4","-1,029.6","-1,145.2",-921.1,-877.7,"-1,111.7","-1,393.1",-953.4,-873.2,-777.8,-937.6
Shareholders' Equity,"6,634","6,864","7,159","7,163","6,753","6,732","7,219","7,344","6,940","6,343","6,710","6,978","6,778","7,079","7,501","7,936","8,051","8,567","8,779","9,171","8,593","9,106","9,635","9,963","9,706","9,637","9,777","10,184","10,390","10,718","11,184","11,330","11,594","12,143","12,518","12,894","13,167","13,882","15,079","16,023"
Net Cash / Debt,"-5,406.6","-5,699.6","-5,604.4","-5,249.2","-5,221","-5,382.7","-5,210.2","-5,155.2","-5,127","-5,263.9","-4,953.2","-5,663.5","-5,418.6","-5,394.7","-5,419.7","-5,302.7","-5,147.6","-5,579.4","-5,667.6","-5,672.6","-5,494.2","-6,272.2","-6,295.4","-6,078.7","-5,885.5","-6,719","-6,121.4","-5,853.8","-5,884.7","-5,823.6","-6,064.2","-6,077.9","-5,444.1","-6,029.9","-5,773.8","-5,510.2","-5,166.5","-5,866.8","-5,753.7","-5,276.2"
Net Cash Per Share,-10.13,-10.67,-10.49,-9.82,-9.78,-10.08,-9.75,-9.66,-9.65,-9.99,-9.39,-10.73,-10.27,-10.20,-10.24,-10.02,-9.72,-10.52,-10.72,-10.76,-10.47,-12.02,-12.07,-11.67,-11.30,-12.90,-11.77,-11.23,-11.27,-11.14,-11.60,-11.63,-10.41,-11.52,-11.04,-10.53,-9.87,-11.19,-10.96,-10.04
Working Capital,"2,443","2,508","2,802","2,872","2,549","2,725","3,108","3,297","2,735","2,059","2,364","2,574","2,494","2,648","2,886","3,220","3,091","3,389","3,647","3,836","3,441","3,718","4,165","4,512","4,026","4,184","3,908","4,045","4,113","4,377","4,721","4,472","4,645","4,933","5,041","5,501","5,473","6,211","7,058","7,839"
Book Value Per Share,12.48,12.89,13.44,13.44,12.69,12.64,13.54,13.79,13.10,12.04,12.75,13.25,12.87,13.42,14.21,15.03,15.23,16.20,16.64,17.43,16.41,17.48,18.51,19.16,18.65,18.52,18.82,19.58,19.96,20.56,21.44,21.72,22.20,23.25,23.95,24.67,25.20,26.52,28.79,30.57
