,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,258.05,218.4,247.21,196.15,-240.95,164.52,115.05,-599.17,115.76,301.38,150.92,58.44,460.38,19.28,-7.79,-59.3,39.84,89.48,98.95,830.16,61.03,-13.99,-46.25,43.2,277.46,51.13,-63.77,146.13,143.34,275.99,54.44,28.49,69.64,68.06,353.37,6.39,117.7,51.75,64.05,70.79
Depreciation & Amortization,107.39,113.13,122.98,116.5,114.52,120.4,134.7,141.16,141.32,141.39,142.87,147.42,136.55,130.75,130.59,136.83,143.25,143.29,132.2,130.76,131.95,165.3,171.94,190.8,189.28,178.49,173.63,155.75,157.54,171.46,177.18,178.11,177.73,180.49,173.19,179.16,179.23,197.57,184.56,188.54
Share-Based Compensation,4.89,6.12,5.46,5.42,6.17,9.56,5.34,5.06,5.35,4.16,9.8,3.58,3.77,3.33,3.77,3.39,5.92,4.3,2.88,3.47,4.11,6.25,4.17,3.63,4.83,4.14,4.42,3.98,4.36,5.1,4.44,4.31,4.72,5.3,4.61,11.82,3.29,4.25,3.43,3.51
Other Operating Activities,-124.21,22.39,-100.77,47.1,350,69.07,18.26,807.14,5.83,-48.97,27.79,5.85,-408.34,85,79.6,127.62,6.76,5.98,-41.21,-749.98,-38.95,64.03,117.79,-20.48,-378.15,-9.35,105.27,-87.41,-184.96,-215.97,-24.58,12.73,-59.88,1.36,-288.14,9.45,-127.54,44.1,1.05,-31.75
Operating Cash Flow,247.18,360.52,275.32,365.6,230.07,363.92,273.67,354.49,268.62,398.3,331.72,215.5,193.13,238.46,206.31,209.15,196.16,243.51,193.24,215.79,158.58,221.98,248.04,217.47,95.04,224.78,219.9,218.71,122.73,236.87,211.74,223.91,194.18,255.49,243.64,206.96,173.92,297.82,253.26,231.25
Operating Cash Flow Growth,15.32%,0.92%,1.19%,19.75%,-6.92%,0.94%,-0.60%,-3.04%,16.76%,9.45%,21.21%,-39.21%,-28.10%,-40.13%,-37.81%,-2.95%,1.57%,2.12%,-6.33%,3.18%,-19.16%,-8.84%,28.36%,0.78%,-40.07%,1.26%,-11.34%,0.57%,29.13%,5.38%,-3.71%,2.38%,58.22%,7.86%,15.06%,-7.57%,-10.43%,16.57%,3.95%,11.74%
Capital Expenditures,-15.11,-333.22,-245.57,-55.27,-144.72,"-1,244.39",-34.45,-250.26,-213.33,-30.07,-171.35,82.58,"1,108",-105.47,-225.48,-512.62,-124.62,145.34,-62.03,"1,050",-139.49,-902.07,-612.17,-455.84,168.15,-352.05,-226.53,-341.53,766.53,664.26,-528.86,-707.86,-321.93,-216.71,-264.67,-297.09,-96.34,-214.16,-212.26,-196.25
Acquisitions,0,0,-373.12,0,-27.28,-4.23,-11.73,-26.69,-10.14,-0.02,-0.01,-0.02,454.13,-13.19,-4.47,-20.56,-3.69,333.34,389.24,-1.39,-3.87,-4.67,-5.53,443.75,-398.07,5.49,-11.39,-29.33,-5.92,-4.24,-2.66,-12.43,-1.49,-0.49,118.7,-11.88,-9.64,-18.57,-20.27,-39.91
Change in Investments,-39.15,-1.74,65.91,-505.53,-159.01,-63.95,-8.02,283.38,38.04,45.43,8.38,-133.55,170.36,360.96,-9.4,6.56,131.78,-5.73,-5.73,-43.58,-22.41,-37.43,260.61,-6.09,76.27,-38.31,3.76,115.48,-3.7,260.8,20.35,47.15,73.58,0.4,25.75,5.52,156.46,22.89,-5.11,10.77
Other Investing Activities,7.71,-3.69,-19.25,6.14,2.72,-4.21,13.68,18.79,19.67,-3.19,2.44,-63.83,0.87,0.74,3.24,32.18,7.26,8.09,4.29,6.84,5.5,15.47,4.55,10.91,2.64,0.61,2.95,14.16,10.83,23.76,2.55,0.5,3.88,1.62,3.25,5.22,5.86,14.83,15.22,9.71
Investing Cash Flow,-46.55,-338.65,-572.03,-554.65,-328.29,"-1,316.78",-40.52,25.22,-165.76,12.14,-160.54,-114.81,"1,734",243.04,-236.11,-494.44,10.73,481.04,325.77,"1,012",-160.28,-928.7,-352.54,-7.26,-151.01,-384.26,-231.21,-241.22,767.73,944.57,-508.62,-672.64,-245.96,-215.17,-116.98,-298.23,56.35,-195.01,-222.42,-215.67
Dividends Paid,-250.2,-250.17,-250.47,-250.72,-260.69,-261.21,-261.68,-263.06,-268.19,-268.88,-269.18,-173.3,-173.63,-173.49,-173.66,-174.18,-174.15,-174.29,-174.13,-174.35,-177.29,-177.26,-182.11,-183.46,-188.5,-199.55,-199.55,-199.48,-164.12,-161.97,-162,-162,-163.45,-161.83,-161.68,-161.09,-164.98,-163.95,-164.01,-164.08
Share Issuance / Repurchase,24.66,20.66,16.15,22.43,56.33,29.1,76.06,36.24,30.49,11.56,8.47,8.45,-0.06,9.59,4.13,9.68,0.63,0.03,0.69,212.88,-1.34,403.79,103.3,284.8,"1,057",0.51,0.24,0.92,-11.08,-0.23,3.47,0.04,-11.36,-0.27,-55.98,307.87,-6.62,-0.15,0.02,0.5
Debt Issued / Paid,-212.74,215.9,567.38,525.31,266.26,"1,172",-36.38,-23.01,-114.02,-124.47,111.85,"-1,676.57","-1,060.27",-681.87,-87.24,408.5,68.83,-541.85,-650.48,"-1,231.16",192.56,491.62,160.6,-271.73,-98.34,312.07,-318.86,120.91,-741.21,-913.92,487.18,629.99,163.57,116.52,135.51,-95.19,-45.57,120.13,93.69,202.52
Other Financing Activities,-13.17,-3.93,-6.88,-9.4,-10.19,-8.1,-5.17,108.03,-2.69,-6.56,-5.71,"1,684",-5.01,-7.43,-6.03,-37.5,-66.55,-4.39,291.5,-3.75,-5.42,-2.01,21.8,-10.58,-8.43,-6.86,-7.63,-17.69,-7.72,-9.03,-7.27,-68.66,-7.28,-8,-11.28,-2.61,-22.71,-15.52,-7.14,0.58
Financing Cash Flow,-451.45,-17.55,326.17,287.62,51.72,931.32,-227.16,-141.79,-354.4,-388.35,-154.58,-156.94,"-1,238.97",-853.2,-262.8,206.5,-171.24,-720.5,-532.42,"-1,196.38",8.52,716.14,103.59,-180.98,761.42,106.16,-525.8,-95.34,-924.12,"-1,085.15",321.38,399.37,-18.51,-53.57,-93.44,48.99,-239.88,-59.5,-77.44,39.52
Exchange Rate Effect,0,0,-0,1.71,-0.14,0.14,-1.27,-0.27,-0.29,-0.3,-0.16,-0.27,0.01,0.22,0.17,-0.03,0.11,-0.09,0.22,-0.05,-0.02,-0.02,-0.04,0.32,-0.01,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Cash Flow,-250.82,4.33,29.46,100.28,-46.64,-21.4,4.73,237.64,-251.84,21.79,16.44,-56.52,687.93,-371.47,-292.42,-78.82,35.77,3.96,-13.19,31.11,6.81,9.4,-0.95,29.55,705.44,-53.46,-537.1,-117.85,-33.67,96.29,24.5,-49.36,-70.29,-13.26,33.23,-42.29,-9.61,43.3,-46.6,55.1
