,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,200,386,212,444,476,586,345,439,309,471,187,327,-98,114,109,395,956,558,269,412,199,700,153,403,437,448,451,575,431,648,-177,"-1,564",445,-2,131,114,788,"1,287",591,139
Depreciation & Amortization,292,306,295,318,308,330,317,313,254,224,224,231,797,828,641,252,265,280,280,294,304,314,307,307,320,324,315,317,329,341,322,283,270,283,269,270,278,282,279,282
Other Operating Activities,231,424,-175,326,-160,763,-107,242,128,519,97,481,-147,255,-192,331,-694,302,-56,153,-82,204,146,175,-87,381,-255,-39,-175,38,-123,"1,410",-157,191,-516,-39,-264,268,-298,266
Operating Cash Flow,723,"1,116",332,"1,088",624,"1,679",555,994,691,"1,214",508,"1,039",552,"1,197",558,978,527,"1,140",493,859,421,"1,218",606,885,670,"1,153",511,853,585,"1,027",22,129,558,472,-116,345,802,"1,837",572,687
Operating Cash Flow Growth,51.89%,27.25%,-28.76%,-0.37%,-13.69%,50.45%,67.17%,-8.64%,10.74%,-27.70%,-8.47%,4.53%,-20.12%,-1.40%,9.84%,-5.87%,-4.53%,-4.76%,-11.65%,-12.17%,-20.11%,6.84%,22.92%,3.03%,59.14%,-5.34%,-15.68%,-3.62%,-12.69%,-10.93%,-95.69%,-84.88%,-4.62%,-54.04%,-,167.44%,43.73%,289.19%,-,99.13%
Capital Expenditures,-709,-609,-620,-693,-898,-747,-996,"-1,039","-1,081","-1,065",-906,"-1,014","-1,214","-1,062",-919,"-1,065","-1,144","-1,053",-952,"-1,023",-853,-795,-809,-709,-783,-720,-694,-378,-830,-633,-105,-743,-669,"1,204",-605,-773,-796,-719,-705,-916
Change in Investments,5,-12,8,-2,12,-29,-4,2,-20,-5,-10,-10,-7,-9,-6,-1,-5,-10,2,-7,43,-10,-8,-10,1,-10,-11,0,5,2,4,-4,-105,-9,-5,-14,-121,-13,282,-5
Other Investing Activities,-9,-8,-41,-11,-18,-3,6,-31,-,-11,-7,-26,27,-8,15,-49,-3,-10,-4,-56,7,-11,11,-18,-4,6,-4,-44,4,7,-68,-43,113,-12,-42,-43,115,18,18,10
Investing Cash Flow,-713,-629,-653,-706,-904,-779,-994,"-1,068","-1,101","-1,081",-923,"-1,050","-1,194","-1,079",-910,"-1,115","-1,152","-1,073",-954,"-1,086",-803,-816,-806,-737,-786,-724,-709,-422,-821,-624,-169,-790,-661,"1,183",-652,-830,-802,-714,-405,-911
Dividends Paid,-182,-187,-187,-187,-187,-197,-197,-198,-197,-207,-208,-207,-208,-218,-217,-217,-218,-227,-228,-227,-228,-238,-237,-238,-237,-248,-247,-248,-248,-258,-258,-257,-258,-271,-270,-269,-269,-284,-285,-284
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0
Debt Issued / Paid,221,-114,443,-59,183,-58,233,-46,726,327,688,27,833,-73,810,202,890,52,676,449,697,-215,464,131,369,547,72,360,54,202,-299,"2,636",-634,-93,"1,637","-1,078",365,-50,-553,73
Other Financing Activities,-4,-24,-20,-3,-17,-39,-8,-8,4,-55,-9,-7,-8,-56,-6,-,-12,-73,-10,-,6,-52,-8,-,4,-62,-2,-11,3,-78,7,-2,-2,-12,5,4,-3,-46,14,-62
Financing Cash Flow,35,-325,236,-249,-21,-294,28,-252,533,65,471,-187,617,-347,587,-15,660,-248,438,222,475,-505,219,-107,136,237,-177,101,-191,-134,-550,"2,377",-894,-876,"1,372","-1,343",93,-380,-824,-273
Net Cash Flow,45,162,-85,133,-301,606,-411,-326,123,198,56,-198,-25,-229,235,-152,35,-181,-23,-5,93,-103,19,41,20,666,-375,532,-427,269,-697,"1,716",-997,779,604,"-1,828",93,743,-657,-497
Free Cash Flow,14,507,-288,395,-274,932,-441,-45,-390,149,-398,25,-662,135,-361,-87,-617,87,-459,-164,-432,423,-203,176,-113,433,-183,475,-245,394,-83,-614,-111,"1,676",-721,-428,6,"1,118",-133,-229
Free Cash Flow Growth,-,231.37%,-,-0.25%,-,83.83%,-,-,-,-84.01%,-,-,-,-9.40%,-,-,-,-35.56%,-,-,-,386.21%,-,-,-,2.36%,-,169.89%,-,-9.01%,-,-,-,325.38%,-,-,-,-33.29%,-,-
Free Cash Flow Margin,0.60%,15.73%,-12.81%,14.96%,-9.88%,29.73%,-19.06%,-1.67%,-17.12%,5.70%,-20.89%,1.02%,-33.18%,5.21%,-16.85%,-3.86%,-29.28%,3.09%,-22.77%,-6.85%,-17.50%,14.19%,-8.77%,7.65%,-4.56%,15.57%,-8.93%,20.04%,-10.20%,13.64%,-4.43%,-32.26%,-3.63%,72.46%,-34.73%,-18.84%,0.19%,29.77%,-5.49%,-9.32%
Free Cash Flow Per Share,0.03,1.00,-0.57,0.78,-0.54,1.84,-0.87,-0.09,-0.77,0.29,-0.79,0.05,-1.31,0.27,-0.71,-0.17,-1.22,0.17,-0.91,-0.33,-0.86,0.84,-0.40,0.35,-0.22,0.86,-0.36,0.94,-0.49,0.78,-0.17,-1.22,-0.22,3.35,-1.45,-0.86,0.01,2.25,-0.27,-0.46
