,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-29,2019-12-31,2020-03-29,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04,2021-10-03,2021-12-31,2022-04-03,2022-07-03,2022-10-02,2022-12-31,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,"2,183","2,862","3,406","2,437","3,343","3,563","3,670","3,099","3,641","2,561","3,411","2,094","2,595","4,057","2,585","2,779","1,342","2,302","2,704","3,559","1,139","1,937","1,784","2,785","1,121","2,151","1,801","1,587","1,786","1,768","2,372","1,966","1,944","2,470","1,780","1,298",416,"2,166","2,632","3,148"
Short-Term Investments,"30,225","31,019","30,648","31,009","32,779","24,145","26,586","17,559","19,649","16,882","17,531","12,277","15,255","10,503","11,748","14,146","18,650","9,119","10,727","13,680","17,694","9,682","11,128","6,302","8,525","8,199","20,993","20,325","10,437","11,899","19,328","27,730","29,125","21,427","31,524","34,825","22,316","17,806","42,153","41,033"
Cash & Cash Equivalents,"32,408","33,881","34,054","33,446","36,122","27,708","30,256","20,658","23,290","19,443","20,942","14,371","17,850","14,560","14,333","16,925","19,992","11,421","13,431","17,239","18,833","11,619","12,912","9,087","9,646","10,350","22,794","21,912","12,223","13,667","21,700","29,696","31,069","23,897","33,304","36,123","22,732","19,972","44,785","44,181"
Cash Growth,0.03%,-4.14%,1.02%,-0.69%,11.46%,-18.22%,-11.15%,-38.23%,-35.52%,-29.83%,-30.78%,-30.43%,-23.36%,-25.11%,-31.56%,17.77%,12.00%,-21.56%,-6.29%,1.86%,-5.80%,1.73%,-3.86%,-47.29%,-48.78%,-10.92%,76.53%,141.14%,26.72%,32.05%,-4.80%,35.52%,154.18%,74.85%,53.47%,21.64%,-26.83%,-16.42%,34.47%,22.31%
Receivables,"9,357","9,399","10,388","9,955","8,401","8,920","8,951","9,535","8,176","9,033","9,138","9,836","8,225","8,892","9,476","10,002","8,221","9,452","9,873","10,024","8,025","9,599","9,793","9,439","6,772","9,881","9,128","10,012","7,913","9,864","10,587","11,897","11,479","13,225","15,155","16,076","10,952","12,305","10,231","11,086"
Inventory,"6,166","6,066","6,249","6,355","5,663","5,786","5,796","7,678","7,513","7,578","7,614","7,507","6,783","7,415","7,584","7,925","7,578","8,148","8,074","8,184","7,508","8,029","8,233","8,222","7,068","8,423","8,564","9,295","8,020","8,493","8,948","8,640","9,059","9,979","10,454","9,513","8,981","9,541","10,310","10,204"
Other Current Assets,"8,313","8,447","7,596","7,231","5,409","7,029","6,712","7,130","4,825","5,244","6,151","6,787","6,091","5,011","4,992","5,439","5,350","5,814","5,925","6,136","15,560","16,043","16,135","6,711","9,317","6,084","5,938","6,520","6,911","7,509","7,579","7,667","8,086","7,319","8,553","8,691","8,594","8,260","8,021","8,541"
Total Current Assets,"56,244","57,793","58,287","56,987","55,595","49,443","51,715","45,001","43,804","41,298","43,845","38,501","38,949","35,878","36,385","40,291","41,141","34,835","37,303","41,583","49,926","45,290","47,073","33,459","32,803","34,738","46,424","47,739","35,067","39,533","48,814","57,900","59,693","54,420","67,466","70,403","51,259","50,078","73,347","74,012"
"Property, Plant & Equipment","12,397","12,347","12,179","12,032","11,762","11,527","11,432","13,695","13,766","13,584","13,609","13,284","13,318","13,238","13,386","13,505","13,865","13,971","13,919","14,036","13,385","13,467","13,521","13,701","12,969","14,040","14,113","14,403","13,745","14,011","14,224","14,436","14,882","15,109","15,244","15,441","16,274","17,052","17,488","17,862"
Long-Term Investments,"16,406","15,822","17,168","18,451","17,518","18,289","17,650","16,233","15,999","14,146","13,124","9,507","7,116","7,346","7,008","7,311","7,015","6,945","6,595","6,444","2,767","2,859","2,905","18,722","20,147","18,220","18,720","19,008","20,262","20,228","20,942","21,597","21,526","20,737","18,962","13,888","15,069","14,743","15,066","14,239"
