,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,233.4,293.7,306.3,240.7,270.4,414.2,241.1,300.4,253.6,368,322.3,308.2,318,348.9,309.5,810.2,841.8,397.1,456.6,456.3,236.5,429.9,386.3,277.1,300.9,288.9,398.3,236,472.6,517.1,361.8,359.9,471.8,338.7,"3,119","1,316",-9.5,-140.1,388.8,"1,246"
Depreciation & Amortization,39.4,40.5,41,41.3,46.7,41.6,41.7,66,43.7,45.8,47.4,46.4,47,48.1,47.4,49.3,50.9,50.6,50.6,50.7,53.2,0,0,0,226.8,0,0,0,251.9,0,0,0,275.3,0,0,0,295.9,0,0,0
Share-Based Compensation,16.8,21.6,17.7,19.1,16.9,31.8,18.5,16.4,17.8,22.3,17.8,18.6,25.7,22.1,21.9,18.2,20.5,21.6,19.2,19.5,17.1,0,0,0,82.6,0,0,0,87.2,0,0,0,96.1,0,0,0,91.3,0,0,0
Other Operating Activities,525.4,227.3,412.7,511,563,135.1,"1,169",822.8,739,459.4,842.6,428.5,539.8,103.8,927.4,921.9,-353.9,277.2,365.3,"1,549","1,136",746.5,"1,116","1,509",418.1,"1,300",58.7,828.3,-212.8,-376.3,631,613.5,304.2,-307.2,"-2,311.5",-144.7,785.5,835.4,713.7,-195.6
Operating Cash Flow,823.3,591.3,786,820.3,905.3,630.9,"1,487","1,206","1,054",895.5,"1,230",801.7,930.5,522.9,"1,306","1,800",559.3,746.5,891.7,"2,076","1,443","1,176","1,502","1,786","1,028","1,589",457,"1,064",598.9,140.8,992.8,973.4,"1,147",31.5,807.2,"1,171","1,163",695.3,"1,103","1,051"
Operating Cash Flow Growth,16.43%,-0.77%,318.75%,33.53%,9.96%,6.70%,89.12%,46.97%,16.44%,41.94%,-17.25%,-33.50%,-11.73%,-41.61%,6.19%,124.47%,-39.89%,42.76%,-31.73%,15.34%,157.93%,57.59%,68.44%,-13.94%,-28.71%,35.08%,-69.57%,-40.42%,-41.76%,-91.14%,117.24%,-8.54%,91.58%,-77.63%,-18.69%,20.30%,1.38%,2107.30%,36.58%,-10.28%
Capital Expenditures,-36.7,-49.8,-43.5,-24.2,-18.5,-32.8,-34.5,-29,-40.1,-44.2,-30.5,-34.4,-45.8,-43.8,-60.3,-29.2,-31.5,-26,-17.6,-29.8,-18.9,-29.4,-36,-32.7,-34.3,-18,-28.4,-36.5,-25.9,-22.9,-22.9,-63.1,-21,-25.4,-26.3,-34.6,-30,-31.4,-20.9,-21.8
Acquisitions,0,0,0,0,0,0,0,-293.7,2.5,0,0,0,0,0,0,0,0,-113.9,-27.6,-43.2,0,0,0,"-1,209.6",1.1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Change in Investments,180.3,-854.7,327.6,-239.3,-188.6,-148.6,-546.6,-664.6,"-1,281.4","-1,778.2","-1,827.4",-776,-678.9,"-1,747.8",-633.3,"-1,308.9",-609.1,-828.2,"-1,390.7","-2,003",-964.4,"-1,248.4",-833.4,"-1,309.5","-2,563.5",-908.9,"-1,254.7","-1,553.8","-1,135.5",-964.9,78.8,"-1,955.8","-2,740",120.5,-494.1,644.8,597.8,-761.5,90.2,55.9
Other Investing Activities,62.9,69.2,54.6,-67.2,-138.3,-48.1,-126.5,157.6,-81.8,-30.9,37.2,-13.2,68.4,-39.4,20.3,524.7,-94.5,-11.8,74.3,8.8,-310.5,-213.3,16.5,-30.4,-165.6,14.2,-25.3,171.5,-195.2,-31.4,20.5,94.4,-92.4,31.7,295.7,-22.3,0.7,-311.2,-47.6,-83.6
