,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,75.1,96.7,126.1,90.6,108.4,101.5,263.8,194.5,224.4,209.9,134.7,165.7,226.4,215,161.8,256.3,275.3,196.6,157.7,122.7,75,158.7,92.9,46.2,227.4,370.4,109.1,91.1,76.5,123.2,114.6,285.5,202.1,287.3,240.5,365.3,220.9,288.6,179.5,138.4
Cash & Cash Equivalents,75.1,96.7,126.1,90.6,108.4,101.5,263.8,194.5,224.4,209.9,134.7,165.7,226.4,215,161.8,256.3,275.3,196.6,157.7,122.7,75,158.7,92.9,46.2,227.4,370.4,109.1,91.1,76.5,123.2,114.6,285.5,202.1,287.3,240.5,365.3,220.9,288.6,179.5,138.4
Cash Growth,-58.07%,-12.25%,30.13%,-10.21%,44.34%,4.96%,109.20%,114.68%,107.01%,106.80%,-48.94%,-14.81%,0.89%,2.43%,20.12%,54.68%,21.60%,-8.56%,-2.53%,-52.13%,-72.76%,-19.28%,-41.09%,-62.35%,203.20%,133.40%,17.44%,97.19%,-66.36%,-66.74%,5.04%,213.39%,164.18%,133.20%,109.86%,27.95%,9.30%,0.45%,-25.36%,-62.11%
Receivables,"3,386","3,598","3,656","3,798","3,623","3,876","4,100","4,362","4,187","4,596","4,700","4,918","4,680","5,033","5,304","5,732","7,899","8,626","8,931","9,647","9,503","10,479","10,557","11,444","11,513","11,646","11,573","13,025","12,548","14,030","14,765","15,953","14,838","15,999","15,987","17,542","16,545","18,297","18,033","17,974"
"Property, Plant & Equipment",960.9,950,952.5,954,960.6,957.5,"1,019","1,024","1,037","1,062","1,084","1,115","1,177","1,166","1,152","1,129","1,120","1,112","1,116","1,139","1,132","1,127","1,175","1,214","1,214","1,215","1,190","1,182","1,106","1,077","1,086","1,161","1,137","1,104","1,125","1,067","1,034",949,989,919.8
Goodwill and Intangibles,0,0,12.9,12.9,12.9,12.9,998.9,956.9,942.5,927,913.2,897.7,882.2,866.7,854.5,837.3,819.3,801.3,783.3,765.3,747.3,729.4,711.4,695.6,681,666.5,652.4,638.2,624.1,609.9,599.2,584.6,570,555.4,325.1,319.7,314.2,308.8,305.7,302.8
Total Assets,"24,408","24,315","25,453","25,926","25,788","26,881","29,304","29,935","29,819","30,722","31,958","33,621","33,428","34,811","36,690","38,933","38,701","41,331","43,364","45,544","46,575","48,850","51,324","54,008","54,911","56,266","59,421","62,906","64,098","65,413","69,824","72,618","71,132","73,930","73,057","75,524","75,465","80,407","82,945","85,653"
Accounts Payable,"1,785","1,912","2,134","2,264","1,894","2,166","2,253","2,431","2,068","2,451","2,706","2,722","2,496","2,939","3,153","3,273","3,481","3,414","3,922","3,924","5,047","4,594","4,868","5,223","5,992","5,348","5,577","5,407","7,650","5,829","6,080","6,453","6,069","6,747","5,931","5,932","5,533","6,279","6,524","7,031"
Deferred Revenue,"5,175","5,460","5,583","5,777","5,440","5,854","6,642","6,972","6,622","7,141","7,470","7,792","7,468","7,945","8,408","9,005","8,904","9,838","10,246","11,009","10,687","11,604","11,797","12,527","12,389","12,641","13,056","14,199","13,438","15,046","15,556","16,671","15,616","16,991","17,275","17,797","17,294","19,844","20,070","20,762"
Total Liabilities,"18,219","17,877","18,664","18,991","18,859","19,679","21,511","22,030","22,065","22,694","23,656","25,054","24,987","25,793","27,197","29,145","28,913","30,494","32,145","33,468","35,539","36,518","37,773","39,662","41,012","41,689","42,751","44,819","47,060","47,577","51,149","54,060","52,901","56,878","57,405","60,748","59,574","63,539","66,234","68,257"
