,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,74.82,41.88,140.55,217.09,54.97,103.32,107.77,228.03,83.3,117.76,128.47,273.17,91.52,100.75,177.54,77.41,170.75,324.09,289.54,237.65,166.76,241.04,273.1,335.8,203.71,348.62,416.4,438.11,304.11,503.4,475.55,663.27,454.72,652.44,627.93,882.23,532.26,720.35,638.78,710.99
Depreciation & Amortization,8.94,9.96,9.96,11,11.06,10.79,11.87,12.5,13.11,13.59,13.51,13.79,13.21,12.81,12.67,12.31,11.89,12.27,12.56,12.71,13.21,13.29,13.81,13.7,15.15,16.39,17,17.55,17.14,18.27,17.62,16.93,16.18,17.21,18.54,18.98,19.14,20.07,20.56,21.06
Share-Based Compensation,8.52,8.28,4.49,8,8.28,6.37,5.49,4.61,9.36,7.55,2.91,2.42,14.16,6.71,5.63,7.18,8.45,7.71,5.36,6.77,9.02,8.29,4.09,6.98,11.48,5.2,8.33,7.83,11.63,9.97,6.84,8.31,16.62,13.03,9.88,3.47,12.49,15.47,10.44,9.8
Other Operating Activities,-0.89,-77.23,-27.45,-130.05,-99.71,-286.2,-178.92,-337.84,-168.69,-396.09,-131.29,85.4,-79.09,16.25,-119.69,313.7,-22.08,34.5,159.95,176.17,-30.08,-115.81,-13.92,136.75,-25.72,233.05,17.03,54.23,-156.13,-276.32,-383.84,-232.71,-279.85,-788,"-1,062.62",67.71,147.48,-16.67,-212.02,-453.43
Operating Cash Flow,91.4,-17.11,127.55,106.05,-25.4,-165.71,-53.8,-92.69,-62.92,-257.19,13.6,374.78,39.8,136.52,76.15,410.6,169.01,378.57,467.4,433.3,158.91,146.8,277.07,493.22,204.62,603.26,458.75,517.72,176.75,255.32,116.16,455.8,207.67,-105.32,-406.27,972.39,711.37,739.22,457.76,288.42
Operating Cash Flow Growth,-66.23%,-,-41.99%,-67.49%,-,-,-,-,-,-,-,-,-,-,459.95%,9.56%,324.62%,177.29%,513.76%,5.53%,-5.98%,-61.22%,-40.72%,13.83%,28.77%,310.93%,65.57%,4.97%,-13.62%,-57.68%,-74.68%,-11.96%,17.49%,-,-,113.34%,242.55%,-,-,-70.34%
Capital Expenditures,-17.84,-15.08,-8.97,-6.9,-14.52,-8.6,-10.93,-11.39,-9.46,-11.58,-9.51,-8.74,-10,-6.9,-6.66,-8.5,-15.43,-17.63,-13.47,-12.51,-16.07,-13.51,-13.59,-14.96,-20.14,-16.61,-10.18,-11.43,-14.75,-16.8,-20.59,-20.65,-30.69,-31.87,-26.03,-24.08,-23.74,-21.33,-22.49,-24.64
Acquisitions,6.38,1.19,-85.04,-4.96,0,0,0,-0.45,-443.55,-0.25,-0.71,-0.49,-14.8,-3.03,-4.18,-1.03,-1,0,0,11.28,-1.29,-167.1,-3.64,-1,-77.36,7.06,6.33,7.91,-13.57,-2.25,-18.89,-23.35,-17.08,-40.79,-7.27,11.74,1.1,-6.74,-10.1,-4.4
Change in Investments,-8.38,-26.58,83.36,-48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,-,-,1.36,7.25,4.63,10.02,-0.98,-2.34,1.25,4.22,-,7.63,1.42,1.72,2.65,-0.94,0.45,6.46,8.63,-7.26,0.29,4.3,0.2,1.66,1.71,-0.11,2.12,2.75,0.7,-0.72,0.4,6.34,-0.2,-2.51,1.75,-4.72,-1.57,-1.71,-8.45,-5.03
