,2014-03-29,2014-06-28,2014-09-27,2014-12-31,2015-03-28,2015-06-27,2015-09-26,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"10,234","9,437","8,610","8,168","7,546","7,697","6,291","6,003","6,585","7,082","7,826","6,847","7,673","8,120","8,284","8,604","8,200","7,444","7,549","6,532","7,806","6,351","6,354","7,729","4,994","6,299","7,602","8,824","10,358","11,203","12,035","12,065","8,961","7,543","6,684","7,399","9,108","10,659","10,697","12,019","12,384"
Market Cap Growth,41.04%,20.53%,-1.81%,-20.95%,-26.26%,-18.43%,-26.94%,-26.50%,-12.74%,-7.99%,24.40%,14.04%,16.53%,14.66%,5.85%,25.67%,6.87%,-8.33%,-8.87%,-24.08%,-4.81%,-14.69%,-15.83%,18.32%,-36.03%,-0.82%,19.64%,14.16%,107.41%,77.87%,58.30%,36.73%,-13.48%,-32.67%,-44.46%,-38.67%,1.65%,41.31%,60.04%,62.44%,-
Enterprise Value,"12,959","12,007","11,417","11,062","10,824","10,816","11,132","10,587","11,264","11,461","12,066","10,887","11,965","9,642","9,679","9,931","9,966","8,145","8,283","7,245","9,098","7,567","7,442","8,676","6,358","7,221","8,408","9,581","11,279","11,824","12,643","12,864","10,035","8,400","9,096","9,637","11,481","12,632","12,553","13,837","14,202"
PE Ratio,21.57,14.61,-11.57,15.85,16.56,13.02,13.65,16.28,15.33,12.40,13.88,13.07,21.85,7.70,16.51,11.34,19.92,44.84,17.14,17.58,38.04,13.89,17.21,19.76,17.17,21.84,17.15,21.42,20.14,21.20,20.95,20.28,19.05,12.33,14.48,19.47,17.56,17.43,20.24,14.44,20.03
PS Ratio,1.38,1.28,1.18,1.13,1.09,1.15,0.97,0.93,1.01,1.07,1.25,1.20,1.44,1.68,1.70,1.74,1.63,1.64,1.88,1.87,2.67,2.16,2.16,2.61,1.68,2.18,2.55,2.92,3.26,3.29,3.37,3.20,2.30,1.88,1.63,1.80,2.19,2.56,2.59,2.93,3.02
PB Ratio,1.72,1.65,1.73,1.75,1.71,1.69,1.39,1.32,1.61,1.70,1.80,1.61,1.75,1.66,1.65,1.71,1.74,3.94,4.01,3.56,4.17,3.52,3.40,3.96,2.64,3.23,3.71,4.19,4.72,4.93,5.15,4.98,3.58,2.94,2.53,2.73,3.24,3.63,3.52,3.74,3.85
P/FCF Ratio,13.73,12.60,10.73,9.81,8.59,10.44,9.80,10.29,10.88,9.84,10.02,8.87,10.32,12.17,14.63,14.52,14.93,15.05,12.96,13.37,19.97,21.01,20.72,21.43,16.96,16.30,16.42,16.64,20.25,16.97,19.65,21.66,16.20,17.30,19.00,28.59,32.75,35.05,23.98,23.26,23.97
P/OCF Ratio,11.18,10.53,9.12,8.43,7.48,8.80,8.08,8.33,8.91,8.26,8.48,7.61,8.91,10.54,12.80,12.91,13.22,13.33,11.85,12.03,17.78,18.12,17.46,18.44,14.15,14.09,14.56,14.99,18.06,15.63,18.01,19.67,14.61,15.06,15.63,21.53,25.07,27.46,20.32,20.25,20.87
Debt / Equity Ratio,0.49,0.48,0.60,0.64,0.77,0.72,1.10,1.03,1.18,1.17,1.08,1.01,1.04,0.35,0.39,0.32,0.57,0.55,0.57,0.48,0.74,0.72,0.64,0.54,0.81,0.53,0.43,0.41,0.46,0.33,0.33,0.38,0.47,0.39,0.96,0.87,0.90,0.73,0.66,0.62,0.62
Quick Ratio,1.13,0.90,0.87,0.81,1.04,0.98,0.94,0.87,1.06,0.99,0.77,0.68,0.91,1.01,0.94,0.79,1.84,0.78,0.72,0.69,1.03,0.82,0.80,0.78,1.29,0.66,0.61,0.58,0.87,0.57,0.68,0.60,0.79,0.64,0.63,0.60,0.84,0.63,0.64,0.77,0.77
