,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,-44.97,-51.5,-73.52,-28.88,-26.8,3.3,11.6,6.8,16.8,4.6
Depreciation & Amortization,11.81,12.22,15.84,13.83,13.9,15.6,27.9,55.4,57.4,63.2
Share-Based Compensation,12.68,22.52,19.18,23.62,31.9,37.5,28.7,35.9,34.4,40.9
Other Operating Activities,23.83,25.68,25.95,7.34,22.3,-20.5,30.2,-14.1,-176.7,10.3
Operating Cash Flow,3.35,8.92,-12.55,15.91,41.3,35.9,98.4,84,-68.1,119
Operating Cash Flow Growth,-,166.43%,-,-,159.57%,-13.08%,174.09%,-14.63%,-,-
Capital Expenditures,-7.31,-11.49,-10.61,-22.12,-73.8,-157.4,-163.7,-166.5,-122.7,-135.8
Acquisitions,0,0,-4.72,5.71,0,0,0,0,0,-26
Change in Investments,0,0,0,-161.61,-133.6,-22.1,97.3,180.5,40,-7.8
Other Investing Activities,-,-,-,-,-3.4,-5,-7.2,-,-,-21.5
Investing Cash Flow,-7.31,-11.49,-15.32,-178.01,-210.8,-184.5,-73.6,14,-82.7,-191.1
Share Issuance / Repurchase,102.65,11.59,7.85,4.85,15.8,15.8,50.9,509.2,23.5,16.3
Debt Issued / Paid,-2.99,1.11,-5.58,174.58,292.8,-6.7,116.6,126.1,45.4,-39.8
Other Financing Activities,-3.27,-8.67,-2.65,-2.87,-4.1,-17.8,-94,-29.8,-28.2,-16.8
Financing Cash Flow,96.39,4.03,-0.37,176.57,304.5,-8.7,73.5,605.5,40.7,-40.3
Exchange Rate Effect,0,0,-0.28,0.03,0.4,-1.4,1.5,4.8,-5.5,-4.3
Net Cash Flow,92.43,1.47,-28.52,14.5,135.4,-158.7,99.8,708.3,-115.6,-116.7
Free Cash Flow,-3.96,-2.57,-23.16,-6.2,-32.5,-121.5,-65.3,-82.5,-190.8,-16.8
Free Cash Flow Margin,-1.60%,-1.11%,-8.78%,-1.69%,-7.01%,-21.55%,-8.85%,-9.12%,-17.36%,-1.29%
Free Cash Flow Per Share,-0.07,-0.05,-0.41,-0.11,-0.56,-2.06,-1.08,-1.27,-2.82,-0.24
