,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"3,636","4,082","3,935","3,138","3,662","4,100","3,725","3,027","3,544","3,782","3,660","3,417","3,486","3,804","3,776","3,682","3,781","4,131","3,817","3,645","3,624","4,024","3,826","3,672","3,377","3,015","3,685","3,757","3,881","4,359","4,372","4,190","4,308","4,691","4,468","4,185","4,380","4,872","4,644","4,350"
Revenue Growth (YoY),16.99%,5.12%,4.27%,-10.34%,0.72%,0.44%,-5.34%,-3.54%,-3.22%,-7.76%,-1.74%,12.88%,-1.64%,0.58%,3.17%,7.76%,8.46%,8.60%,1.09%,-1.00%,-4.15%,-2.59%,0.24%,0.74%,-6.82%,-25.07%,-3.69%,2.31%,14.92%,44.58%,18.64%,11.53%,11.00%,7.62%,2.20%,-0.12%,1.67%,3.86%,3.94%,3.94%
Cost of Revenue,"2,091","2,306","2,229","1,722","2,065","2,283","2,049","1,577","1,920","1,988","1,978","1,882","1,902","2,083","2,104","2,120","2,181","2,379","2,253","2,188","2,073","2,288","2,181","2,111","1,908","1,703","2,026","2,140","2,232","2,629","2,733","2,692","2,698","2,954","2,821","2,623","2,596","2,866","2,752","2,531"
Gross Profit,"1,545","1,776","1,706","1,416","1,597","1,817","1,676","1,450","1,624","1,794","1,682","1,535","1,584","1,721","1,672","1,562","1,600","1,752","1,564","1,457","1,551","1,736","1,645","1,561","1,469","1,312","1,659","1,617","1,649","1,730","1,639","1,498","1,610","1,737","1,647","1,562","1,784","2,006","1,892","1,819"
"Selling, General & Admin",900,985,941,870,914,954,875,869,906,930,893,835,875,876,894,909,906,945,867,855,889,934,887,894,905,766,836,882,891,955,950,984,974,982,931,955,992,"1,069","1,047","1,114"
Research & Development,120,126,120,117,119,123,117,112,116,115,115,109,109,112,114,116,112,114,110,105,105,111,107,109,101,86,92,100,102,107,114,116,115,115,110,108,104,110,108,111
Other Operating Expenses,143,137,272,127,147,302,144,112,139,140,"1,093",484,157,121,135,181,164,214,135,172,129,331,161,164,139,309,153,175,146,116,167,87,435,81,135,148,323,133,142,310
Operating Expenses,"1,163","1,248","1,333","1,114","1,180","1,379","1,136","1,093","1,161","1,185","2,101","1,428","1,141","1,109","1,143","1,206","1,182","1,273","1,112","1,132","1,123","1,376","1,155","1,167","1,145","1,161","1,081","1,157","1,139","1,178","1,231","1,187","1,524","1,178","1,176","1,211","1,419","1,312","1,297","1,535"
Operating Income,382,528,373,302,417,438,540,357,463,609,-419,107,443,612,529,356,418,479,452,325,428,360,490,394,324,151,578,460,510,552,408,311,86,559,471,351,365,694,595,284
Interest Expense / Income,47,48,47,45,29,34,31,31,30,31,34,29,25,26,27,27,26,31,31,30,31,35,33,33,32,41,34,31,30,31,30,30,30,38,46,53,59,67,64,57
Other Expense / Income,"-1,016",-31,-161,267,-38,-43,-57,-68,-26,-77,-49,-302,-29,-67,-232,-46,-29,-27,-36,-46,-17,-33,-19,-26,-22,-21,-22,90,-12,-70,-62,-9,-17,-38,17,-13,-38,-12,-16,48
Pretax Income,"1,351",511,487,-10,426,447,566,394,459,655,-404,380,447,653,734,375,421,475,457,341,414,358,476,387,314,131,566,339,492,591,440,290,73,559,408,311,344,639,547,179
Income Tax,89,125,116,-93,104,110,133,80,112,285,-220,40,110,157,124,224,87,104,79,83,102,86,109,95,71,29,124,67,114,160,96,4,55,118,79,73,80,149,121,89
Net Income,"1,262",386,371,83,322,337,433,314,347,370,-184,340,337,496,610,151,334,371,378,258,312,272,367,292,243,102,442,272,378,431,344,286,18,441,329,238,264,490,426,90
Net Income Growth,-47.63%,13.20%,64.16%,-67.32%,-74.48%,-12.69%,16.71%,278.31%,7.76%,9.79%,-,8.28%,-2.88%,34.05%,-,-55.59%,-0.89%,-25.20%,-38.03%,70.86%,-6.59%,-26.68%,-2.91%,13.18%,-22.12%,-62.50%,20.44%,-6.85%,55.56%,322.55%,-22.17%,5.15%,-95.24%,2.32%,-4.36%,-16.78%,1366.67%,11.11%,29.48%,-62.18%
Shares Outstanding (Basic),277,277,276,274,272,272,271,269,267,266,266,264,257,256,256,254,250,243,242,240,236,236,236,236,236,236,236,236,237,237,237,237,236,236,235,235,235,235,236,236
Shares Change,-3.03%,-3.07%,-3.55%,-3.37%,-1.78%,-1.69%,-1.79%,-1.89%,-1.96%,-2.13%,-1.64%,-1.96%,-3.63%,-3.71%,-3.68%,-3.61%,-2.81%,-4.97%,-5.64%,-5.73%,-5.60%,-3.05%,-2.37%,-1.43%,-0.06%,-0.06%,-0.13%,-0.11%,0.44%,0.49%,0.58%,0.51%,-0.33%,-0.38%,-0.99%,-1.00%,-0.35%,-0.33%,0.22%,0.33%
EPS (Basic),4.54,1.39,1.34,0.29,1.18,1.24,1.60,1.17,1.30,1.38,-0.69,1.29,1.31,1.93,2.38,0.61,1.34,1.51,1.56,1.09,1.32,1.15,1.55,1.24,1.03,0.43,1.87,1.14,1.59,1.81,1.45,1.21,0.08,1.86,1.40,1.01,1.12,2.08,1.80,0.38
EPS (Diluted),4.49,1.38,1.33,0.31,1.17,1.23,1.59,1.16,1.29,1.37,-0.69,1.29,1.30,1.92,2.36,0.60,1.33,1.51,1.55,1.09,1.31,1.14,1.54,1.23,1.02,0.43,1.86,1.14,1.58,1.80,1.43,1.20,0.08,1.85,1.39,1.00,1.11,2.06,1.79,0.38
EPS Growth,-45.00%,17.45%,70.51%,-66.84%,-73.91%,-10.87%,19.55%,274.19%,10.26%,11.38%,-,11.21%,0.78%,40.15%,-,-53.49%,2.31%,-21.35%,-34.32%,81.67%,-1.50%,-24.50%,-0.65%,12.84%,-22.14%,-62.28%,20.78%,-7.32%,54.90%,318.60%,-23.12%,5.26%,-94.94%,2.78%,-2.80%,-16.67%,1287.50%,11.35%,28.78%,-62.00%
Free Cash Flow,60,109,566,229,-501,525,700,741,9,-159,687,434,-54,365,514,383,-303,316,428,642,-113,462,698,620,-196,426,764,832,-103,542,494,258,-498,98,408,437,-35,414,753,730
Free Cash Flow Per Share,0.22,0.39,2.05,0.83,-1.84,1.93,2.59,2.75,0.03,-0.60,2.58,1.64,-0.21,1.43,2.00,1.50,-1.21,1.30,1.77,2.68,-0.48,1.96,2.95,2.62,-0.83,1.81,3.24,3.52,-0.43,2.29,2.08,1.09,-2.11,0.41,1.74,1.86,-0.15,1.76,3.20,3.10
Dividend Per Share,0.305,0.335,0.335,0.335,0.335,0.360,0.360,0.360,0.360,0.400,0.400,0.400,0.400,0.400,0.450,0.450,0.450,0.450,0.480,0.480,0.480,0.480,0.510,0.510,0.510,0.510,0.540,0.540,0.540,0.540,0.590,0.590,0.590,0.590,0.620,0.620,0.620,0.620,0.650,0.650
Dividend Growth,3.39%,9.84%,9.84%,9.84%,9.84%,7.46%,7.46%,7.46%,7.46%,11.11%,11.11%,11.11%,11.11%,0%,12.50%,12.50%,12.50%,12.50%,6.67%,6.67%,6.67%,6.67%,6.25%,6.25%,6.25%,6.25%,5.88%,5.88%,5.88%,5.88%,9.26%,9.26%,9.26%,9.26%,5.08%,5.08%,5.08%,5.08%,4.84%,4.84%
