,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"11,439","14,918","17,612","14,127","14,490","15,353","16,327","13,701","12,888","17,251"
Cash & Cash Equivalents,"11,439","14,918","17,612","14,127","14,490","15,353","16,327","13,701","12,888","17,251"
Cash Growth,-36.80%,30.41%,18.06%,-19.79%,2.57%,5.96%,6.34%,-16.08%,-5.93%,33.85%
Total Assets,"731,781","766,655","757,255","783,962","832,136","815,078","896,552","940,722","937,582","689,029"
Total Liabilities,"695,900","724,306","715,332","737,874","777,625","766,047","832,833","872,512","874,974","657,481"
Total Debt,"37,422","39,135","37,289","28,930","28,470","30,734","31,534","31,842","29,803","27,646"
Debt Growth,8.13%,4.58%,-4.72%,-22.42%,-1.59%,7.95%,2.60%,0.98%,-6.40%,-7.24%
Common Stock,"12,066","10,832","10,674","9,296","8,491","7,241","6,085","5,938","3,900","2,685"
Retained Earnings,"14,531","14,888","18,931","21,946","28,671","30,470","32,991","30,749","36,652","31,714"
Comprehensive Income,"8,681","16,050","12,285","14,621","17,074","10,906","24,039","30,738","21,324","-3,806"
Shareholders' Equity,"35,278","41,770","41,890","45,863","54,236","48,617","63,115","67,425","61,876","30,593"
Net Cash / Debt,"-25,983","-24,217","-19,677","-14,803","-13,980","-15,381","-15,207","-18,141","-16,915","-10,395"
Book Value Per Share,76.53,91.60,93.30,106.66,127.92,117.72,157.00,170.26,163.69,83.13
