,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"11,439","12,472","12,160","17,222","14,918","19,119","17,038","20,207","17,612","22,492","24,142","24,728","14,127","13,308","16,605","14,541","14,490","15,676","14,918","12,466","15,353","14,699","15,421","18,289","16,327","31,646","21,149","20,658","13,701","16,099","15,145","15,605","12,888","14,086","14,359","20,104","17,251","17,425","14,652","16,892"
Cash & Cash Equivalents,"11,439","12,472","12,160","17,222","14,918","19,119","17,038","20,207","17,612","22,492","24,142","24,728","14,127","13,308","16,605","14,541","14,490","15,676","14,918","12,466","15,353","14,699","15,421","18,289","16,327","31,646","21,149","20,658","13,701","16,099","15,145","15,605","12,888","14,086","14,359","20,104","17,251","17,425","14,652","16,892"
Cash Growth,-36.80%,-13.85%,-6.78%,36.14%,30.41%,53.30%,40.12%,17.33%,18.06%,17.64%,41.70%,22.37%,-19.79%,-40.83%,-31.22%,-41.20%,2.57%,17.79%,-10.16%,-14.27%,5.96%,-6.23%,3.37%,46.71%,6.34%,115.29%,37.14%,12.95%,-16.08%,-49.13%,-28.39%,-24.46%,-5.93%,-12.50%,-5.19%,28.83%,33.85%,23.70%,2.04%,-15.98%
Total Assets,"731,781","746,735","765,537","764,147","766,655","778,612","762,731","754,527","757,255","772,995","796,490","819,865","783,962","797,365","812,590","821,131","832,136","829,677","819,860","822,748","815,078","849,324","873,825","885,626","896,552","873,712","915,387","911,589","940,722","907,280","926,461","932,582","937,582","878,066","695,599","677,756","689,029","709,269","697,304","681,254"
Total Liabilities,"695,900","707,871","723,730","721,795","724,306","733,038","720,439","711,757","715,332","723,730","741,312","762,891","737,874","750,391","763,950","770,566","777,625","777,502","771,268","775,666","766,047","793,874","811,672","819,312","832,833","812,640","848,879","844,699","872,512","848,504","862,777","870,023","874,974","833,388","666,681","660,576","657,481","676,822","667,849","654,307"
Total Debt,"37,422","39,033","40,651","41,462","39,135","37,312","39,203","38,639","37,289","31,880","29,091","29,217","28,930","30,022","30,398","29,173","28,470","29,113","29,265","29,920","30,734","31,956","31,487","31,115","31,534","34,496","32,977","33,398","31,842","30,266","30,420","29,777","29,803","29,578","28,408","29,106","27,646","28,188","26,138","25,830"
Debt Growth,8.13%,7.49%,14.98%,14.09%,4.58%,-4.41%,-3.56%,-6.81%,-4.72%,-14.56%,-25.79%,-24.38%,-22.42%,-5.83%,4.49%,-0.15%,-1.59%,-3.03%,-3.73%,2.56%,7.95%,9.77%,7.59%,3.99%,2.60%,7.95%,4.73%,7.34%,0.98%,-12.26%,-7.75%,-10.84%,-6.40%,-2.27%,-6.61%,-2.25%,-7.24%,-4.70%,-7.99%,-11.26%
Common Stock,"12,066","11,908","11,761","11,652","10,832","11,119","11,005","10,742","10,674","10,333","10,031","9,537","9,296","9,158","8,936","8,715","8,491","8,171","7,864","7,570","7,241","6,826","6,415","5,971","6,085","5,671","5,734","5,844","5,938","5,707","4,963","4,164","3,900","3,614","3,276","2,977","2,685","2,502","2,327","2,152"
Retained Earnings,"14,531","15,517","16,357","16,616","14,888","16,173","17,314","18,515","18,931","19,843","20,451","21,969","21,946","22,983","23,146","25,060","28,671","28,898","28,713","30,005","30,470","30,966","31,263","32,269","32,991","32,176","29,326","30,372","30,749","33,110","34,808","35,887","36,652","36,159","35,137","34,399","31,714","32,708","32,756","31,493"
Comprehensive Income,"8,681","10,798","13,077","13,501","16,050","17,752","13,404","13,463","12,285","19,066","24,667","24,925","14,621","14,643","16,362","16,598","17,074","14,761","11,655","9,150","10,906","17,218","23,982","27,558","24,039","22,600","30,837","30,001","30,738","19,219","23,277","21,836","21,324","4,205","-10,178","-20,874","-3,806","-3,825","-6,649","-7,831"
Shareholders' Equity,"35,278","38,223","41,195","41,769","41,770","45,044","41,723","42,720","41,890","49,242","55,149","56,431","45,863","46,784","48,444","50,373","54,236","51,830","48,232","46,725","48,617","55,010","61,660","65,798","63,115","60,447","65,897","66,217","67,425","58,036","63,048","61,887","61,876","43,978","28,235","16,502","30,593","31,385","28,434","25,814"
Net Cash / Debt,"-25,983","-26,561","-28,491","-24,240","-24,217","-18,193","-22,165","-18,432","-19,677","-9,388","-4,949","-4,489","-14,803","-16,714","-13,793","-14,632","-13,980","-13,437","-14,347","-17,454","-15,381","-17,257","-16,066","-12,826","-15,207","-2,850","-11,828","-12,740","-18,141","-14,167","-15,275","-14,172","-16,915","-15,492","-14,049","-9,002","-10,395","-10,763","-11,486","-8,938"
Book Value Per Share,76.53,82.56,89.55,91.20,91.60,98.35,92.10,94.72,93.30,108.94,124.77,129.13,106.66,108.80,112.92,117.97,127.92,122.82,114.84,112.05,117.72,134.50,151.87,163.68,157.00,152.26,166.83,167.64,170.26,146.19,160.02,160.33,163.69,116.96,75.29,44.36,83.13,85.75,77.90,71.11
