,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"42,513","39,193","40,834","40,277","41,250","36,782","39,647","34,371","36,553","32,643","31,532","35,681","44,746","45,872","46,392","45,399","48,752","43,698","39,274","42,250","33,680","37,579","41,006","36,160","37,683","20,700","24,056","25,090","30,916","36,167","40,373","40,607","40,915","44,432","35,880","31,910","36,601","30,283","32,200","34,445","38,728"
Market Cap Growth,72.55%,42.88%,20.50%,11.55%,-2.97%,-6.15%,-2.91%,-14.66%,-11.39%,-11.25%,-20.47%,3.81%,22.41%,40.53%,47.13%,27.23%,8.95%,-4.74%,-15.34%,-6.93%,-30.91%,-14.00%,4.41%,-14.42%,11.89%,-44.92%,-41.34%,-30.61%,-17.96%,74.72%,67.83%,61.84%,32.34%,22.85%,-11.13%,-21.42%,-10.54%,-31.84%,-10.26%,7.94%,-
Enterprise Value,"68,496","65,754","69,325","64,517","65,467","54,975","61,812","52,803","56,230","42,031","36,481","40,170","59,549","62,586","60,185","60,031","62,732","57,135","53,621","59,704","49,061","54,836","57,072","48,986","52,890","23,550","35,884","37,830","49,057","50,334","55,648","54,779","57,830","59,924","49,929","40,912","46,996","41,046","43,686","43,383","47,666"
PE Ratio,-63.74,30.36,14.11,16.92,29.87,16.88,15.89,9.97,6.48,6.61,7.08,7.40,10.24,10.42,11.68,10.36,6.20,5.56,5.19,6.04,8.27,10.32,9.87,9.27,9.00,6.94,-179.52,-386.01,-82.66,13.27,5.54,5.54,5.30,10.09,29.05,-82.45,-25.45,-152.94,24.34,56.19,68.77
PS Ratio,1.02,0.89,0.86,0.83,0.76,0.65,0.69,0.59,0.64,0.58,0.56,0.60,0.76,0.79,0.81,0.80,0.82,0.73,0.64,0.70,0.54,0.58,0.63,0.56,0.58,0.33,0.40,0.42,0.54,0.60,0.63,0.58,0.58,0.68,0.59,0.53,0.61,0.49,0.50,0.66,0.74
PB Ratio,1.21,1.02,0.99,0.96,0.99,0.82,0.95,0.81,0.87,0.66,0.57,0.63,0.98,0.98,0.96,0.90,0.90,0.84,0.81,0.90,0.69,0.68,0.67,0.55,0.60,0.34,0.37,0.38,0.46,0.62,0.64,0.66,0.66,1.01,1.27,1.93,1.20,0.97,1.13,1.33,1.50
P/FCF Ratio,5.03,3.83,3.52,2.80,2.13,1.60,2.29,1.74,2.62,2.21,1.31,1.86,3.01,4.50,7.65,6.89,3.62,3.10,2.55,2.83,1.55,1.67,1.76,1.34,1.92,0.66,0.97,1.49,3.69,-3.73,-9.97,20.65,4.17,3.39,3.50,3.50,7.10,4.66,5.17,7.20,8.09
P/OCF Ratio,5.03,3.83,3.52,2.80,2.13,1.60,2.29,1.74,2.62,2.21,1.31,1.86,3.01,4.50,7.65,6.89,3.62,3.10,2.55,2.83,1.55,1.67,1.76,1.34,1.92,0.66,0.97,1.49,3.69,-3.73,-9.97,20.65,4.17,3.39,3.50,3.50,7.10,4.66,5.17,7.20,8.09
Debt / Equity Ratio,1.06,1.02,0.99,0.99,0.94,0.83,0.94,0.90,0.89,0.65,0.53,0.52,0.63,0.64,0.63,0.58,0.52,0.56,0.61,0.64,0.63,0.58,0.51,0.47,0.50,0.57,0.50,0.50,0.47,0.52,0.48,0.48,0.48,0.67,1.01,1.76,0.90,0.90,0.92,1.00,1.00
Return on Capital (ROIC),Upgrade,-3.00%,0.80%,3.04%,2.38%,1.38%,2.33%,2.79%,3.93%,7.17%,6.15%,5.31%,5.63%,5.84%,5.68%,4.99%,5.46%,9.96%,10.17%,10.23%,9.60%,5.07%,4.13%,4.42%,3.98%,4.38%,3.05%,-0.15%,-0.05%,-0.17%,3.35%,7.98%,8.19%,8.41%,5.80%,1.83%,-1.39%,-4.40%,-0.74%,2.06%,0.38%
